Do you approve or disapprove of the following measures which federal, state, and local governments could take to prevent the spread of coronavirus (COVID-19) in the next 30 days? - Asking people to stay at home and avoid gathering in groups 
"","Strongly disapprove","Somewhat disapprove","Somewhat approve","Strongly approve","Error Margin","N"
"National",4.5,7.5,26,61.9,0.8,22385
"AK",2.4,8.8,26.4,62.4,10.5,167
"AL",4.1,8.2,27.5,60.2,5.9,412
"AR",4.8,8.2,30.7,56.3,6.9,379
"AZ",3.6,11.1,26.2,59.1,5.2,596
"CA",2.7,5.1,23,69.2,3.9,842
"CO",9.6,9.1,27.7,53.6,5.8,482
"CT",3,7.6,22.6,66.8,5.6,417
"DC",1.8,3.5,13.6,81.1,5.2,302
"DE",2.7,5.2,26.7,65.4,6.1,355
"FL",3.5,6.3,24.7,65.5,4.2,840
"GA",2,9.9,27,61.1,5.4,498
"HI",5.2,5.9,24.5,64.4,6,449
"IA",3.5,8.9,25.1,62.5,6,412
"ID",6.2,12.4,30.2,51.2,6.4,356
"IL",5.9,8.2,27.9,58,4.8,552
"IN",4.9,9.4,26.3,59.4,5.7,489
"KS",6.2,8.9,27.3,57.5,6.5,374
"KY",5,8.4,28.6,58,5.9,443
"LA",3.1,6.2,24.2,66.5,6.4,397
"MA",2.6,7.4,27.7,62.3,5.2,466
"MD",2.8,4,23.7,69.5,5,456
"ME",4.6,10,26.1,59.2,6,377
"MI",3.7,8.1,27.6,60.6,5.3,464
"MN",7.9,7.9,27.6,56.7,5.2,492
"MO",5.1,10.7,25.5,58.6,5.4,481
"MS",3.6,6.1,23.7,66.5,6.6,341
"MT",6.5,15.1,27.1,51.3,7,295
"NC",7.5,6.7,24.8,61.1,5,540
"ND",7.7,19.4,39.5,33.4,9.1,189
"NE",5,12.6,31.6,50.8,6.3,380
"NH",6.8,4.8,25.8,62.5,5.6,369
"NJ",2.7,5.2,23.8,68.3,4.7,499
"NM",7.1,12.5,28.2,52.2,8.7,308
"NV",3.8,8.1,29,59.1,6.2,389
"NY",3.1,4.9,22.9,69.1,4.2,653
"OH",5,7.7,25.5,61.8,4.5,576
"OK",7.8,5,28.4,58.8,7.2,361
"OR",6.3,9.7,26.9,57.1,5.7,445
"PA",6.5,9.9,25.7,57.9,4.4,601
"RI",2.7,10.2,24.9,62.2,6.4,308
"SC",4.8,6.9,23.5,64.7,5.4,465
"SD",5,11.6,33.8,49.7,7.2,298
"TN",3.7,8.9,29.9,57.5,5.6,480
"TX",5.5,7.2,23.9,63.4,4.1,874
"UT",3.7,9.6,37.3,49.4,6.8,345
"VA",4.4,7.8,23.2,64.7,4.7,567
"VT",2.7,7.8,23.4,66.2,7.2,228
"WA",3.6,8.2,26,62.2,5.5,430
"WI",7.5,6.9,30.9,54.7,5.3,465
"WV",5.1,5,25.1,64.8,6.5,334
"WY",10.8,9.2,41.4,38.5,9.6,147
