Education recoded for weighing 
"","Some high school","High School Graduate","Some College","Bachelor Degree","Graduate Degree","Error Margin","N"
"National",8.3,27.9,32,19.7,12.2,0.8,22470
"AK",6.2,30.5,35.4,17.2,10.6,10.4,167
"AL",11.2,31.1,32.8,16,8.9,5.7,413
"AR",11.3,35,31.2,14.5,7.9,6.6,382
"AZ",9.6,23.7,36.8,19.1,10.9,5.1,597
"CA",4.4,23.7,34.3,24.1,13.5,4,845
"CO",6.9,22.6,31.4,24.7,14.4,5.4,482
"CT",5.8,26.9,28.1,22.8,16.5,5.4,418
"DC",5.7,18.9,18.2,26.4,30.9,6.1,303
"DE",9.4,33,27.9,17.8,11.9,6,355
"FL",7.3,29.8,32.4,19.6,10.8,4.1,845
"GA",8.4,29.5,30.5,20,11.5,5.1,501
"HI",3,27.7,34.9,22.8,11.6,6,451
"IA",5.7,31.1,35.4,19.4,8.4,5.9,414
"ID",7.6,29.2,37.1,17.8,8.2,6.2,356
"IL",5.2,27.5,32,22,13.3,4.5,554
"IN",9.8,33.4,30.6,17.1,9,5.5,491
"KS",7,26.8,33.6,20.9,11.7,6.2,376
"KY",9.2,33.6,32.4,15.1,9.6,5.7,444
"LA",11,34.1,30.5,16.1,8.3,6.5,398
"MA",6.7,24.3,25.9,24.9,18.2,4.6,470
"MD",8.4,24.8,28,21.5,17.3,4.8,457
"ME",6.8,31.7,31.6,19.5,10.4,5.7,377
"MI",5.1,29.5,36,18.6,10.8,5.1,467
"MN",3.9,25.3,34.7,24.4,11.6,4.9,492
"MO",7.1,30.3,33.6,18.2,10.8,5.2,484
"MS",10.6,29,37,15,8.3,6.7,342
"MT",6.8,27.4,35.7,20.2,9.9,6.7,297
"NC",5.3,27.1,35.2,21.3,11.2,4.8,541
"ND",6.2,26.4,38.8,21.7,6.8,9,190
"NE",6,26.5,36.2,21.2,10.1,6,382
"NH",6.4,28.7,30.3,21.6,13,5.3,370
"NJ",3.5,27.4,26.8,26.4,16,4.5,500
"NM",9.4,27.6,35.6,15.8,11.4,8.3,308
"NV",9.3,28.5,36.1,17.2,8.9,6.1,392
"NY",5.2,27.2,28.5,22.6,16.4,4,658
"OH",7.6,33.4,31.2,17.6,10.1,4.3,579
"OK",9.8,32.2,33.9,15.9,8.1,6.9,362
"OR",7.9,22.6,36.9,20.6,12,5.6,448
"PA",3.5,36.3,27.9,20.1,12.3,4.3,604
"RI",8.4,29.7,29.6,20.2,12.1,6,308
"SC",9,30.6,32.8,17.8,9.8,5.3,466
"SD",8.7,29.9,34.1,19.2,8.1,6.9,299
"TN",9.5,32.8,31,17.3,9.4,5.3,481
"TX",9,27.4,32.9,20.3,10.5,4,877
"UT",8.1,22.8,37.5,21.1,10.5,6.5,346
"VA",4.3,25.6,30.4,23,16.7,4.5,569
"VT",2.9,29.9,29.8,23,14.4,7,228
"WA",5.6,22.5,36.1,22.8,13.1,5.5,432
"WI",5.7,30.9,34,19.7,9.8,5,469
"WV",11.4,37.4,29.9,13.3,8.1,6.6,336
"WY",6.1,29.5,39,16.4,9,9.5,147
