How often do you talk to people about the current coronavirus (COVID-19) outbreak, either in person, over the phone, or electronically? 
"","Never","Less than once a week","Once a week","A few times a week","Daily","A few times a day","Error Margin","N"
"National",5,12.5,9,33.2,27.6,12.7,0.8,22456
"AK",8.9,9.2,10.5,33.7,21.4,16.3,10.2,167
"AL",4.3,13.2,7.8,30.5,24.2,20,5.6,413
"AR",5.9,19.2,10.7,25.1,21.7,17.4,6,382
"AZ",5,12.7,8.9,29.6,28.5,15.4,4.9,597
"CA",3.5,10.7,11.6,33.1,29.2,11.9,4,845
"CO",6.5,12,12.1,37,22.1,10.4,5.6,481
"CT",4.5,8.5,10,31.4,34.6,10.9,5.7,418
"DC",2,5.7,7.6,24.5,38.6,21.6,6.4,303
"DE",5,9.4,11.1,35.1,24.9,14.5,6.1,354
"FL",5,12.3,8.9,33.3,26.1,14.3,4.1,843
"GA",5.1,14.7,10.7,32.4,26.5,10.6,5.2,501
"HI",4,13.8,10,29.7,31.4,11.1,5.8,450
"IA",5,14.2,13.8,36.1,21.9,8.9,6,414
"ID",5.8,16.8,9.9,31.5,24.1,11.9,5.9,356
"IL",5.4,13.8,7.8,35,25.5,12.6,4.6,552
"IN",7.6,10.4,10.3,34.8,26.8,10,5.5,491
"KS",4.5,15.6,8,33.8,28.1,10,6.2,376
"KY",8.2,10.6,13,34.6,22.9,10.7,5.7,444
"LA",2.5,13,8,27.1,30.8,18.6,6.3,398
"MA",5.5,8.7,8.2,36.1,28.7,12.9,5.1,470
"MD",2.2,10.7,8.2,34.4,32.5,12,5.1,456
"ME",4,11.5,7.6,36.2,30.5,10.3,5.9,377
"MI",5.3,12.9,9.4,32.9,28.7,10.8,5,465
"MN",2.9,13,10.7,37.7,26.1,9.5,5,492
"MO",5,13.3,10.8,36.6,27.3,7.1,5.3,484
"MS",8,9.2,6.7,34.9,26.5,14.8,6.6,342
"MT",3.4,10.6,10.4,37.7,26.9,11,6.7,297
"NC",7.1,13.3,8.8,32.4,24.6,13.8,4.8,541
"ND",3.3,24,13.8,35.7,15.3,8,8.9,190
"NE",4.2,10.6,12.5,40.6,20.7,11.4,6.2,382
"NH",5.1,11.2,6.2,36.5,27,14,5.6,370
"NJ",2.7,11.9,5.7,30.6,33.8,15.4,4.8,500
"NM",7.4,15.4,5.9,31.8,30.1,9.4,8.1,308
"NV",4.6,15.9,13.6,31.5,22.2,12.2,5.9,392
"NY",3.6,9.9,8.1,35.5,28.2,14.7,4.3,656
"OH",6.7,13.8,10.2,35.8,21,12.6,4.4,579
"OK",7.1,18.5,6.3,34.7,24.5,9,6.9,362
"OR",6.9,14.7,11.9,27.1,31.2,8.2,5.4,448
"PA",4.8,13.7,8.6,29.7,31.1,12.1,4.1,604
"RI",4.2,7.3,7,38.1,31.6,11.9,6.4,308
"SC",5.7,12.9,8.6,31.2,27,14.6,5.2,466
"SD",3.6,8.4,12.3,39.2,27.1,9.4,7.1,299
"TN",7.5,17.2,9.3,28.1,22.6,15.3,5,481
"TX",5.9,11.5,9.2,30.8,29.1,13.7,4,877
"UT",3.1,10.6,7.5,37.2,30.3,11.3,6.5,346
"VA",3.8,13.3,7.2,34.8,27.2,13.6,4.6,569
"VT",3.4,12.6,7.1,32.7,28.8,15.5,7.1,228
"WA",5.5,11.9,7.7,32.4,30.6,12,5.3,431
"WI",3,15.7,10.5,36.1,26.3,8.5,5.1,468
"WV",8.3,10,6,34.9,30.2,10.6,6.5,336
"WY",7.4,17.9,14.1,34.2,18.9,7.5,9.3,147
