In the last 24 hours, did you get any news or information related to the current coronavirus (COVID-19) outbreak from the following sources 
"","Friends and family","Radio news","Podcasts","Local television","Network television (e.g.  ABC, CBS, or NBC)","Cable television (e.g. CNN, Fox News, or MSNBC)","Late-night comedy shows (e.g. The Late Show with Stephen Colbert or The Daily Show)","Print newspapers (e.g. the New York Times or the Wall Street Journal print edition)","A news website or app (e.g. the New York Times or Fox News websites or apps)","A health website or app (e.g. WebMD)","A government website or app (e.g. CDC.gov)","An organization website or app (e.g. WHO.int)","A search engine website or app (e.g. Google, Bing)","A social media website or app (e.g. Facebook, Twitter, Snapchat)","Error Margin","N"
"National",13,5.4,1.7,15.8,12.9,10.6,2.1,3,7.1,2.6,4.4,1.7,5,9.7,0,367
"AK",12,4.6,1.8,7.4,6.3,6.6,5.6,3,4.1,1.4,4.2,1.4,3,4.3,6.9,167
"AL",13.8,5.5,2,14.1,10.5,11.5,2.1,1.3,6.7,1.9,2.4,1.9,5.2,8.5,4.4,413
"AR",17,7.1,0.2,22.1,15.9,17.2,1.1,4.4,6.5,2.1,4.9,2.1,6.8,12.8,5.9,382
"AZ",11.7,4.9,2.5,11.6,8.9,10,3,3,7.7,3.5,5.6,2.8,7.5,9.8,3.7,597
"CA",19.8,7.8,2.5,22.1,20.2,14.1,3.8,4.1,12.5,4.1,6.2,2,7.2,13.7,3.8,845
"CO",9.2,3.3,2.7,14.1,9.9,8.5,2.6,3.7,7.3,1.4,2.9,0.8,4.3,9.1,3.8,482
"CT",13.4,4.8,0.8,13.2,12.2,9.2,1.9,1.8,8.7,2.3,3.5,2.7,6.3,8.3,4.3,418
"DC",7.2,2.6,0.4,10,9,6.8,2.7,2.6,4.4,2.6,5,1.3,3.2,4.2,4.1,303
"DE",10.6,4.9,1.2,15.3,12.3,12.4,1.8,3.1,8.5,2.4,3.5,2,5,9.4,4.6,355
"FL",17,6.3,4,18.9,12.5,14.6,3.6,2.3,7.4,3.4,5.2,2.1,4.5,11.8,3.4,845
"GA",16,6.8,3.9,17,14.7,14.8,2.2,3,8.2,4.3,6.4,2.9,9.4,15.6,4.5,501
"HI",14.3,5.3,2.6,18.7,9.8,12.2,2.6,3.6,7.6,2.6,3.7,0.9,3.8,8,5.2,451
"IA",10.2,3.2,1,16.8,12.2,9.3,0.8,4.6,6.3,2.2,4.4,1.3,4.6,8.5,4.8,414
"ID",7.3,0.8,0.3,8.3,4.8,1.9,0,0.1,2.5,1.2,2,0.9,1.3,5,3.7,356
"IL",12,5.5,3.2,16.7,15,12.2,3.5,3.5,8.6,1.9,4.5,2.2,5.1,11.1,3.6,554
"IN",14.8,6.7,0.7,15.5,15.9,10.7,1.7,2,5.7,3.2,6.7,0.3,5.4,9.7,4.6,491
"KS",11.5,7.6,1.4,14.9,11.1,8.9,0.9,3.6,8.2,3.1,4.1,0.7,4,8.7,4.6,376
"KY",11,2.7,0.5,13.5,9.9,7.7,1.1,2.1,6.8,1.1,2.7,1.6,3.4,11.2,4.2,444
"LA",11.3,4.2,1.3,14.3,11.3,9.7,1.3,2.9,5.3,3.4,4.6,0.6,2.7,10.1,4.9,398
"MA",9.9,4.2,2.3,12.8,11.4,8.8,1.9,3.4,5.4,1.7,4.1,0.8,3.3,8,3.7,470
"MD",13.4,6.9,1,15.1,14.8,12.7,3,4.5,7.2,2.9,6.1,1.9,4.9,8.9,4.1,457
"ME",4.8,1.9,0.5,8.5,9.4,5.3,1.4,0.5,4.8,1.3,4.3,0,1.9,4.6,4,377
"MI",12.5,5.8,1.8,17.8,13.9,10.6,2.3,2.3,7.7,2,5.1,2.8,6.5,8.7,4.3,467
"MN",10.5,5.6,1.6,14.7,13.5,8.5,2.7,4.8,5.5,2,3.4,1.3,3.2,8.5,3.7,492
"MO",14.4,4.2,1.3,16.3,13.8,11.3,0.8,2.2,7.3,2.9,4.9,1.4,5.3,8.1,4.4,484
"MS",11.6,4.2,2,17.4,14.9,10.1,1.9,1.9,4.3,3,5.1,1.7,3.5,8.8,5.7,342
"MT",10.6,4.7,0.3,11,8.7,12.4,0.1,1.7,6,1.4,5.4,1.6,2.5,9.2,5.3,297
"NC",13.3,3.6,0.4,16.2,13.5,11.3,1.4,1.9,6.3,2.1,4.2,1.8,5,10.4,3.6,541
"ND",9.9,9.6,0.6,16.3,13,11.1,3,4.7,3.4,1,3.1,0.6,5.3,8.2,7.4,190
"NE",11.7,5.8,1,15.9,10.9,7.7,0.8,1,5.8,2.2,3.2,0.8,2.9,6.1,5,382
"NH",6.7,4.7,0.8,8.4,7.6,6.3,1.2,2.2,6.1,1.5,2.1,1.5,4.7,5.9,3.4,370
"NJ",16.5,5.5,2,14.3,16.4,14.8,4.4,2.8,8,3.2,6.1,2.6,6.9,13.4,4,500
"NM",19,10,1.5,19,13.9,5.2,0.5,2.8,6.5,1.1,1.8,0.7,3.2,11.8,7.6,308
"NV",9.8,4.1,1.1,16.2,9.3,11.9,2.8,2.9,10.5,3.1,3.5,1.7,4.5,9.3,4.3,392
"NY",21.5,8.3,3,19.8,18.7,16.1,3.1,5.1,9.4,4.4,6.3,3.9,9.1,14.5,3.7,658
"OH",12.9,7.6,0.7,16.9,13.7,12.2,1.7,2.7,6.8,2.5,4.3,1.1,4.9,9.9,3.6,579
"OK",16.1,3.1,1,17.4,11.3,9.1,0.4,1.4,7.4,3.7,3.8,0.7,7.2,8.7,6.1,362
"OR",16.7,4.2,1.1,18.4,12.3,8.5,1.5,2.7,9.9,2.1,5.5,3.3,6.9,12.9,4.6,448
"PA",14.7,6.6,1.3,14.6,13.8,9.3,1.1,3.3,7.3,1.9,5.2,1.7,5,9.6,3.3,604
"RI",8.6,4.7,1.6,14.7,14.4,10.1,0.4,1.7,3.5,2.6,3.8,2.1,2.5,6.2,5.2,308
"SC",9.7,3.8,1.1,18.7,15.2,10,2.9,2.7,6.9,2.2,3.3,0.9,4.3,10.1,4.8,466
"SD",10,3.2,2.1,10.7,9.2,7.9,2,2.6,6.6,2.8,3,1.4,3.2,5.4,4.9,299
"TN",12.5,6.5,2.2,20,13.2,9,2.3,1.9,5.9,3.6,4.7,2,4.1,10.3,4.8,481
"TX",15,5.6,1.7,16.1,14.7,10.4,3.4,2.2,9.3,2.8,4.2,1.4,7.2,11.9,3.2,877
"UT",12.9,5.4,0.8,9.3,7.8,6.9,2.2,2.2,9.3,2.4,5.4,1.4,4.4,13.1,4.4,346
"VA",14.5,4.9,1.1,16.2,13.5,13.4,1.9,4.7,8.1,3.7,3.6,1.8,6.5,12.3,3.9,569
"VT",7.5,3.2,0,9.8,8.5,4.6,0.6,2.8,3.3,2.2,4.6,0.4,2,5.6,4.8,228
"WA",14.9,4.9,1,16.2,13.3,8.6,1.8,3.8,7.7,2.4,5.7,1.6,4.7,10,4.5,432
"WI",11.8,7.5,1.9,18.2,16,9.5,2.2,5,4.8,2.2,3.3,1.1,3.6,8.7,4.3,469
"WV",14.9,4,2,19.1,12.4,14.1,5.5,5.4,11.4,1,5.7,1.9,4.2,11,6,336
"WY",7.7,3.6,1,5.7,1.4,2.4,0.7,2.6,6.2,1.4,4.4,0.9,2.8,4.2,4.2,147
