Do you approve or disapprove of the following measures which federal, state, and local governments could take to prevent the spread of coronavirus (COVID-19) in the next 30 days? - Restricting travel within the U.S. 
"","Strongly disapprove","Somewhat disapprove","Somewhat approve","Strongly approve","Error Margin","N"
"National",8.6,16.2,35.1,40.1,0.8,22310
"AK",15.9,11.8,35.5,36.8,10.5,166
"AL",10.6,20.5,31.9,37,5.8,411
"AR",12.5,18.8,32.1,36.6,6.7,382
"AZ",8.8,20.1,32.6,38.5,5.2,595
"CA",5.4,14.4,36.1,44,4.2,840
"CO",13.9,20.1,33.3,32.7,5.5,482
"CT",5.7,20,31.4,43,6,415
"DC",4.4,10.6,34,51,6.7,297
"DE",7.3,10,38,44.8,6.4,353
"FL",7.5,15.6,35.9,41,4.3,835
"GA",7.2,18.1,35.2,39.5,5.5,492
"HI",5.9,10.1,34,50,6.3,449
"IA",10.2,20.7,33.7,35.4,6,411
"ID",12.7,15,43.9,28.4,6.4,354
"IL",9.3,17.3,39.2,34.2,4.8,549
"IN",8,13.4,37,41.6,5.7,490
"KS",12.6,20,36.7,30.8,6.3,375
"KY",10,15.2,35.8,39,5.9,437
"LA",7.8,15.9,31.4,44.8,6.8,396
"MA",6.6,15.1,39.5,38.8,5.2,463
"MD",5.4,14,34.8,45.8,5.4,454
"ME",6.6,17.5,39.8,36.1,6,375
"MI",6.7,15.1,34.6,43.6,5.3,464
"MN",13,19.7,37,30.3,5,491
"MO",7.6,17.7,37.9,36.9,5.4,480
"MS",9.2,15.5,27.9,47.4,7,340
"MT",12,20.1,32.1,35.8,6.7,296
"NC",10.1,18.6,32,39.3,5,536
"ND",14.1,17.8,39.3,28.8,9.1,188
"NE",10.8,19.8,42.1,27.3,6.2,380
"NH",9.9,15.2,33.3,41.6,5.7,369
"NJ",7.9,13.4,34.4,44.4,5.1,499
"NM",13.5,21,28.8,36.6,8.3,308
"NV",12.1,19.4,31.3,37.1,6.1,388
"NY",5.4,13.4,34.2,47,4.5,650
"OH",10.2,18,35.8,35.9,4.4,576
"OK",11.4,21.2,31,36.4,7,361
"OR",10.8,20.1,34,35.1,5.6,444
"PA",9.8,15.8,35.8,38.6,4.4,600
"RI",5.7,14.4,35.1,44.8,6.6,307
"SC",9,19.4,34.8,36.8,5.4,466
"SD",10.6,22.5,38.5,28.3,7.1,293
"TN",7.2,17,36.3,39.4,5.5,476
"TX",8,14.1,31.2,46.6,4.3,873
"UT",13.8,20.2,40.9,25.1,6.7,344
"VA",9.1,15.6,32.1,43.3,4.9,564
"VT",6.8,17.6,32,43.6,7.6,225
"WA",8.8,15.9,38.4,36.9,5.6,431
"WI",9.1,14.4,35.8,40.7,5.2,464
"WV",8.7,13.6,32,45.7,6.9,329
"WY",14,21.6,33.2,31.2,9.2,147
