Have you or someone in your household experienced any of the following as a result of the coronavirus (COVID-19) outbreak 
"","Had to start working from home","Had their school or university closed","Had to stop or scale back work to take care of their children","Had to stop or scale back work to take care of someone who had COVID-19","Had to take a cut in pay due to reduced hours or demand for their work","Was laid off or lost a job","Error Margin","N"
"National",30.9,28.6,7,1.8,17.7,17.9,0,406
"AK",28.8,23.2,5.4,0.5,17.2,18.5,9.4,167
"AL",23.1,28.9,8,2,19.2,18.1,5,413
"AR",20.2,24.6,6,0.8,16.1,15.7,5.7,382
"AZ",30.8,29.4,5.9,1.4,18.9,15.4,4.8,597
"CA",35.8,29.9,6.9,2,20,19,3.9,845
"CO",34.8,24.2,7.5,2.1,19,20.5,5.5,482
"CT",33.2,35.3,7.8,2.9,18.5,24.4,5.7,418
"DC",53.1,35.5,10.9,3.7,19.9,18.6,6.7,303
"DE",30.8,26.8,7.9,0.9,10.6,19.9,5.4,355
"FL",27,23.6,6,1.5,20.5,14.8,3.6,845
"GA",27.4,30.6,9.4,1.8,16.8,15.6,5.1,501
"HI",33.3,29.3,7.7,0.6,26.9,25.6,5.7,451
"IA",24.9,27.8,7.6,1.7,16.4,17.6,5,414
"ID",22.9,34.6,7.6,0.2,20.4,19.3,5.9,356
"IL",33.3,32.4,7,1.8,20.2,18.2,4.6,554
"IN",25.6,27.9,6.5,1.8,15.4,19.9,4.9,491
"KS",30.4,32.4,6.2,3,16.6,17.4,5.9,376
"KY",23.1,26.5,6.9,0.9,12.5,18.5,4.9,444
"LA",26.4,30.4,7.8,2.5,17.4,19.7,6,398
"MA",38.8,31.1,7.9,2.5,18.8,15.6,5,470
"MD",44.4,34.1,10.5,1.6,13.8,15.4,5.3,457
"ME",25.2,24.7,5.6,1.3,13.5,13.3,4.8,377
"MI",27.2,25.7,6.5,1.2,15.5,23.1,4.5,467
"MN",34.7,26.5,4.2,1.2,16.3,15.7,4.8,492
"MO",25.5,25.3,6.7,1,16.9,18.8,4.5,484
"MS",16.4,25.1,8.1,1.4,20.3,18.4,5.8,342
"MT",26.1,25.3,4.6,0.5,16.6,18.8,5.8,297
"NC",31.2,26.8,6.1,2.2,16.4,14.3,4.6,541
"ND",24.3,28.6,8.5,1,16,15.9,8.2,190
"NE",30.4,28.4,6.4,1.6,18.1,15.4,5.3,382
"NH",34.5,27.6,6.9,0.8,16.9,14.8,5.4,370
"NJ",43.4,38.1,8.8,1.7,15.7,18.5,5,500
"NM",23.7,25.4,8.5,0.2,20.4,18.9,7.4,308
"NV",24,19.3,4.6,2.6,18.1,25,5.6,392
"NY",39.8,32.6,8.3,3.1,17.7,19.5,4.2,658
"OH",26.1,27.1,6.8,1.4,13.9,17.5,3.9,579
"OK",22.1,21.2,6.6,0.8,19,16.2,5.7,362
"OR",25.7,23.5,5.2,1.8,19,18.4,4.9,448
"PA",29.6,27.4,5.5,1.7,17.2,16.7,3.9,604
"RI",33.5,27.3,6.3,1.4,16.6,18.3,6,308
"SC",25.3,23.8,6.5,2.7,16.8,13.7,4.5,466
"SD",26.9,27.7,8.5,2,18.2,13.4,6,299
"TN",25.4,24.5,6.5,2.6,18.3,17.9,4.7,481
"TX",31.7,30.5,9.3,1.7,17.9,17.8,4,877
"UT",37.1,34.9,8.3,1.6,20.9,15.8,6.3,346
"VA",34.9,31.9,5.7,2.9,15.6,12.3,4.4,569
"VT",27,25.1,5.4,1.1,17.4,19.4,6.2,228
"WA",39.3,28.5,6.5,0.2,18.2,16,5.4,432
"WI",28.3,24.6,6.7,1.5,15.8,19.2,4.5,469
"WV",19.7,23.5,4.5,0.8,11.8,16.1,5.1,336
"WY",22.1,34.2,5.8,0.7,17.3,15.3,9.3,147
