How concerned, if at all, do you currently feel about the following: - Financial hardships due to the virus outbreak or the measures against it 
"","Not at all concerned","Not very concerned","Somewhat concerned","Very concerned","Not applicable to me","Error Margin","N"
"National",14.1,18.6,29.2,30.3,7.7,0.8,22322
"AK",12,24.2,23.8,30.8,9.2,10,165
"AL",14.1,19.2,22.5,36.5,7.7,5.8,410
"AR",14.2,14.7,26.7,36,8.3,6.7,381
"AZ",15.2,16.8,28.8,31.5,7.7,5,590
"CA",11.5,17.7,30.8,31.9,8,4,840
"CO",18,16.9,31.1,28.3,5.6,5.4,481
"CT",14.3,15.4,31,32.3,7,5.6,413
"DC",11.1,13.5,28.6,41.9,5,6.5,300
"DE",16.2,16.4,32.3,29.3,5.8,6,352
"FL",13.6,19,28.1,29.6,9.8,4,839
"GA",17.3,16.2,24.7,35,6.8,5.3,496
"HI",11.5,14.5,29.8,38.2,6.1,6.1,451
"IA",13.9,19.9,28.6,27.4,10.2,5.7,407
"ID",18.9,16.8,25.9,32,6.3,6,355
"IL",13,17.2,30.2,30.8,8.7,4.5,546
"IN",15.2,20.4,28.6,27.6,8.2,5.3,490
"KS",14.2,18.2,30.7,29.2,7.6,6,374
"KY",9,21.1,29.4,32.2,8.2,5.6,442
"LA",14.8,14.2,29.2,38.2,3.6,6.7,394
"MA",16.5,23.5,32.9,22.3,4.8,5,469
"MD",16.6,20.4,27.8,28,7.3,4.9,455
"ME",16.1,20.1,29.4,27,7.4,5.6,372
"MI",14.4,20.7,27.8,27.5,9.6,4.8,465
"MN",19.2,23.2,27.6,22.7,7.3,4.7,487
"MO",16,19.6,29.7,25.7,8.9,5.1,479
"MS",11.1,19.1,26.1,37.4,6.3,6.7,341
"MT",16.9,18.8,25.9,31.6,6.9,6.5,296
"NC",16.6,19.8,30.9,25.8,6.8,4.7,540
"ND",20,21.2,28,19.1,11.7,8.4,186
"NE",19.6,21.5,32.1,22.9,3.9,5.9,378
"NH",13.2,22.2,33.2,21.7,9.6,5.4,369
"NJ",11.1,20.5,32.9,30.7,4.9,4.8,498
"NM",14.4,19.8,23.2,36.4,6.2,8.4,305
"NV",13.7,16.7,25.6,35.8,8.2,6.1,390
"NY",15,18.4,31.5,28.8,6.4,4.2,656
"OH",20.1,18.2,31.8,22.4,7.4,4.3,577
"OK",10.1,17.1,28.2,33.6,11,6.9,362
"OR",15.2,20.8,29.7,25.8,8.6,5.3,448
"PA",12.6,20.8,31.7,26.4,8.5,4.2,599
"RI",13.7,16,33.6,27.6,9.1,6.3,306
"SC",11.6,16.8,28.7,35,7.8,5.4,465
"SD",13.4,17,32.3,32.4,5,6.8,295
"TN",16.3,15.6,28.3,32.8,7.1,5.3,478
"TX",12,18.3,29.5,31.1,9.2,4,871
"UT",14,20.9,28.1,32.7,4.3,6.4,343
"VA",14.5,21,29,27.9,7.6,4.4,563
"VT",15.8,18.3,32.5,26.2,7.2,7.2,226
"WA",15.3,15.2,31.7,30.1,7.6,5.3,431
"WI",13.9,25.1,30.8,22.6,7.5,4.9,466
"WV",16.7,19.7,28.7,30.9,4,6.3,334
"WY",18.4,16.6,25.6,28.4,11.1,8.8,146
