How concerned, if at all, do you currently feel about the following: - Losing your job due to the virus outbreak or the measures against it 
"","Not at all concerned","Not very concerned","Somewhat concerned","Very concerned","Not applicable to me","Error Margin","N"
"National",15.3,14.7,16.6,21.1,32.3,0.8,22322
"AK",13,21.4,16.2,20.9,28.5,9.9,165
"AL",15.2,13.4,13.3,25,33.1,5.7,409
"AR",16.3,14.6,12.8,19.2,37.1,6.7,382
"AZ",17.7,12.5,15.7,23.4,30.8,4.9,594
"CA",10.2,14.7,18.8,26.1,30.1,3.9,838
"CO",19.8,15.3,19.2,19.8,25.8,5.1,480
"CT",18.7,14.4,16.2,23,27.7,5.4,415
"DC",11.1,15.9,19.5,32.8,20.7,6.2,297
"DE",18.8,11.1,15.9,19.7,34.5,6.1,352
"FL",11,13.2,17.8,21.9,36.1,4.2,835
"GA",16.4,11.4,17.8,23.8,30.7,5.1,499
"HI",16.8,11,16.3,26.1,29.7,5.7,450
"IA",17.2,12.4,15.3,19.9,35.3,6,410
"ID",22,17,17,16.7,27.3,5.7,351
"IL",13.3,15.2,16.6,23.2,31.7,4.5,551
"IN",17.1,14.1,14.7,17.3,36.8,5.6,488
"KS",18.1,16.5,15.3,18.4,31.7,6.1,375
"KY",12.9,13.8,17.4,17.8,38.1,5.8,441
"LA",15.2,13.6,15.9,27,28.4,6.2,393
"MA",12.9,16,17.8,18.7,34.6,5,469
"MD",18.4,12,17.4,20.5,31.7,5,455
"ME",14.6,13.8,14.9,15.7,41.1,6.1,374
"MI",15.6,14.2,12.4,21.8,35.9,5.2,463
"MN",21,18.3,14.7,13.7,32.4,4.9,488
"MO",15.5,15.8,15.5,19.7,33.5,5.2,480
"MS",13.1,11.9,16.5,26.1,32.3,6.5,341
"MT",30.9,14,12.3,18.1,24.7,6.4,296
"NC",16.6,13.5,18.2,14.6,37,4.9,538
"ND",25.1,17,11.9,11.8,34.1,8.9,188
"NE",19.3,17.1,21.3,13.4,28.9,5.7,376
"NH",19.4,17.9,10.4,16.3,36,5.6,369
"NJ",11.8,14.7,20.5,22.1,30.9,4.7,498
"NM",13.4,11.8,14.9,27.3,32.5,8.1,307
"NV",11.4,13.2,17.4,21.9,36,6.1,391
"NY",12.8,15,18.8,21.4,32,4.2,655
"OH",22.5,13.3,15.1,16.5,32.5,4.3,577
"OK",12.4,12.5,13.3,28.9,33,6.9,361
"OR",20.4,15.9,14.4,15.4,33.8,5.5,445
"PA",17.5,19.1,12.5,18.4,32.6,4.2,600
"RI",13.8,15.9,21.3,14.1,34.8,6.3,306
"SC",15.1,12.6,15.9,20.8,35.5,5.4,465
"SD",21.1,15.8,19.5,15.8,27.8,6.5,297
"TN",19.8,12.4,14.7,21.2,31.9,5.3,478
"TX",10.8,13.6,16.3,26.5,32.8,4.1,868
"UT",19.5,23.1,17.2,20.5,19.7,5.7,345
"VA",14.3,18.1,15.5,19.9,32.2,4.6,567
"VT",15.8,12.9,19.2,16.3,35.8,7.3,225
"WA",14.4,17.7,20.6,18.4,29,5.2,431
"WI",19.1,18.1,13.3,17.6,31.9,5,465
"WV",17.7,13.6,16.6,16.7,35.4,6.6,334
"WY",17.1,11.6,15.1,17.8,38.5,9.6,145
