How concerned, if at all, do you currently feel about the following: - Problems with your education or the education of your children 
"","Not at all concerned","Not very concerned","Somewhat concerned","Very concerned","Not applicable to me","Error Margin","N"
"National",9.8,9.7,17.8,20.2,42.6,0.8,22329
"AK",12.7,11.4,20.1,18.8,36.9,10.5,164
"AL",8.9,10.7,18.9,23.4,38.1,5.9,408
"AR",8.8,11.1,13.3,20.9,45.9,7,380
"AZ",9.4,8.3,16.9,22.6,42.7,5.3,593
"CA",8.5,10.6,18.7,21,41.2,4.2,841
"CO",14.1,7.5,17.4,16.9,44,5.8,481
"CT",11.1,9.5,19.2,19.2,41,5.9,416
"DC",7.2,7.3,22.8,31.8,31,6.2,297
"DE",11.1,7.4,17.1,18.3,46.1,6.4,351
"FL",9.4,9,15.3,20.2,46.1,4.4,840
"GA",11,7.7,20.7,26,34.6,5.3,495
"HI",8.6,11.9,17.9,23.2,38.5,6.1,451
"IA",10.1,8.8,14.6,23.7,42.8,6.2,407
"ID",12.8,9.8,20.6,20.4,36.5,6.2,352
"IL",9.7,9.7,20.5,17.4,42.8,4.8,550
"IN",8.4,10.5,13.5,20.6,46.9,5.8,488
"KS",9.7,15.6,21.3,15.5,38,6.3,375
"KY",10,12.5,15.7,20.4,41.4,5.9,442
"LA",14,4.9,17.6,24.7,38.8,6.6,396
"MA",6.8,9.2,19.2,20.5,44.3,5.3,468
"MD",8.6,13,16.7,22.4,39.3,5.3,454
"ME",8.2,7.9,17.2,16.4,50.3,6.2,375
"MI",9.1,7.8,15.8,21.6,45.6,5.3,465
"MN",11.8,11.5,17.3,11.6,47.8,5.2,489
"MO",10.3,10,19.6,16.2,43.8,5.5,479
"MS",7.2,13.3,14.2,22.4,42.8,6.9,340
"MT",11.6,8.9,13,12.1,54.5,6.9,296
"NC",9.7,10.3,18,14.1,47.8,5.1,539
"ND",8.2,9.3,22.6,8.3,51.5,9.3,188
"NE",10.2,9.6,21,13.6,45.6,6.3,379
"NH",8.7,8.8,13.5,19.3,49.7,5.8,370
"NJ",7.7,10,20.1,23,39.2,5,499
"NM",8.1,5.1,18.3,28.4,40.2,8.5,308
"NV",10.4,7.1,15.3,16.2,51,6.3,390
"NY",7.6,9.9,15.2,22.5,44.8,4.5,657
"OH",13.5,7.8,18.6,16.5,43.6,4.6,576
"OK",9.2,10.5,19.3,17.9,43.1,7.2,361
"OR",10.5,8.3,13.4,16.3,51.5,5.8,445
"PA",8.6,9.7,20.4,19.7,41.7,4.4,599
"RI",9.4,12.9,18.9,13.7,45.1,6.6,306
"SC",9.8,8.2,17.4,20.6,43.9,5.6,465
"SD",11.6,12.2,19.7,12.9,43.7,7.2,297
"TN",11.9,8.8,14.3,20,44.9,5.6,478
"TX",8.9,12.5,18,23.9,36.7,4.2,872
"UT",14.8,12.3,18.8,20,34.1,6.4,345
"VA",9.2,7.6,21.5,21.6,40.1,4.8,564
"VT",11.2,8.1,16,15.1,49.7,7.6,226
"WA",9.2,10.3,14.6,21.3,44.6,5.7,429
"WI",10.1,10.1,15.2,15,49.6,5.3,462
"WV",7.1,10.7,15.1,22.7,44.4,6.8,335
"WY",11.5,11.3,18.2,21.5,37.5,9.5,146
