Do you approve or disapprove of the following measures which federal, state, and local governments could take to prevent the spread of coronavirus (COVID-19) in the next 30 days? - Cancelling major sports and entertainment events 
"","Strongly disapprove","Somewhat disapprove","Somewhat approve","Strongly approve","Error Margin","N"
"National",5.8,10.3,23.9,60.1,0.8,22364
"AK",4.7,18.4,23.4,53.4,10.8,167
"AL",5.4,13.7,23.4,57.5,6,409
"AR",7,12.1,24.2,56.7,6.9,381
"AZ",4.7,10.4,26.6,58.3,5.3,594
"CA",4.5,6.6,21.7,67.3,4,841
"CO",11.2,9.1,23.4,56.4,5.8,482
"CT",5.1,10.4,19.8,64.7,5.7,416
"DC",2.5,5.4,16.4,75.8,5.7,302
"DE",4.3,6.5,24.1,65.2,6.1,355
"FL",4.8,10.3,25.6,59.3,4.3,840
"GA",3.9,12.1,26.7,57.3,5.5,496
"HI",3.1,7.2,20.3,69.5,5.8,450
"IA",4.5,13.5,22.5,59.5,6.1,409
"ID",8.3,11.7,26.6,53.4,6.4,351
"IL",4.4,12.6,25.4,57.6,4.8,550
"IN",7.9,13.2,21.3,57.5,5.7,490
"KS",7.2,10.3,26.9,55.6,6.5,376
"KY",8.2,10.7,23.4,57.7,5.9,443
"LA",4.5,7.9,23.5,64.1,6.6,395
"MA",3.6,9.5,26.3,60.7,5.2,467
"MD",3.7,7,25.5,63.8,5.2,457
"ME",4.6,12.3,21.7,61.4,6,377
"MI",4.2,9.9,24.5,61.4,5.2,464
"MN",8.1,13.6,25.7,52.6,5.2,490
"MO",8.5,11,28.2,52.3,5.5,482
"MS",4.7,7.9,22.6,64.9,6.7,341
"MT",9.2,14.7,28.2,47.9,7,296
"NC",8.1,9.8,22.5,59.6,5,539
"ND",12.1,19.1,30.4,38.4,9.1,189
"NE",8.8,11.8,31.4,48,6.3,379
"NH",6.8,7.6,22.2,63.4,5.6,369
"NJ",3,7,19.3,70.7,4.6,499
"NM",8.3,8.4,26.6,56.7,8.6,308
"NV",5.5,13.2,22.5,58.8,6.2,391
"NY",2.8,9.8,20.3,67.1,4.2,652
"OH",8.2,11.4,24.6,55.8,4.6,576
"OK",4.7,11.4,20.3,63.5,7,360
"OR",9,11.7,20.3,59.1,5.7,446
"PA",6.5,10.7,27.2,55.7,4.5,603
"RI",6.2,11.6,23.3,59,6.5,307
"SC",7.9,8.5,26.6,57,5.6,464
"SD",4.4,15.8,31.3,48.5,7.3,294
"TN",6.1,10.4,23.5,60,5.5,480
"TX",5.9,7.7,25.2,61.3,4.2,871
"UT",9.6,10,24.1,56.2,6.7,344
"VA",5.1,9.9,22.3,62.7,4.7,568
"VT",3.6,7.1,18.9,70.3,7,227
"WA",5.2,9,21.5,64.4,5.5,430
"WI",7.5,11.2,22.9,58.4,5.2,465
"WV",4.5,10.2,21.6,63.7,6.6,335
"WY",10.4,14,34.4,41.2,9.6,147
