In the last 24 hours, how many people who are not part of your household did you meet face-to-face? 
"","0","1","2","3","4-9",">9","Error Margin","N"
"AK",29,4.1,15.1,6.9,18.5,26.3,9.8,167
"AL",28.3,10.7,13.9,9.6,23,14.5,5.5,409
"AR",33,8.7,14.2,8.3,18.3,17.5,6.6,380
"AZ",27.7,13.2,14.1,9.7,21,14.3,4.8,594
"CA",30.2,14,13.2,9.2,20.8,12.6,3.9,842
"CO",27.8,10.5,13.6,9.5,16.9,21.8,5.2,480
"CT",27.3,14.1,12.3,13.3,17.5,15.6,5.3,415
"DC",34.2,16,17.3,7.9,15.7,9,6.3,302
"DE",25.9,11.7,23.4,10.5,16.4,12.1,5.6,350
"FL",34.5,11.7,14,8.9,18.2,12.7,4.2,835
"GA",29.8,11.9,14.8,9,22.1,12.4,5.1,495
"HI",24.3,10.4,9.9,13.2,25.2,17,5.5,448
"IA",27.4,7.7,14.1,12,22.4,16.3,5.6,411
"ID",19.8,8.4,14.7,8.3,25.4,23.5,5.6,356
"IL",29.1,11.1,17.2,10.2,21.7,10.6,4.4,547
"IN",26.6,12.5,13.4,7.9,23.4,16.2,5.1,488
"KS",23.4,10.3,10.4,9.4,26.8,19.7,5.8,375
"KY",31.1,10.3,15,11.8,15.5,16.3,5.6,441
"LA",30.8,8.7,10.4,9.6,22.9,17.6,6.3,394
"MA",34.2,12,12.9,8.7,23.7,8.6,5,467
"MD",31.6,14.1,15.6,9.7,19.4,9.7,5,453
"ME",27.3,9,13.6,11.5,23.2,15.5,5.5,374
"MI",33.1,14.1,11.1,8.3,19.6,13.9,5.1,463
"MN",23.4,14.8,13.3,8.3,20.4,19.9,4.4,489
"MO",26.5,12.3,17.2,6.7,22.2,15.2,4.9,473
"MS",25.3,10.4,16.7,6.8,26.2,14.7,6.1,340
"MT",19.8,6.5,15.6,9.7,25.1,23.4,6,295
"NC",29.5,11.3,15.8,8.2,20.4,14.7,4.7,530
"ND",19.1,12.6,8.4,6.8,31,22.1,8.7,185
"NE",22.7,10.7,12.6,10.5,21.3,22.2,5.3,380
"NH",32.9,7.6,15.6,7.9,22,14,5.5,364
"NJ",30.2,16.2,16,10.2,16,11.4,4.7,498
"NM",26.4,13.2,12.3,10.4,20.5,17.1,7.6,308
"NV",35.5,10,14.2,7.7,22.7,9.8,6,390
"NY",33.8,13.7,17,8.5,18.4,8.6,4.3,650
"OH",26.2,9.1,17.3,8.5,24.3,14.6,4,574
"OK",29,11.3,13.9,9.3,13,23.6,6.6,359
"OR",24.6,12.8,13.9,8,24.1,16.6,5,445
"PA",27.4,11.7,14,8.7,19.7,18.6,4,597
"RI",24.4,9.7,15.3,9.2,24.9,16.5,5.7,307
"SC",27,10.5,12.4,10.9,23.3,15.7,5,462
"SD",17.6,10.5,11.6,9.9,28.5,21.9,6.6,296
"TN",25.8,12.1,13.2,8.5,20.9,19.5,4.9,474
"TX",35,10,15.4,9.6,16.8,13.2,4.1,864
"UT",18.8,11.8,13.7,9.5,24.3,21.9,5.8,345
"VA",33.8,12.2,13.9,9.7,17.8,12.6,4.6,564
"VT",23,14.6,16,10.5,19.2,16.8,6.4,225
"WA",28.3,12.7,16.5,9.2,22,11.3,5.2,429
"WI",24.9,12.8,14.8,7.9,21.6,18.1,4.6,465
"WV",33.3,13.3,9.7,8.7,19.3,15.7,6.5,333
"WY",29.2,10.8,12.2,8.7,14.2,24.7,8.9,147
