Gender recoded 
"","Male","Female","Error Margin","N"
"National",46.9,53.1,0.8,22470
"AK",51,49,10.8,167
"AL",45.1,54.9,6,413
"AR",46.2,53.8,6.9,382
"AZ",46,54,5.3,597
"CA",47.5,52.5,4.2,845
"CO",47.5,52.5,5.8,482
"CT",46.1,53.9,6,418
"DC",46.7,53.3,6.6,303
"DE",46.4,53.6,6.4,355
"FL",46.4,53.6,4.4,845
"GA",44.6,55.4,5.5,501
"HI",50.1,49.9,6.3,451
"IA",48.5,51.5,6.2,414
"ID",50.4,49.6,6.4,356
"IL",46.7,53.3,4.8,554
"IN",46.6,53.4,5.8,491
"KS",48,52,6.5,376
"KY",45.4,54.6,6,444
"LA",43.9,56.1,6.8,398
"MA",47.2,52.8,5.3,470
"MD",47.1,52.9,5.4,457
"ME",47.7,52.3,6.1,377
"MI",46.8,53.2,5.3,467
"MN",46.9,53.1,5.2,492
"MO",45.3,54.7,5.5,484
"MS",43.2,56.8,6.9,342
"MT",48.9,51.1,6.9,297
"NC",44.6,55.4,5,541
"ND",48.2,51.8,9.3,190
"NE",47.1,52.9,6.3,382
"NH",48.3,51.7,5.8,370
"NJ",44.8,55.2,5.1,500
"NM",44.4,55.6,8.6,308
"NV",46.2,53.8,6.3,392
"NY",46.9,53.1,4.5,658
"OH",47,53,4.6,579
"OK",47.8,52.2,7.3,362
"OR",46.8,53.2,5.8,448
"PA",46.1,53.9,4.5,604
"RI",45.8,54.2,6.6,308
"SC",44.4,55.6,5.6,466
"SD",49.4,50.6,7.2,299
"TN",46.3,53.7,5.6,481
"TX",47.6,52.4,4.3,877
"UT",48,52,6.7,346
"VA",46.8,53.2,4.9,569
"VT",45.8,54.2,7.6,228
"WA",46.4,53.6,5.7,432
"WI",47.5,52.5,5.3,469
"WV",45.4,54.6,6.8,336
"WY",49,51,9.8,147
