Do you approve or disapprove of the following measures which federal, state, and local governments could take to prevent the spread of coronavirus (COVID-19) in the next 30 days? - Tracking people’s cell phone location to find out who was in contact with a sick person 
"","Strongly disapprove","Somewhat disapprove","Somewhat approve","Strongly approve","Error Margin","N"
"National",37.4,22.5,22.2,17.8,0.8,22343
"AK",35.2,24,25.5,15.3,10.4,165
"AL",42.5,24,13.8,19.8,6,412
"AR",48.9,24.6,17.1,9.4,7,382
"AZ",40.4,25,17.6,16.9,5.2,595
"CA",29.9,20.8,23.4,26,3.9,839
"CO",43.1,22.7,20.5,13.7,5.8,482
"CT",37.9,20.6,23.4,18.1,5.8,417
"DC",26.4,20.2,27.6,25.9,5.9,301
"DE",35.4,22.6,26.6,15.3,6.1,353
"FL",38.5,20,24.8,16.8,4.3,837
"GA",39.2,20.7,20.8,19.3,5.4,496
"HI",27.5,29.2,22,21.3,5.7,451
"IA",44,18.6,23.3,14.1,6.2,411
"ID",50.7,22.9,15.5,10.9,6.4,353
"IL",36,26.2,20.9,17,4.7,550
"IN",40.5,24.3,21,14.1,5.7,489
"KS",43.4,24.3,17,15.3,6.5,374
"KY",43,22.2,17.5,17.3,6,440
"LA",46.7,17.5,18.5,17.2,6.8,395
"MA",31.3,23.1,26.5,19.2,4.9,467
"MD",29.9,22.2,26,21.8,4.9,455
"ME",38.5,22.9,25.8,12.9,6,376
"MI",35.5,21.4,25.6,17.6,5.2,462
"MN",38.5,24.2,19.8,17.5,5.1,490
"MO",39.9,24.2,23.3,12.7,5.4,482
"MS",46.9,22.9,14.9,15.3,7,337
"MT",53.1,18.8,15.2,12.9,6.9,295
"NC",39.4,22.5,22.7,15.4,5,538
"ND",44,19.4,25,11.6,9.2,189
"NE",38.3,26.7,24.3,10.7,6.1,380
"NH",38.1,22.5,17.5,21.9,5.6,368
"NJ",30.3,21.5,26.2,22,4.7,499
"NM",40.4,23.8,22.4,13.4,8.5,305
"NV",38.1,24,18.2,19.6,6.1,392
"NY",27.5,17.9,29.8,24.8,4.1,653
"OH",40.9,20.8,20.8,17.5,4.5,577
"OK",43.6,16.4,21.4,18.6,7.2,360
"OR",38.5,22.1,25.8,13.7,5.6,446
"PA",41.5,20.7,22.6,15.2,4.4,600
"RI",37.1,26.4,19.6,16.9,6.4,308
"SC",38,23.8,22,16.2,5.5,464
"SD",40.4,24.2,23.4,12,7.2,293
"TN",38.9,26.9,18.8,15.4,5.5,480
"TX",33.6,22.6,22.2,21.6,4.1,873
"UT",40.9,23.3,19.1,16.7,6.7,343
"VA",38.1,22.8,22.7,16.5,4.7,566
"VT",34.2,17.8,29.4,18.6,7.2,227
"WA",36.3,23.4,24.3,16,5.5,430
"WI",37.1,22.3,22.9,17.8,5.1,466
"WV",40.5,24.1,18.9,16.5,6.7,333
"WY",53.6,14.3,17.4,14.7,9.8,147
