How concerned, if at all, do you currently feel about the following: - Family members getting coronavirus 
"","Not at all concerned","Not very concerned","Somewhat concerned","Very concerned","Not applicable to me","Error Margin","N"
"National",8.4,13.4,33,42.5,2.7,0.8,22333
"AK",7,18.4,43,28.8,2.8,10.8,166
"AL",11,11.9,31.8,44.2,1,6.1,406
"AR",7.5,13.4,32.4,42.3,4.3,6.9,381
"AZ",7.5,13.7,30.8,45.8,2.2,5.3,595
"CA",6.9,11.8,30.7,48.1,2.5,4.2,840
"CO",13.2,15.9,35.6,34.1,1.2,5.6,479
"CT",9.8,9.4,39.5,38,3.3,5.9,415
"DC",3.5,10.2,25.5,57.3,3.5,6.6,299
"DE",6.3,13.7,35.7,42.3,2,6.4,347
"FL",8.6,12.5,32.1,44.1,2.7,4.4,842
"GA",11.6,15.1,29.4,41.8,2.1,5.5,498
"HI",5.1,8.2,32.5,50.6,3.6,6.3,451
"IA",8.2,13.8,34.4,41.6,2,6.1,413
"ID",16.7,14.4,28.5,35.7,4.7,6.1,354
"IL",8.1,14.9,34,40.2,2.7,4.8,548
"IN",9.2,11.7,34.2,42.9,2,5.8,489
"KS",8.3,15.4,36.1,36.1,4.1,6.3,375
"KY",6.2,16.8,39.4,35.8,1.8,5.9,439
"LA",8.5,8.2,34.3,47,2.1,6.8,396
"MA",4.3,10.4,39.7,43.5,2.1,5.2,470
"MD",4.7,14.7,35.1,43.8,1.7,5.4,454
"ME",8.2,15.1,31.1,41.6,4,6.1,373
"MI",7.5,13.2,33.1,42.3,3.8,5.3,465
"MN",10.7,16,32.6,38.4,2.4,5.1,492
"MO",10.1,13.8,35.6,35.6,5,5.3,480
"MS",12.6,9.2,29.1,48.7,0.4,6.9,341
"MT",12.9,20.7,35,28.4,3.1,6.6,296
"NC",10.1,14.2,36.3,36,3.6,4.9,539
"ND",11.8,21.3,33.7,28.3,5,8.8,188
"NE",9.1,19.1,33.8,36.3,1.7,6.1,377
"NH",7.3,14.4,35.7,39.8,2.9,5.7,367
"NJ",4.6,8.5,34.4,50.5,2,5.1,498
"NM",7.5,17.5,32.5,38.2,4.3,8.4,308
"NV",8.8,16.9,28.2,42.8,3.3,6.2,391
"NY",5.9,10.1,30.8,52,1.3,4.5,654
"OH",9.8,13.8,33.2,40.7,2.6,4.5,575
"OK",14.7,7.6,33,39.3,5.4,7.1,361
"OR",11.9,21.4,32.9,32.4,1.3,5.4,447
"PA",8.7,14.1,34.1,39.9,3.2,4.4,602
"RI",5.6,14.6,37.8,38.5,3.5,6.5,303
"SC",9.4,9.9,33.9,44.1,2.7,5.6,465
"SD",6,18.4,39.1,34.6,1.9,7.1,296
"TN",13.6,15,27.3,41.3,2.9,5.5,478
"TX",8.3,13.7,29.7,45.5,2.8,4.3,871
"UT",7.9,16.1,37.4,37.4,1.2,6.5,344
"VA",6.1,12.2,35.6,43.3,2.7,4.8,566
"VT",8.2,20.2,31.8,39,0.8,7.4,226
"WA",8.6,10.8,35.1,41.7,3.8,5.6,431
"WI",9.4,16.5,34.8,37.3,2,5.2,464
"WV",9.8,12.7,34.9,41.6,1,6.8,332
"WY",16.5,21,27.7,31.6,3.1,9.1,146
