How concerned, if at all, do you currently feel about the following: - Problems with working from home during the virus outbreak 
"","Not at all concerned","Not very concerned","Somewhat concerned","Very concerned","Not applicable to me","Error Margin","N"
"National",16.8,16.1,14.3,12.2,40.6,0.8,22304
"AK",14.7,24.2,19.3,9.6,32.1,10.1,165
"AL",17.4,16,10.5,14.4,41.7,6,406
"AR",17.4,17,8.9,9.5,47.1,7,379
"AZ",18.8,17.5,12.6,12.2,38.9,5.2,594
"CA",15.1,19.2,16.4,13.8,35.6,4.1,841
"CO",23.5,13.2,17.6,11.6,34.1,5.5,480
"CT",20.4,14.8,13.4,12.2,39.2,5.9,411
"DC",13,17.7,25.2,23.3,20.8,5.8,299
"DE",15.7,15.9,10.8,12.6,45,6.4,353
"FL",15.2,13.4,13,15.6,42.7,4.4,837
"GA",19.9,12.6,13.6,16.6,37.4,5.4,496
"HI",16,16.9,18,9,40.1,6.1,450
"IA",12.6,16.3,13.7,9.6,47.7,6.2,412
"ID",19.8,15.4,14.4,9.5,40.9,6.3,354
"IL",15.1,17.1,17.6,10.3,39.9,4.8,549
"IN",14.4,13.8,10.3,9.8,51.7,5.8,487
"KS",21.4,15,12.4,12.6,38.7,6.4,374
"KY",15.6,15.4,9.9,12.5,46.6,6,440
"LA",18.9,17.4,15.1,9.8,38.8,6.7,394
"MA",14.5,18.1,15.7,11.2,40.5,5.2,466
"MD",20.8,18.1,14.1,13.4,33.5,5.1,455
"ME",12.5,17,12.8,6.8,50.8,6.2,371
"MI",18.5,11.5,11.5,11.5,47,5.4,465
"MN",21,14.9,12.2,8.6,43.3,5.2,488
"MO",21,14.7,9.6,10.3,44.3,5.5,479
"MS",16.9,14.7,13.2,16.4,38.7,6.8,342
"MT",26.5,14.2,12,8,39.4,6.8,294
"NC",18.6,13.4,13.9,8.3,45.7,5.1,540
"ND",18.5,20.4,9.9,6,45.2,9.3,188
"NE",20.8,19,15.7,6.7,37.7,6.1,379
"NH",15.7,16.1,13.4,7.2,47.6,5.8,367
"NJ",15.4,16.7,17.2,14.1,36.7,4.9,499
"NM",13.4,17.6,16.2,13.5,39.4,8.5,306
"NV",14.8,15.3,14,13.3,42.7,6.2,391
"NY",15.7,15.6,15.8,15.3,37.6,4.4,654
"OH",19.3,16.5,11.9,8.8,43.5,4.6,573
"OK",15.6,16.4,12.9,14.8,40.3,7.1,361
"OR",19,11.9,12.5,8.7,47.8,5.8,443
"PA",16,13.9,13.5,11.4,45.2,4.5,599
"RI",16.4,16.3,16.9,5.5,44.9,6.6,306
"SC",16.9,13.7,11,15,43.4,5.6,465
"SD",15.8,17.2,15.6,7,44.4,7.2,297
"TN",20.1,13.1,11.3,9.5,46.1,5.6,479
"TX",15.4,16.2,17.5,15.5,35.3,4.1,870
"UT",20.6,20.3,14.2,10.8,34,6.4,344
"VA",19.3,16.6,14,13.7,36.4,4.7,565
"VT",17,18.6,9.6,4.8,50,7.6,226
"WA",15.2,17.1,15.2,11.6,40.8,5.6,428
"WI",16.6,17.8,13.7,5.7,46.2,5.3,463
"WV",15.2,14.1,11.9,10.9,47.9,6.8,335
"WY",15.4,21,7.7,9.2,46.7,9.8,145
