Have you or someone in your household experienced any of the following as a result of the coronavirus (COVID-19) outbreak 
"","Had to start working from home","Had their school or university closed","Had to stop or scale back work to take care of their children","Had to stop or scale back work to take care of someone who had COVID-19","Had to take a cut in pay due to reduced hours or demand for their work","Was laid off or lost a job","Error Margin","N"
"National",29.7,29,6.3,1.6,17.3,21,0,334
"AK",24.5,24.4,5,3.6,18.5,21.5,8.6,135
"AL",20.6,30.4,5.9,1.4,11.7,22.9,5.7,384
"AR",15.4,26.3,5.8,0.8,17,16.5,5.7,366
"AZ",23.9,25.8,4.9,1,15.4,20.7,7.2,320
"CA",30.7,26.3,7.7,2.5,18,23.2,4.1,730
"CO",34.5,32.1,6.7,2,23.7,24.7,5.9,389
"CT",32.7,31.5,7.1,0,20.5,23.1,5.8,358
"DC",49.9,30.9,7.3,1,14.7,14.7,10.3,168
"DE",32,30.4,6.7,0.7,15.9,22.9,6,340
"FL",28.9,22.3,4.8,1.2,16.2,17.3,3.9,667
"GA",24.8,32.1,5.8,1.6,16.7,20.8,5,496
"HI",40.1,33.9,7.8,1.1,17.8,26.7,8.4,217
"IA",26,25.3,5.5,0.3,15.3,16.2,5,389
"ID",27.6,27.3,7.2,1.7,19.5,19.5,5.7,359
"IL",32.4,30.8,6.4,1.8,17.9,21.4,4.7,533
"IN",22.5,27.5,3.3,1.2,19.5,16.9,5,445
"KS",27.7,32.8,6.8,1,15.4,19.3,5.3,442
"KY",27.7,28.7,7.8,1.3,15.7,20.3,5.2,401
"LA",22.6,29.4,7.7,0.1,18.3,20.7,6.1,390
"MA",39.4,32.1,6.8,1.2,15.6,21.1,4.8,475
"MD",38.2,29.1,7.4,1,14.9,19.2,5.5,402
"ME",22.8,22.7,4.7,2,10.6,14.8,4.6,373
"MI",28.8,28.4,4.8,2,18.3,25,4.4,529
"MN",31,33.7,4.4,2.6,18.3,19.6,5.7,422
"MO",24.2,27.3,5.2,1,18,21.3,4.5,479
"MS",25.1,34.6,8.3,0.8,17.3,21.7,6.9,348
"MT",23.1,27.7,5.3,2.8,18,18.4,6.9,256
"NC",25.3,26.9,8.6,2.5,16.8,20.3,4.3,526
"ND",32.6,30.5,6.4,2.3,18.3,25.2,8,212
"NE",27.3,32.3,8.9,2.5,13.4,19.9,6.8,264
"NH",33.1,29.4,5.9,1.4,18.4,23.5,5.3,370
"NJ",37.6,31.7,4.1,1.6,17.8,21.9,4.6,541
"NM",21.7,21.3,10.1,0.7,18.9,15.6,8.6,211
"NV",25.1,26.4,5,1.1,23.7,32.5,6,397
"NY",34.6,30.2,6.7,3.7,15.7,21.2,4.1,625
"OH",28,28.8,4.8,1.1,15.1,22.6,4.3,531
"OK",20.8,32.7,4.5,0.7,13.2,13.6,6.9,333
"OR",28.7,28.8,6.1,1.4,17.6,19.6,5,410
"PA",28.8,30.2,6.4,2,17.7,22.7,4.2,566
"RI",31.8,24.5,6.1,1.2,12,22.4,5.9,319
"SC",25.3,28.3,6.1,1.3,16.6,18.4,5.3,425
"SD",25.4,30.9,6.6,2.1,14.9,24.6,7.2,230
"TN",24.3,26.1,6,1.8,19.5,22.6,4.7,456
"TX",32.7,33.1,5.8,1.6,16.6,22,5.2,582
"UT",36.6,37.1,7.5,0.8,14.8,19.2,6.7,314
"VA",36.2,30.8,6.2,1,19.1,16.8,4.5,511
"VT",32.4,26.9,4.8,2.1,17.7,25.7,6.6,242
"WA",29.7,30.9,6.4,2.2,21.6,20.3,5,436
"WI",28.5,27.6,6.1,1.4,20,21.6,4.5,549
"WV",21,29.6,6.8,1.8,16.4,20.1,6,327
"WY",26.6,37.6,7.8,0,28.2,12.3,12.7,115
