In the last 24 hours, did you get any news or information related to the current coronavirus (COVID-19) outbreak from the following sources 
"","Friends and family","Radio news","Podcasts","Local television","Network television (e.g.  ABC, CBS, or NBC)","Cable television (e.g. CNN, Fox News, or MSNBC)","Late-night comedy shows (e.g. The Late Show with Stephen Colbert or The Daily Show)","Print newspapers (e.g. the New York Times or the Wall Street Journal print edition)","A news website or app (e.g. the New York Times or Fox News websites or apps)","A health website or app (e.g. WebMD)","A government website or app (e.g. CDC.gov)","An organization website or app (e.g. WHO.int)","A search engine website or app (e.g. Google, Bing)","A social media website or app (e.g. Facebook, Twitter, Snapchat)","Error Margin","N"
"National",48.3,19.6,6.4,52.4,45.3,35.6,7.8,10.4,27,10.7,18.4,7.3,20.2,37.7,0,1290
"AK",43,21.6,2.1,46.4,35.3,22.1,9.7,7.7,25,15.4,23.4,8.6,17.6,34.9,10.5,135
"AL",46.6,17.7,5.5,52.7,47.3,37.7,4.7,6.5,25.7,9.5,15.8,5,21,44,6.4,384
"AR",45.3,18,3.4,48.2,37.7,25.8,4.1,5.3,24,9.4,15.7,4.1,19.5,46.2,7.1,366
"AZ",38.8,21.2,6.4,48.6,38.5,34.8,5.8,10.5,28,9.1,13.5,8.7,19.3,29.6,7.6,320
"CA",47.5,18.6,7.1,53.6,45.3,35.7,10.1,9.7,29.1,12.9,16.8,6.9,23.2,38.1,4.5,730
"CO",49.6,17.4,7.4,48.1,42.7,30.8,7,8.2,30.8,11.1,23.4,7.8,17.2,33.7,6.3,389
"CT",49.7,24.6,6.5,57.4,52.3,45,6.5,14.2,32.5,11.6,16.7,7,24.2,38.3,6.5,358
"DC",58.5,27.2,12.1,49.5,53.6,39.3,15.7,16.9,38.2,17.9,23.3,13.1,30.2,43.2,10.3,168
"DE",50.7,18.6,4.2,51.2,49.9,44.9,8.3,9.2,29.5,10.8,26.7,8.6,21.7,37.7,6.5,340
"FL",43.3,20.1,5.7,57.7,46.1,40,8.2,8.9,24.7,8.5,12.2,6.5,19.3,31.9,4.4,667
"GA",51.4,21.1,7.2,54.3,42.1,38.7,5.6,10,22.3,9.7,17.8,7.2,20.6,38.7,5.5,496
"HI",45.7,21.9,5.4,56.7,35.9,35.2,9.6,12.7,22.5,9.4,11.8,6,16.3,36.3,8.8,217
"IA",50.2,19.4,6.3,55.1,42.5,29.1,6.4,7.6,24.6,9.1,19.3,7.3,17.1,39.1,6,389
"ID",46.1,21.4,6.1,42.4,37.8,23.2,7.7,10.8,27.4,9.6,14.7,5.7,20.1,42.4,6.4,359
"IL",48.1,20.3,7.3,46.2,47.8,32.3,9.2,8.3,24.9,8.2,16.6,4.4,18,37.8,4.9,533
"IN",49.6,25.2,4.8,54.6,43.2,35.9,7.2,15.9,25,9.5,20.7,6.5,15.9,40.1,5.8,445
"KS",52.7,26.8,6.2,52.8,42.6,31,8.9,11.3,29.5,12.7,20.5,5.3,23.2,39.5,6,442
"KY",53.6,18,5.6,54.8,40.3,27.8,7.8,8.7,24,7.8,14.3,5.1,17.2,35.3,5.9,401
"LA",51.5,21.8,2.6,62.5,41.6,32.4,4.7,10.1,27.9,9.5,18.8,6.6,21,37.3,6.8,390
"MA",55.2,21.1,6.5,56,51.2,40.3,7.7,10.6,26.5,10.6,16.4,5.7,17.7,35.5,5,475
"MD",49.1,22,10,47,43.9,36.9,9.7,10.1,22.9,10.7,20.3,5.7,21.5,30.6,5.8,402
"ME",51.9,17.9,6,46.2,42.4,31.1,7.7,13.2,37.2,12.9,21.3,5.2,14.2,37.6,5.8,373
"MI",49,17.4,4.6,51.1,46,39.2,6.8,6.6,27.5,12.4,18,6.9,17.7,35.2,4.9,529
"MN",48.3,22.2,6.3,54.1,42.8,28.7,10.8,8.6,29.1,7,20.4,8.2,16.5,36.3,5.8,422
"MO",47.5,19.1,4,53.1,42.7,29.8,6.9,7.7,29.2,8.7,15.9,6.9,18,37.6,5.1,479
"MS",52.4,20.9,7,59.3,46.8,32.6,2.5,6.1,23.9,12.2,21.6,7,18.8,45.5,7.4,348
"MT",43.6,22.4,5.3,46.5,44,38,8.1,13.4,25.4,9.4,19.6,5.7,22.8,34.3,7.6,256
"NC",45,15.1,5.6,53,50.7,38.4,6.4,7.6,24.7,9.5,17.3,6.3,18.6,36.7,5,526
"ND",56.1,28.4,4.3,51.5,51.4,33.7,7.9,16.8,29.7,14.3,26.7,8.7,24,42.5,8.6,212
"NE",49,22.1,5.7,50.7,43.5,30.2,6,16.4,29.9,13,18.9,6.8,20.4,46.2,7.6,264
"NH",50.2,20.7,7.3,57.8,51.8,45.8,7.3,9,33.3,11.4,16,6.9,21.3,36.6,5.8,370
"NJ",50.5,20.9,6.1,47.3,52.8,45.2,6.7,12.8,28.6,8.5,16.8,7.4,15.2,35.8,4.8,541
"NM",42.1,9.2,3,52.5,43.8,20.7,14.8,10.3,33.1,9.9,21.4,7.7,17.1,38,10.4,211
"NV",47,19.3,7.5,54.8,43.2,42.9,10.9,13.2,25.3,12,16.6,8.2,24.7,38.6,6.2,397
"NY",44.5,21.3,7.1,52.9,49.9,40.2,7.2,14.7,24.4,11.5,16,7.9,19,31.9,4.5,625
"OH",47.5,17.3,4.4,56.6,42,35.5,8.4,11.2,22.2,8.5,19,4.8,16.2,34.6,4.8,531
"OK",46.7,17.2,5,55.2,42.5,27.4,5.9,7.9,23.2,9.9,16.8,5.5,24.5,38.1,7.3,333
"OR",46.8,19.2,7.8,41.4,37,32.1,5.4,8.8,28.6,13.5,23,9.2,19.7,35.8,5.5,410
"PA",44.5,17,5.4,54.6,49.1,40.6,5.5,9.4,25.5,7.7,16.9,5.1,17.3,34.6,4.6,566
"RI",48.7,20.1,8.6,62.6,57.3,41.1,9.9,13.7,30.1,7.7,23.7,8.7,17,37.9,6.7,319
"SC",42.9,17.4,4.6,55.9,45.7,35.9,6.6,8.5,24,7.9,19.5,7.3,17.3,37.7,6.1,425
"SD",52.5,30.4,8.1,51.2,52.2,34.6,9.8,11.4,27,8.9,20.7,5.5,18.2,37,8,230
"TN",47.9,17.9,3.5,54.3,40.7,30.4,5,7,22.2,10.8,16.3,7.6,18.1,34.5,5.6,456
"TX",50.8,19.3,8.7,51.4,43,31.9,8.1,8,27.6,10.1,14.5,6.4,20.6,39,5.4,582
"UT",48.8,19.8,6.3,37.1,36.4,22.9,9.1,8.8,33.5,9.3,24.1,6.9,21.6,41.1,7.1,314
"VA",47.8,18.3,4.3,47.6,45.3,38.9,7,10.1,24.5,13.7,19.5,8.3,20.5,35.1,4.8,511
"VT",50,18.6,4.7,52.2,46.8,33.4,7.9,17.8,30.7,8.6,22.1,10.7,21.3,42.6,7.7,242
"WA",47,17.9,8.3,51.1,38.9,36.6,7.3,13.4,32.9,12.8,19,9.5,26.5,41.4,5.5,436
"WI",47.6,17.1,7.5,53.7,45,29.7,8.8,11.1,28.6,9.7,21.4,7.8,17.4,35.7,5,549
"WV",51.5,16.6,4.6,54.4,43,41.6,7.8,11.5,29.2,10.4,22.5,6.8,19.1,43.1,6.7,327
"WY",41.6,17.3,7.1,25.6,25.6,33,3.5,11.4,39.8,8.7,24,5.4,19.9,35.2,12.4,115
