How concerned, if at all, do you currently feel about the following: - Problems with childcare during  the virus outbreak 
"","Not at all concerned","Not very concerned","Somewhat concerned","Very concerned","Not applicable to me","Error Margin","N"
"National",11.1,10.2,10.4,11.4,56.9,0.9,20168
"AK",13.1,22.7,9.6,9.3,45.2,10.4,132
"AL",13.9,10.8,10.3,16.8,48.1,6.4,381
"AR",14.4,9.5,9.9,9.5,56.7,7.2,357
"AZ",8.2,13.9,6.1,9.7,62,7.4,318
"CA",11.9,11.5,11.8,12.1,52.7,4.5,728
"CO",12.5,13.1,5.4,8.8,60.2,6.2,388
"CT",9.7,6.7,8.9,11.3,63.3,6.3,356
"DC",4.8,11.7,9,22.2,52.3,10.3,167
"DE",11.9,8,9.1,11,59.9,6.4,339
"FL",9,6.7,9.4,16.4,58.4,4.4,665
"GA",13.1,10.7,11.1,15.7,49.3,5.5,493
"HI",12.5,12.4,10.8,13.4,50.8,8.9,216
"IA",11.6,10.6,12.6,7,58.3,5.9,385
"ID",15.9,9.8,7.4,9.4,57.5,6.4,356
"IL",11.9,12.8,10.8,11.6,52.9,4.9,532
"IN",12.1,10.7,8.9,5.3,62.9,5.6,439
"KS",12.2,11.9,9.6,9.8,56.6,5.9,440
"KY",9.7,15.9,11.7,7.8,55,5.9,397
"LA",7.4,8.6,13.4,12.6,58,6.8,386
"MA",11.2,7.8,13.1,11.5,56.4,5,472
"MD",8.4,12,7.2,11.9,60.5,5.7,400
"ME",10.9,11.7,6.9,10.6,59.9,5.6,372
"MI",9.4,10.9,9.5,9.7,60.5,4.8,529
"MN",11.1,10.6,7.4,7.2,63.6,5.6,419
"MO",16.3,8.2,11.3,7.4,56.9,5.1,477
"MS",12.4,9.6,8.3,16.9,52.9,7.3,346
"MT",10.5,12.7,8.2,5.7,62.9,7.4,253
"NC",12.6,9.3,9.6,12.6,56,5,523
"ND",18,9.6,7.8,6.8,57.9,8.6,209
"NE",11.9,12.2,11.3,6.7,57.9,7.6,260
"NH",12.4,7.1,9.1,6.4,65,5.5,370
"NJ",8.3,10.2,8.2,14.2,59.1,4.8,536
"NM",13.3,7.4,15.1,9.8,54.5,10.4,210
"NV",11.4,7.5,11.2,12.2,57.6,6.1,396
"NY",9.6,9,11.1,12.4,57.9,4.5,620
"OH",11.4,8.5,9.9,10.5,59.7,4.7,525
"OK",12.1,12,11.9,11.2,52.8,7.4,331
"OR",8.6,10.1,5.6,5,70.7,5,409
"PA",11.6,10.3,10.1,8,59.9,4.5,559
"RI",10.1,5.9,9,8.4,66.6,6.3,317
"SC",10.1,8.8,10.1,12.2,58.9,6,423
"SD",13,11.8,9.7,9.1,56.4,8,230
"TN",12,10.3,10.9,11.3,55.5,5.6,450
"TX",10,11.9,10.6,13.7,53.7,5.4,580
"UT",11.5,12.5,15.4,7.9,52.7,7.1,309
"VA",13.7,8.6,11.3,10.3,56,4.8,507
"VT",7.9,10.2,11.2,8.2,62.4,7.5,241
"WA",7.9,6.3,13.9,9.4,62.6,5.3,434
"WI",13.2,10.1,7.1,8.9,60.6,4.9,547
"WV",13.4,10.8,9.8,10.3,55.6,6.7,324
"WY",14.6,7.4,6.2,4.8,67.1,11.9,115
