How concerned, if at all, do you currently feel about the following: - Problems with your education or the education of your children 
"","Not at all concerned","Not very concerned","Somewhat concerned","Very concerned","Not applicable to me","Error Margin","N"
"National",8.6,10.4,17.3,17.9,45.7,0.9,20178
"AK",12.2,11.6,28.9,12.5,34.8,9.9,133
"AL",10.8,13.7,12.7,25.1,37.8,6.3,380
"AR",13.1,9.7,15.4,17.1,44.6,7.2,360
"AZ",8.4,8.2,15.2,10.5,57.6,7.5,320
"CA",8,10.2,16.3,20.8,44.6,4.5,728
"CO",10.8,11.3,21.1,12.6,44.2,6.2,388
"CT",7.8,7.1,19.9,15.1,50.2,6.5,357
"DC",4.2,6.8,15.3,32.5,41.2,10.2,167
"DE",8.8,10.1,13.4,19.8,47.9,6.5,336
"FL",7,8.1,17.9,17.7,49.4,4.5,664
"GA",9,10.3,18.4,23.4,38.9,5.4,493
"HI",6.7,12.1,12.8,25.2,43.2,8.8,216
"IA",9.6,12.9,20.9,11.8,44.7,6,385
"ID",14.8,12.2,12.9,14.9,45.1,6.4,357
"IL",8.9,14.1,16.8,19.3,41,4.9,532
"IN",9.2,9.6,19.8,9.3,52,5.7,442
"KS",12.5,10.3,17.8,15.3,44.1,5.9,437
"KY",9,8.3,23,14.7,45,5.9,398
"LA",7.8,10.3,17.6,18.8,45.5,6.8,388
"MA",6.7,7.9,17.9,21.3,46.2,5,473
"MD",6.2,8.3,18.5,20.4,46.5,5.8,401
"ME",6.4,11.4,15.4,16.7,50.2,5.8,372
"MI",7.6,10.9,18.1,14.6,48.8,4.9,529
"MN",5.8,13,16.3,15.1,49.8,5.9,419
"MO",12.6,9.8,14.5,16,47.2,5.1,476
"MS",7.7,9.9,19,24.5,38.9,7.2,346
"MT",8.3,12.8,14.6,12.9,51.5,7.6,253
"NC",9.3,8.6,16,18.2,47.8,5,524
"ND",13.9,15.8,13.7,12.9,43.7,8.6,209
"NE",12.7,9.5,18.4,16.4,43,7.6,263
"NH",7,8,11.4,16.4,57.2,5.7,370
"NJ",6,10.6,17,18.7,47.7,4.8,536
"NM",7.1,17.1,18.1,18.7,39,10.3,208
"NV",11.9,7.9,16.7,18.4,45.1,6.1,392
"NY",5.5,8.9,16.8,19.6,49.2,4.5,622
"OH",10.2,9.6,16.1,14.6,49.5,4.8,524
"OK",10.1,10.8,20.5,16.4,42.2,7.3,330
"OR",6.6,11.1,17.1,12.4,52.9,5.5,408
"PA",8.8,9.5,18.6,15.9,47.2,4.6,563
"RI",5.5,12.6,15.3,12.8,53.8,6.7,318
"SC",8.4,11,15.3,20,45.3,6.1,424
"SD",9.2,10.5,20.4,15.4,44.5,8,227
"TN",11,11.4,15.7,18.8,43.1,5.5,450
"TX",7.4,9.9,20,21.1,41.5,5.3,582
"UT",7.1,10.5,24.8,18.5,39.1,6.9,312
"VA",8.8,10.4,17.3,17.2,46.2,4.8,510
"VT",9,11.9,14.2,16.9,47.9,7.7,239
"WA",5.9,9,19.8,13.8,51.5,5.5,433
"WI",10.2,11.2,18.8,12.5,47.3,5,545
"WV",9.6,12.1,18.3,14.7,45.3,6.7,324
"WY",19.3,8.7,13.7,13.5,44.8,12.6,115
