Do you approve or disapprove of the following measures which federal, state, and local governments could take to prevent the spread of coronavirus (COVID-19) in the next 30 days? - Restricting international travel to the U.S. 
"","Strongly disapprove","Somewhat disapprove","Somewhat approve","Strongly approve","Error Margin","N"
"National",2.6,5,21.7,70.8,0.8,20204
"AK",5.6,9.8,26.3,58.3,10.2,134
"AL",3.9,3.6,20.7,71.9,5.8,384
"AR",2,5.9,26.5,65.6,6.8,364
"AZ",1.6,6.8,20.6,71,6.9,318
"CA",2.2,5.6,25.7,66.4,4.3,728
"CO",5.6,7.3,27.7,59.4,6.2,388
"CT",0.9,4.1,17.8,77.2,5.4,357
"DC",1.2,5.4,17.1,76.2,8.8,166
"DE",1.7,5.1,19.8,73.5,5.7,338
"FL",2.5,4.4,20.3,72.8,4,665
"GA",4.3,3.5,22.3,69.9,5.1,491
"HI",3.9,5.1,19.1,71.9,8,216
"IA",2.7,4.2,27.7,65.4,5.7,387
"ID",2.1,7.2,24.8,65.9,6.1,358
"IL",4,5,25.8,65.2,4.7,530
"IN",1.3,3,23.8,71.8,5.2,443
"KS",2.2,5.3,20.7,71.8,5.3,442
"KY",0.5,1.9,17.2,80.4,4.7,400
"LA",2.5,3.7,18.6,75.2,5.9,390
"MA",1.5,5.9,18.7,74,4.4,474
"MD",2,5.3,20.9,71.7,5.2,398
"ME",2,2.2,23.9,71.9,5.2,370
"MI",1.7,4.6,18.7,74.9,4.3,524
"MN",2.6,5.3,22.2,69.9,5.4,420
"MO",2.2,6,22.6,69.2,4.7,478
"MS",3.6,6.3,21.3,68.7,6.8,347
"MT",2.4,3.7,18.6,75.3,6.5,256
"NC",2.8,6,19.4,71.8,4.5,522
"ND",1.6,3.7,24.2,70.5,7.9,211
"NE",2.1,5.3,21.4,71.3,6.9,264
"NH",0.9,6.1,25.1,67.8,5.4,369
"NJ",2.5,3.7,20,73.8,4.3,538
"NM",4,1.8,24.3,69.9,9.6,210
"NV",4.5,6.9,18.9,69.7,5.6,395
"NY",1.7,4.2,21.3,72.8,4,622
"OH",2.4,4,23,70.6,4.4,526
"OK",0.6,6.5,21.8,71.2,6.7,330
"OR",3.5,4.5,26.8,65.1,5.2,410
"PA",2.1,4.9,19.9,73.1,4.1,563
"RI",1.4,3,21.4,74.3,5.8,318
"SC",1.9,5.5,21.6,71,5.6,421
"SD",2.8,6.5,20.9,69.8,7.4,229
"TN",1,5.3,18.8,74.9,4.9,451
"TX",2.9,3.5,21.9,71.7,4.9,579
"UT",3.7,7.2,23.5,65.6,6.8,312
"VA",3.9,4.4,19.9,71.8,4.4,509
"VT",3.6,6.5,24.9,65,7.4,241
"WA",2.4,4.5,25.9,67.2,5.2,434
"WI",2.2,3.6,21.6,72.7,4.4,548
"WV",1,4.3,17.2,77.5,5.6,324
"WY",3.1,8.7,19.2,69,11.9,112
