How concerned, if at all, do you currently feel about the following: - Problems staying connected  with friends and family 
"","Not at all concerned","Not very concerned","Somewhat concerned","Very concerned","Not applicable to me","Error Margin","N"
"National",23.6,27,26.9,17.3,5.1,0.8,20207
"AK",28.1,35.9,22.5,10.4,3,10,132
"AL",26.7,23.4,25.2,22.1,2.5,5.7,381
"AR",27.3,25.6,23.9,18.4,4.8,6.4,360
"AZ",28.4,26.6,27.4,11.6,6,6.8,320
"CA",18.4,29.2,28.5,18.9,5,4.1,728
"CO",32.1,29.2,21,11.8,5.8,5.9,387
"CT",23.2,25.7,29.4,17.6,4.1,5.9,356
"DC",15.7,19.3,28.4,31.9,4.8,9.6,168
"DE",25.9,32.2,23.4,15.1,3.4,6,340
"FL",22.5,27.2,22.3,22,6,4,664
"GA",25.1,24.6,24,21,5.3,4.8,494
"HI",31.6,23.8,21.6,17.2,5.8,8.3,214
"IA",23.6,28.2,27,16.6,4.7,5.4,386
"ID",34.8,21.6,24.2,13.8,5.7,6.1,359
"IL",22.9,28.6,27.4,14.7,6.4,4.5,532
"IN",24.4,27.2,31.1,14,3.3,5.3,442
"KS",25.9,25,25,18.4,5.6,5.2,439
"KY",18.3,32,29.4,16.8,3.6,5.5,399
"LA",23.7,27.7,26.5,17.2,4.9,6.1,386
"MA",16.7,30.9,30.8,17.6,4,4.6,473
"MD",18.6,26.9,30.4,19.7,4.4,5.3,401
"ME",21.9,28.5,29,16.2,4.5,5.2,372
"MI",24.8,26.4,28.5,15.9,4.4,4.4,529
"MN",24.2,28.6,27.9,16.4,2.9,5.3,420
"MO",27.5,21.8,30.2,14.7,5.8,4.7,476
"MS",23.9,25.8,22,23.2,5,6.5,345
"MT",30.2,36.2,20.6,9.2,3.7,7.3,254
"NC",27.6,28.6,23.4,15.3,5.2,4.5,524
"ND",29.8,27.9,25.8,12.2,4.3,7.9,210
"NE",21.5,29,34.5,12.5,2.4,7.3,263
"NH",25,29.8,29.6,12.6,3.1,5.2,370
"NJ",23.3,27.9,25.6,18.8,4.5,4.3,537
"NM",17,30,27.3,24.4,1.4,9.6,210
"NV",30,26.9,23.1,13.1,6.8,5.6,397
"NY",19.7,27,28.6,20.3,4.4,4.1,620
"OH",26.3,24.9,26.2,18.8,3.8,4.3,525
"OK",27.2,29,23.4,12.5,7.8,6.7,332
"OR",26.1,28.6,27.9,12.4,5,5,408
"PA",23.1,23.5,29.7,18,5.7,4.2,564
"RI",20.1,25.4,28.8,21.4,4.3,6,318
"SC",25.6,30.4,22,17.1,5,5.6,424
"SD",27.5,23.2,30.5,14.2,4.6,7.4,229
"TN",21.9,25.2,30.1,17.1,5.7,5.1,453
"TX",24.7,26.8,24.3,18.9,5.2,4.8,581
"UT",22.1,28.2,33.7,11.1,4.8,6.7,313
"VA",27.1,25.3,27.5,15.7,4.5,4.3,508
"VT",22.9,21.5,33.7,19.4,2.6,7.3,241
"WA",23.1,28.7,25,15.2,8,5,435
"WI",24.1,27.3,31.2,14.3,3.1,4.6,548
"WV",19.8,27.9,31.3,16.5,4.6,6.3,325
"WY",32.8,28.4,25.7,8,5.2,11.9,115
