How concerned, if at all, do you currently feel about the following: - Problems with working from home during the virus outbreak 
"","Not at all concerned","Not very concerned","Somewhat concerned","Very concerned","Not applicable to me","Error Margin","N"
"National",15.3,15.2,14.5,12.1,42.9,0.9,20180
"AK",14,24.8,22.3,8.7,30.1,9.6,132
"AL",15.1,13.8,13.1,17.1,40.9,6.3,382
"AR",18.9,16.3,8.5,9.4,46.9,7.2,359
"AZ",17.5,14.8,8.8,9.5,49.4,7.5,320
"CA",16.2,15.3,16.6,13.9,38,4.4,727
"CO",22.9,18.9,12.3,10.7,35.2,6,389
"CT",13.1,14.2,15.7,10.4,46.6,6.5,357
"DC",16.9,13.9,25.6,25.6,18,9,167
"DE",14,12.3,13.6,14.4,45.7,6.5,338
"FL",12.2,12,13.7,15.3,46.7,4.4,663
"GA",18.1,14.4,15.8,13.9,37.8,5.3,493
"HI",15.1,19.4,15,16.7,33.9,8.4,216
"IA",16.8,17.4,14.9,8.5,42.4,5.9,386
"ID",20.4,13.1,12.1,9.7,44.8,6.4,357
"IL",16.5,15.3,14.8,11.8,41.6,4.9,531
"IN",14.7,14.2,14.1,8.9,48.1,5.7,442
"KS",20.9,14.7,13.2,11.2,39.9,5.8,440
"KY",14,13.1,16.3,10.8,45.8,5.9,399
"LA",13.7,14.3,10.1,13.3,48.7,6.8,387
"MA",14.3,19.5,16.7,11.6,38,4.9,471
"MD",16,17.7,12.6,12.1,41.6,5.7,399
"ME",13.5,13.7,11.7,10,51.1,5.8,372
"MI",12.4,16.9,11.9,9.3,49.5,4.9,527
"MN",16.6,16.8,13.6,11,41.9,5.8,420
"MO",16.5,13.6,13.5,10.8,45.5,5.1,476
"MS",12.5,14.2,11.9,12.6,48.7,7.4,345
"MT",14.8,16.1,14.4,6.6,48.1,7.6,252
"NC",17.6,12.5,15,10,44.9,5,523
"ND",18.8,13.5,18.4,5.3,44,8.6,210
"NE",16.6,20,11.6,10.3,41.4,7.5,263
"NH",14.8,15.2,13.6,7.3,49.1,5.7,369
"NJ",15.3,18,13.4,13.2,40,4.7,537
"NM",13,17.1,14.7,15.7,39.5,10.3,209
"NV",17.5,13.2,12.7,13.1,43.5,6.1,393
"NY",12.1,15.4,15.8,14.4,42.2,4.5,619
"OH",14.2,16.6,11.5,10.6,47,4.8,526
"OK",14.5,17.6,13.7,9.2,45.1,7.4,329
"OR",15.2,17.5,11.5,5.2,50.6,5.5,408
"PA",15.4,12.4,13.4,10.3,48.5,4.6,564
"RI",13.1,14.3,18.1,10,44.5,6.6,319
"SC",16.8,14.9,16,9.9,42.3,6.1,423
"SD",13.8,13.5,16.6,9.4,46.6,8,228
"TN",15.4,13.5,13.8,14,43.3,5.5,451
"TX",14,14.2,12.7,18.4,40.7,5.3,580
"UT",15.7,16.6,19.1,10.1,38.4,6.9,314
"VA",17.2,15.5,16.1,11.6,39.6,4.7,507
"VT",13.3,19.4,14.1,9.8,43.3,7.6,241
"WA",10.2,16.9,14.9,8.7,49.2,5.5,435
"WI",19.1,13.4,11.1,8.9,47.6,5,547
"WV",13.6,16.5,16,8.8,45,6.7,325
"WY",27.2,12,9.5,7.7,43.6,12.6,113
