Race recoded 
"","White","Hispanic","African American","Asian","Other race","Error Margin","N"
"National",64.8,14.7,12.1,5.9,2.5,0.9,20305
"AK",63.7,6.6,2.9,6.1,20.7,10,135
"AL",65.7,4.2,26.4,1.3,2.4,6.1,384
"AR",75.2,5.3,15.5,1.6,2.5,6.2,366
"AZ",58.5,26.5,4.3,3.5,7.2,7.4,320
"CA",39.8,35.3,6.2,14.7,4.1,4.4,730
"CO",70.7,18.9,3.8,3.2,3.4,5.7,389
"CT",68.3,15,9.9,4.5,2.4,6,358
"DC",36.6,10.3,46,3.7,3.4,10.3,168
"DE",65.2,7.2,20.8,3.9,3,6.2,340
"FL",56.3,23.6,14.9,2.8,2.4,4.4,667
"GA",54,8.5,30.8,4,2.6,5.5,496
"HI",24,7.8,2.1,37.8,28.2,8.6,217
"IA",87.2,5,3.4,2.5,2,4,389
"ID",83.2,11.3,0.6,1.4,3.4,4.8,359
"IL",63.2,15.2,14.1,5.5,2.1,4.8,533
"IN",81.1,6,8.3,2.3,2.3,4.5,445
"KS",78.5,9.3,5.8,2.3,4,4.9,442
"KY",85.3,3.1,8,1.4,2.1,4.2,401
"LA",60.9,4.9,29.9,1.7,2.6,6.6,390
"MA",76.6,10.7,4.9,4.9,2.9,4.2,475
"MD",52.3,8.1,29.8,6.4,3.3,5.8,402
"ME",93.5,1.6,1.3,1.1,2.5,2.8,373
"MI",75.7,5,13.2,2.9,3.2,4.2,529
"MN",80.7,5.2,5.8,4.7,3.5,4.6,422
"MO",80,4,11.5,1.9,2.6,4.1,479
"MS",59.9,2.9,34.3,1,1.9,7.2,348
"MT",87.4,3.4,0.5,0.7,8,5,256
"NC",65.1,7.2,21.1,2.8,3.8,4.8,526
"ND",84.8,3.6,2.7,1.4,7.5,6.2,212
"NE",80.2,9.8,4.7,2.2,3.1,6.1,264
"NH",90.4,3.7,1.2,2.7,2,3.4,370
"NJ",58.8,17.4,12.9,8.6,2.4,4.7,541
"NM",46.1,41.2,2.1,1.7,8.8,10.4,211
"NV",53.6,23.4,9.3,8.4,5.3,6.1,397
"NY",56,18.4,14.4,8.3,2.9,4.5,625
"OH",79.2,3.5,12.3,2.1,3,3.9,531
"OK",68.9,9.3,7.1,2.1,12.5,6.8,333
"OR",76.6,12.4,1.8,4.2,5,4.7,410
"PA",76.9,7.2,10.3,3.3,2.4,3.9,566
"RI",73.7,14,5.5,3.3,3.4,5.9,319
"SC",66.8,5,24.2,1.5,2.5,5.8,425
"SD",82.9,3.5,1.8,1.5,10.3,6.1,230
"TN",76.5,3.4,16.1,1.6,2.4,4.7,456
"TX",44.8,35.7,12,5,2.5,5.4,582
"UT",79.6,13.1,1.1,2.3,3.9,5.7,314
"VA",62.5,9.3,18.3,6.3,3.6,4.7,511
"VT",92.7,2.1,1.2,1.7,2.3,4,242
"WA",70.2,12,3.5,8.2,6.1,5.1,436
"WI",82.7,5.8,6.1,2.7,2.7,3.8,549
"WV",92.5,1.5,3.8,0,2.3,3.6,327
"WY",86.8,7.1,1,0.9,4.1,8.6,115
