Do you approve or disapprove of the following measures which federal, state, and local governments could take to prevent the spread of coronavirus (COVID-19) in the next 30 days? - Asking people to stay at home and avoid gathering in groups 
"","Strongly disapprove","Somewhat disapprove","Somewhat approve","Strongly approve","Error Margin","N"
"National",3.1,6.5,22.6,67.8,0.8,20212
"AK",3.9,11.7,30.2,54.2,10.3,135
"AL",3.5,6.7,20.5,69.4,5.9,383
"AR",5.8,7.2,30.4,56.5,7.1,365
"AZ",3,9.3,25.7,62,7.3,317
"CA",2.4,8,20.4,69.2,4.2,729
"CO",3.3,13.7,25.4,57.6,6.2,389
"CT",1.5,4.8,22.9,70.7,5.9,358
"DC",0.9,1.6,14.7,82.8,7.8,167
"DE",2.5,7.5,17.1,72.9,5.8,339
"FL",2.5,7,22,68.6,4.1,660
"GA",3.2,3.5,19.5,73.9,4.8,495
"HI",4.7,4.1,20.8,70.5,8.1,216
"IA",2.2,7,29.7,61.1,5.8,388
"ID",2.7,11.2,29.1,57.1,6.3,359
"IL",6.6,6.4,22.8,64.2,4.7,531
"IN",2.8,7,23.2,66.9,5.4,444
"KS",3.8,6.1,25.2,64.9,5.7,442
"KY",3.1,4.5,21.1,71.2,5.3,400
"LA",2.3,6.2,21.4,70.1,6.2,389
"MA",1.7,4.3,16.6,77.3,4.2,469
"MD",1.2,2.4,18.4,77.9,4.8,398
"ME",3.7,6.1,22.8,67.4,5.4,369
"MI",3.5,7.2,22.9,66.4,4.6,526
"MN",4.2,10.1,25.8,59.9,5.7,420
"MO",4.6,8.7,24.7,62,5,476
"MS",1.3,9.1,21.9,67.7,6.9,346
"MT",2.8,6,27.8,63.4,7.3,254
"NC",4,6.3,26.3,63.3,4.8,522
"ND",3,13.3,32.9,50.8,8.6,210
"NE",5.4,9.6,25,60,7.5,264
"NH",2.5,5.4,22.9,69.2,5.3,369
"NJ",1.9,2.9,20.5,74.6,4.2,540
"NM",1.6,8.6,20.3,69.5,9.6,211
"NV",4.8,5.4,21.5,68.2,5.7,395
"NY",1.9,4.5,18.7,74.9,3.9,624
"OH",3,6.8,25.4,64.8,4.6,529
"OK",3.2,3.8,27.6,65.3,7,330
"OR",4,10.3,23.4,62.2,5.3,410
"PA",4.8,7.2,26,61.9,4.5,564
"RI",2.5,3.5,22.1,71.9,6,317
"SC",2.7,4.9,24.8,67.6,5.8,422
"SD",2.3,9.6,30.5,57.5,8,228
"TN",4.1,7.4,21.4,67.1,5.2,453
"TX",3.9,5.4,19.4,71.3,4.9,580
"UT",3,7.2,32.5,57.2,7.1,312
"VA",3.1,7.2,21.2,68.5,4.5,508
"VT",4.2,4.9,28.2,62.7,7.5,241
"WA",1.4,4.5,25.7,68.4,5.1,435
"WI",4.7,6.7,20.9,67.7,4.7,547
"WV",1.8,4.8,19.5,73.8,6,323
"WY",10.4,13.2,32.4,44.1,12.7,114
