Household income range 
"","NA","Under 15K","15K to under 25K","25K to under 35K","35K to under 50K","50K to under 75K","75K to under 100K","100K to under 150K","150K to under 200K","Over 200K","Error Margin","N"
"National",21.9,9.5,11.6,9.6,10.7,14.7,8.6,7.7,2.9,2.7,0.7,20305
"AK",5.8,13.9,12,11,14.1,25.2,5.7,6.2,0.3,5.8,9,135
"AL",19,14.5,13.4,14.3,13.8,9.2,6.8,6.1,1.8,1.1,5,384
"AR",25.4,14.2,17.1,7.9,10,12.2,6.7,4.6,0.6,1.6,6.2,366
"AZ",11,5.4,10.5,13.6,13.7,19.4,11.1,7.4,3.1,4.9,6,320
"CA",23.5,8.8,9.6,9.6,8.7,15.3,9.6,8.7,3.2,3.1,3.8,730
"CO",23.2,7.4,11.2,5.1,7.1,22.4,10.5,6,4,3,5.3,389
"CT",21.3,8.5,6.7,7.7,14.2,15.7,6.8,9.2,6.8,2.9,5.3,358
"DC",9.8,9.9,4.8,8.2,11.2,10.3,10.9,9.9,10.3,14.8,7.3,168
"DE",10.6,10.9,9.2,8.4,10.2,19.9,11,10.8,5.5,3.5,5.2,340
"FL",24.1,8.6,10.1,10.9,10.1,15.6,9.2,7,2.8,1.5,3.8,667
"GA",28.1,6.4,16.7,9.1,7.7,14.2,6.6,7.1,2.2,2,4.9,496
"HI",19.2,6.3,3.8,12.3,8.5,14.8,12.9,13.5,3,5.8,7,217
"IA",20.5,6.9,13.7,10.5,11.6,16.9,8.8,5.9,2,3,4.8,389
"ID",14.7,15.1,11.1,12.1,15.1,15.6,8,5.4,1.2,1.6,4.6,359
"IL",24.6,6.8,8.9,8.9,8.4,15.8,10.7,8.1,5.1,2.5,4.2,533
"IN",27.9,7.9,8.2,9.8,9.6,18.1,7.1,8.1,2.1,1.1,5.2,445
"KS",15.5,14.2,12.8,7.6,12.3,16,8.4,9.2,3,1.2,4.4,442
"KY",22.9,13,15.3,7,15.4,12.7,8,3.8,0.9,1,4.9,401
"LA",21.3,11.5,19.1,11,8.4,13.3,5.9,5.6,1.1,2.8,5.6,390
"MA",25.6,5,9.4,6.7,8,15.2,11.1,11.2,4,3.9,4.4,475
"MD",24,4.4,9.1,9.7,8.5,15.7,11.6,9.3,4,3.5,4.9,402
"ME",10.3,11.1,11.2,13,17.3,16.6,10.9,7.2,1.4,1,4.3,373
"MI",32.4,9,11.3,6,10,13.4,8.4,6,2.3,1.2,4.6,529
"MN",22.5,5.5,11.4,8.3,11.3,12.9,12,10.2,2.3,3.6,4.9,422
"MO",22.2,12.2,14.5,11.1,9.3,14,5.6,6.1,2.8,2.2,4.3,479
"MS",16,12,20.2,11.1,13.7,10.7,6.6,6.6,2.5,0.7,5.9,348
"MT",9,12.9,17.1,11.2,15.7,15.6,7.7,7.1,2.3,1.5,5.7,256
"NC",21.8,8.7,10.7,9.8,10.9,17.4,8.6,7.2,2.4,2.5,4.1,526
"ND",9.7,8.5,11.7,11.6,12.2,15,13.5,16.4,1.4,0.2,6.4,212
"NE",20.9,5,13.6,13.6,10.9,17.3,7.5,6.5,2.6,2,6.2,264
"NH",10.5,5,8.5,10.6,15.8,18.8,13.3,10.2,2.9,4.4,4.5,370
"NJ",18.9,4.3,9.9,5.1,9.8,18.9,11.1,11,5.7,5.2,3.8,541
"NM",26.9,11,14.3,13.7,14.3,10.5,5.2,3,0.6,0.6,9.3,211
"NV",22.7,9.8,11.7,9.6,9.1,17.6,7.2,6.8,2.6,2.8,5.2,397
"NY",24.2,9.1,12.2,10.5,7.8,12.7,7,8.9,4.9,2.7,3.9,625
"OH",22.1,11.2,11,8,12.3,14.7,9.7,7.5,1.3,2.2,4,531
"OK",27.9,12,12.2,11.3,11.5,10.1,7.3,3.4,1.6,2.7,6.6,333
"OR",24.6,11.5,8.4,9,13.5,14.8,5.8,7.5,2,3,4.7,410
"PA",18.9,8.7,9.8,8.8,12.6,18.4,9.2,9,3,1.6,3.6,566
"RI",10.7,14.5,11.8,6.5,12.2,15.9,13.4,9.9,3.2,2,4.9,319
"SC",21.1,7.9,10.2,12.5,14.8,12.8,9.4,7.9,2,1.4,5,425
"SD",13.7,15.4,10.1,11.6,10.9,16.7,11.7,6.7,1.5,1.7,6,230
"TN",24.8,5.6,13.8,10.5,13.1,15.4,6.6,4.6,3.5,2,4.8,456
"TX",28.3,9.9,10.8,7,11.3,14.6,8.1,5,2.4,2.6,4.9,582
"UT",24.2,12.3,9.4,9.6,8.9,13.7,9.7,6.3,4.6,1.5,6.1,314
"VA",23.1,7.2,7.8,8,9.4,18.1,9.9,8.4,4.3,3.9,4.1,511
"VT",8.2,15.6,15.3,8.7,9.6,9.3,13.8,12.1,1.3,6.1,5.6,242
"WA",27.2,8.3,8.9,9.5,6.9,14.4,7.5,11.4,4,2,4.9,436
"WI",22.5,8.8,10.1,12.4,13.7,13.3,8.7,7.1,2.4,1.1,4.2,549
"WV",20,7.7,17.3,12.2,12.1,13.3,9.9,3.8,1.3,2.3,5.4,327
"WY",24.2,7.2,12,10.3,23.5,11.2,5.4,3.5,0.5,2.3,10.9,115
