In the last 24 hours, how many people who are not part of your household did you meet face-to-face? 
"","0","1","2","3","4-9",">9","Error Margin","N"
"AK",31.4,12.9,15.2,11.3,16.4,12.8,9.6,135
"AL",30,13.6,15.8,10.9,16,13.6,5.9,384
"AR",29.9,11.8,15.1,10.8,20.8,11.7,6.5,363
"AZ",38.7,13.3,14.2,8.8,13.3,11.6,7.4,320
"CA",44.7,12.8,13.7,10.9,12.9,5,4.5,729
"CO",36,12,15.2,8.1,17.7,11,6,389
"CT",40.1,13.5,15.8,7.6,16.8,6.1,6.4,356
"DC",40,13.1,15.5,5.9,19.8,5.7,10.1,168
"DE",44.5,14.4,13.9,5.8,16.5,4.9,6.4,339
"FL",45.3,11.5,14.3,6.9,16.8,5.3,4.4,665
"GA",42.5,15.7,13.9,5.9,15,7,5.4,495
"HI",35,11.8,19.5,4.5,17.4,11.8,8.5,215
"IA",30.5,12.3,14.7,7,23.1,12.4,5.5,388
"ID",31.8,10.9,12.7,10.7,21.8,12.1,6,358
"IL",43,10.6,14.4,6.4,17.4,8.3,4.9,531
"IN",38.3,13.1,15.9,6.5,17.7,8.5,5.6,445
"KS",30.2,13.2,16.7,8.9,20.9,10.2,5.5,442
"KY",38.5,14.6,15.9,7.5,15.1,8.3,5.7,399
"LA",32.1,17.6,12.9,9.3,18.4,9.6,6.4,388
"MA",43.1,14.5,12,10,12.8,7.6,4.9,474
"MD",46.2,15.8,11,5.4,15,6.7,5.8,400
"ME",32.3,17.9,12.4,11.7,16.9,8.9,5.4,373
"MI",43.7,15.2,14.3,7.4,10.5,8.9,4.9,527
"MN",38.6,13.3,12.6,6.8,19.3,9.5,5.7,421
"MO",38.5,10.6,14.1,9.7,16.6,10.5,5,478
"MS",32.8,12,16.7,9.2,18.1,11.2,6.9,346
"MT",31.6,10.4,8.8,9.7,23.7,15.8,7,256
"NC",37.9,10.9,13.9,9.2,17.3,10.8,4.9,523
"ND",38.3,10.5,12,4.6,18.6,15.9,8.4,212
"NE",34.1,14.7,16.1,11.7,14.1,9.3,7.2,264
"NH",35.8,10.3,17.2,11.6,15.7,9.5,5.5,369
"NJ",41.5,13.1,14.2,9.4,16.1,5.8,4.8,540
"NM",37.3,10.8,17.3,10.1,17.3,7.2,10.1,211
"NV",46.1,10.2,12,12.1,14.1,5.7,6.1,396
"NY",53.1,14.4,10.6,6.7,11,4.3,4.5,623
"OH",37.1,16.6,15.6,8.2,17,5.5,4.7,529
"OK",31.9,15.6,10.2,7.3,22.9,12.2,6.9,332
"OR",37,10.8,15.3,9.9,17,10,5.3,409
"PA",43.8,14.3,12.3,5.9,15.7,8,4.5,565
"RI",44.3,13.9,14.1,7.2,14.3,6.3,6.6,318
"SC",31.4,13.6,12.8,8.6,19.6,14,5.7,423
"SD",25.4,12.2,16.7,12.7,21.9,11,7,229
"TN",32.2,11,13.1,9.8,18.7,15.3,5.2,453
"TX",40.1,13.2,15.6,7,13.2,10.9,5.3,579
"UT",32.6,10.8,13.8,10.4,24.8,7.6,6.7,314
"VA",38.5,10.4,17.2,10.7,15.9,7.2,4.7,509
"VT",34.2,22,13.7,7.6,17.4,5.1,7.3,241
"WA",45.6,12.8,13.6,6.9,12.1,9.1,5.5,435
"WI",39.8,15.5,14.5,6.1,14.7,9.3,4.9,549
"WV",34.7,16.3,14.7,6.2,20.3,7.8,6.4,327
"WY",33.3,13.2,15.7,3.5,15,19.2,12,115
