Do you approve or disapprove of the following measures which federal, state, and local governments could take to prevent the spread of coronavirus (COVID-19) in the next 30 days? - Cancelling major sports and entertainment events 
"","Strongly disapprove","Somewhat disapprove","Somewhat approve","Strongly approve","Error Margin","N"
"National",3.9,7.3,20.7,68,0.8,20197
"AK",8.5,9.2,26.1,56.2,10.3,134
"AL",4.3,9.8,18.5,67.4,6,384
"AR",4.4,7.7,26.7,61.2,7,363
"AZ",3.3,12.3,20.4,64.1,7.2,317
"CA",2.9,6.9,19.5,70.8,4.1,729
"CO",5.4,9.8,25.8,58.9,6.2,388
"CT",4.9,4,22.9,68.2,6,357
"DC",1.5,1.2,16.2,81,8.2,166
"DE",4.2,5.7,19,71.1,5.9,336
"FL",2.6,8.1,18.6,70.6,4.1,661
"GA",4.4,6,18.2,71.4,5,494
"HI",2.7,3.2,20.9,73.2,7.9,216
"IA",4.1,10.1,23.6,62.2,5.8,387
"ID",4.2,10.4,24.3,61,6.2,359
"IL",6.8,6.2,22.6,64.4,4.7,531
"IN",3.4,7.2,16.9,72.5,5.1,444
"KS",3.4,7.4,24.8,64.5,5.7,442
"KY",3.2,5.7,19.5,71.5,5.3,399
"LA",4.4,7.7,17.1,70.8,6.2,389
"MA",2.1,4.5,18.7,74.7,4.3,474
"MD",2.3,4,17.9,75.9,5,399
"ME",5,4.1,21,69.9,5.3,370
"MI",4.7,7.7,23.1,64.5,4.7,523
"MN",5.5,9.1,24.9,60.5,5.7,420
"MO",6.9,8.4,20.4,64.3,4.9,477
"MS",2.8,5.6,22.7,68.9,6.8,346
"MT",2.2,7.9,25.9,64,7.3,255
"NC",5.2,7.7,19.2,68,4.7,523
"ND",4.1,10,22.6,63.4,8.3,211
"NE",7.6,7.5,19,65.8,7.2,264
"NH",3,7.8,16.6,72.6,5.1,369
"NJ",2.7,4.6,16.9,75.8,4.1,539
"NM",3.9,2.4,19.4,74.3,9.1,211
"NV",6,10.5,19,64.5,5.9,396
"NY",2.5,6.2,18.4,72.9,4,622
"OH",3.6,8.4,22.4,65.6,4.6,527
"OK",4.2,7.4,19.7,68.7,6.9,328
"OR",5.1,11.5,19,64.4,5.3,407
"PA",5.1,7.5,25.6,61.9,4.5,564
"RI",3,5.8,17.8,73.4,5.9,319
"SC",2.6,8.7,17.9,70.8,5.6,421
"SD",3,12.3,23.5,61.2,7.9,229
"TN",4,6,23.1,66.8,5.3,452
"TX",3.6,7.8,21.3,67.3,5.1,579
"UT",3.5,9.7,19.5,67.2,6.7,313
"VA",5.5,5.9,18.3,70.4,4.4,509
"VT",5.1,7.1,23,64.8,7.4,241
"WA",1.2,5.2,22.8,70.8,5.1,431
"WI",3.5,8.1,24,64.4,4.8,547
"WV",2.9,5.5,19.1,72.5,6,323
"WY",14.6,14.5,22.1,48.8,12.9,112
