How concerned, if at all, do you currently feel about the following: - Getting coronavirus yourself 
"","Not at all concerned","Not very concerned","Somewhat concerned","Very concerned","Not applicable to me","Error Margin","N"
"National",12.8,20.9,34.4,29.8,2.1,0.9,20247
"AK",18.4,26.3,33.4,16.4,5.5,9.8,134
"AL",13.5,18.2,31.7,36.5,0.1,6.2,384
"AR",17.6,25.3,32.2,23.2,1.7,6.7,365
"AZ",15.2,22.9,34.1,25.3,2.5,7.2,320
"CA",10.9,17.2,35.3,34.2,2.4,4.3,730
"CO",18.5,22.3,35.1,21.7,2.4,6,389
"CT",8.4,18.7,40,31.9,1.1,6.3,358
"DC",5.1,17.4,38,38,1.5,10,168
"DE",11,22.2,32.1,33,1.8,6.1,340
"FL",11.5,15.9,35.6,34.6,2.4,4.3,666
"GA",7.4,16.4,34.7,38.6,3,5.3,495
"HI",10.3,22.1,32.7,32.7,2.2,8.4,213
"IA",13.3,24.4,35.9,25.1,1.3,5.7,389
"ID",22.1,24.9,31.1,20.9,1,5.9,358
"IL",15.1,21.1,34,27.8,2,4.7,533
"IN",15.1,25.4,34.2,24,1.2,5.5,442
"KS",15.6,23.1,33,26.7,1.6,5.6,442
"KY",10.5,21.4,40.7,26.2,1.2,5.8,398
"LA",12.9,21.4,31.5,32.2,2.1,6.4,390
"MA",8.4,13.8,40.6,34.9,2.3,4.9,475
"MD",7.3,20,37.1,33.1,2.5,5.6,400
"ME",14.6,22,37.3,25.3,0.8,5.6,373
"MI",10.1,23.8,35.5,27.4,3.2,4.7,528
"MN",12.2,29.3,38.7,19.3,0.5,5.7,419
"MO",20,25.4,29.8,22.5,2.2,4.7,477
"MS",11.1,22.9,28.7,35.3,2,7.1,347
"MT",14.9,31.1,32.7,20.4,0.9,7.1,255
"NC",13.8,21.5,34.3,28.9,1.5,4.7,525
"ND",15,26.7,38.3,18.6,1.4,8.4,211
"NE",14.9,25.8,37.7,20.1,1.5,7.4,263
"NH",12.2,22.2,39.5,24.9,1.1,5.6,369
"NJ",10.1,15.4,37.3,35.7,1.5,4.7,535
"NM",14.5,14.5,38.9,31.4,0.8,10.2,210
"NV",11.6,21.2,33.8,30.7,2.7,5.8,396
"NY",8.2,17.1,33.8,37.6,3.2,4.4,624
"OH",16.9,19.4,34.9,26.6,2.3,4.6,530
"OK",16.8,19.2,38.2,23.8,2,7.2,332
"OR",14.5,31.6,37,14.3,2.5,5.3,410
"PA",11.5,21.9,34.2,31,1.4,4.4,564
"RI",9.9,15.7,38.4,34.3,1.7,6.5,317
"SC",12.8,23.2,37.5,24.6,1.9,5.9,425
"SD",15.5,22.6,30.7,31.2,0,7.5,228
"TN",15.2,16.8,34.9,31.2,1.8,5.3,454
"TX",11.5,17.9,34.1,34.6,1.9,5.2,582
"UT",15.2,24.7,38.1,18.6,3.3,6.9,313
"VA",15,21.1,31,30.5,2.5,4.5,510
"VT",12.7,26.8,35,24.8,0.8,7.3,240
"WA",12.4,21.5,32,32.9,1.2,5.2,434
"WI",13.3,26.3,33.4,25.5,1.5,4.7,546
"WV",11,22,33.3,31.9,1.8,6.4,326
"WY",25.8,28.9,31,14.3,0,11.7,115
