How concerned, if at all, do you currently feel about the following: - Family members getting coronavirus 
"","Not at all concerned","Not very concerned","Somewhat concerned","Very concerned","Not applicable to me","Error Margin","N"
"National",7.5,12.7,33.4,44.1,2.3,0.9,20182
"AK",11.9,24.2,31.4,30.4,2.1,9.7,132
"AL",7,11.5,29.9,50.7,0.9,6.4,383
"AR",9.5,15.3,39.3,33.5,2.4,7,361
"AZ",9.9,15.5,35.9,35.9,2.8,7.3,318
"CA",6.8,10.5,33,46.7,3,4.5,724
"CO",10.3,15,35.5,38,1.1,6.1,387
"CT",2.7,10.8,36.9,47.8,1.9,6.5,356
"DC",2,10.8,31.3,55.2,0.8,10.3,167
"DE",6.7,13.4,33.9,43.9,2.1,6.4,340
"FL",7.6,11.7,34.1,43.7,3,4.4,664
"GA",4.4,9.6,35,48.5,2.5,5.5,493
"HI",2.3,16.5,27.1,51.4,2.6,8.9,216
"IA",5.6,12.4,35.2,44.5,2.2,6,387
"ID",12.5,14.1,33.8,37.7,1.9,6.2,358
"IL",10.3,14.3,30.3,42.7,2.4,4.9,532
"IN",6.8,15.6,33.2,42.6,1.8,5.7,442
"KS",9.1,14.4,36.2,39.8,0.4,5.8,440
"KY",6.6,9.5,39.7,42.3,1.9,5.8,399
"LA",6.7,11.6,33.7,45.3,2.8,6.8,388
"MA",6.2,7.2,30.7,53.4,2.6,5,472
"MD",5.9,8.5,32.2,50.6,2.8,5.8,398
"ME",8.2,14.5,36.3,38,3,5.6,373
"MI",5.9,11.9,32,47.4,2.8,4.9,529
"MN",6.2,17.9,38.8,35.8,1.3,5.7,418
"MO",12.3,15.8,32.8,35.5,3.6,4.9,475
"MS",6.7,10,28.4,53.2,1.7,7.3,343
"MT",8.3,15.1,40.3,34.8,1.5,7.5,253
"NC",8.9,13.5,31.8,43.6,2.1,5,526
"ND",10.4,15.8,34.2,37.3,2.2,8.4,210
"NE",10,15.6,33,40.3,1.2,7.5,263
"NH",5.8,14.8,31,47.3,1.1,5.7,370
"NJ",6.2,9.6,32.2,50.7,1.4,4.8,535
"NM",8.1,15.2,26.8,48.6,1.4,10.5,210
"NV",8.7,12.2,30.9,44.3,3.9,6.1,394
"NY",6,9.8,29.7,51.3,3.3,4.5,621
"OH",9,15.7,34.9,38,2.5,4.7,529
"OK",8.7,14.2,34.6,38.5,3.9,7.2,330
"OR",6.5,21,38.1,32,2.3,5.4,409
"PA",6.5,12.1,38.2,41.4,1.9,4.5,563
"RI",4.2,8.2,33.4,52.8,1.5,6.7,318
"SC",7.9,13.9,33.9,42.6,1.8,6.1,420
"SD",8.9,15.8,31.1,43,1.1,8,227
"TN",8.1,12.5,34.2,42.9,2.2,5.5,455
"TX",7.5,12.8,28.5,49.9,1.4,5.4,582
"UT",8,11.4,38.1,39,3.6,6.9,312
"VA",8.1,15.6,28.5,45.3,2.6,4.8,508
"VT",6.6,14.1,38.8,37.9,2.7,7.5,241
"WA",6.3,15.4,33,42.9,2.3,5.5,431
"WI",9.2,14.3,33.4,42,1.1,4.9,544
"WV",4.7,9.3,35.8,48.1,2.1,6.8,322
"WY",15.7,13.7,45.1,25.6,0,12.6,114
