How concerned, if at all, do you currently feel about the following: - Financial hardships due to the virus outbreak or the measures against it 
"","Not at all concerned","Not very concerned","Somewhat concerned","Very concerned","Not applicable to me","Error Margin","N"
"National",12.1,17.1,30.2,33,7.6,0.8,20188
"AK",15.4,19.8,27.8,29,8.1,9.6,130
"AL",16.2,12.3,25.2,39.4,6.8,6.3,382
"AR",11.4,16,24.3,41.7,6.5,7.1,360
"AZ",15.9,19.8,27,27.3,10,6.7,318
"CA",11.2,15.1,34.4,32.1,7.2,4.3,729
"CO",10.8,15.5,35.5,33,5.2,6,389
"CT",10.1,18.1,34.1,31,6.8,6.2,356
"DC",6.4,18.2,20,45,10.4,10.2,168
"DE",10.6,18.1,27.6,39,4.8,6.3,339
"FL",12.6,16.3,26.1,38,6.9,4.3,664
"GA",10.8,17.9,26.4,38.3,6.5,5.4,494
"HI",12,19.3,21.8,42.7,4.3,8.8,215
"IA",13.7,17.2,35.1,28.2,5.8,5.7,387
"ID",16.8,15.1,28.7,30.8,8.7,5.9,359
"IL",14.1,20.4,30.2,27.2,8.1,4.5,530
"IN",13.4,22.1,32,26.8,5.6,5.4,441
"KS",12.7,19.7,30.6,30.5,6.6,5.5,441
"KY",9.2,16.7,36.2,31.7,6.3,5.7,398
"LA",12.3,15,28.2,38,6.5,6.7,385
"MA",12.1,17.4,32.6,30.4,7.5,4.7,470
"MD",11.9,19.1,25,36.8,7.2,5.6,399
"ME",14.2,20.4,30.3,27.6,7.4,5.3,373
"MI",13.5,19.8,27.9,29.1,9.7,4.4,528
"MN",16.2,19.5,33.4,24.5,6.5,5.5,421
"MO",19.8,16.6,26.8,27.2,9.7,4.6,476
"MS",10.3,11.8,28,42.6,7.3,7.3,345
"MT",12.7,23.4,30.3,28.2,5.5,7,253
"NC",11.9,16.6,28.2,33.3,9.9,4.7,523
"ND",13.1,22.5,30.6,28.8,5,8,210
"NE",17.6,19.5,22.7,33.6,6.5,7.2,263
"NH",12.1,20.9,30,29.1,7.8,5.3,368
"NJ",11.3,15,33.2,35.3,5.2,4.6,538
"NM",10.2,22.8,29.1,34.8,3.2,10,210
"NV",10,12.8,33.5,38.3,5.4,6,397
"NY",11.1,13.8,30.9,36,8.2,4.4,620
"OH",14.1,17.3,33.1,26,9.6,4.5,525
"OK",7,19.3,32.8,33.2,7.8,6.9,333
"OR",9.3,19.5,35.5,25.8,9.8,5.3,407
"PA",13.5,16.5,30.5,31.1,8.3,4.2,564
"RI",9.1,19.1,36.1,31.8,3.9,6.4,317
"SC",10.9,18.5,28.9,34.2,7.5,5.8,421
"SD",15.2,15,29.3,35,5.4,7.7,229
"TN",10.8,15,33.7,32.3,8.2,5.3,452
"TX",11.3,14.6,30.8,36,7.2,5.2,581
"UT",9.3,21.6,33.8,27.5,7.8,6.7,313
"VA",15.4,18,30,29.2,7.4,4.5,507
"VT",12.2,15.7,37.5,30.4,4.1,7.5,241
"WA",13.6,19.2,29.3,29,8.9,5,435
"WI",14.3,20.7,30.1,27.5,7.4,4.6,547
"WV",10.9,20.9,30.6,29.8,7.8,6.2,322
"WY",22.2,19.6,23.7,29.4,5.2,11.5,115
