Education recoded for weighing 
"","Some high school","High School Graduate","Some College","Bachelor Degree","Graduate Degree","Error Margin","N"
"National",9.9,27.8,31.4,19,11.9,0.8,20305
"AK",6.9,30,35,16.5,11.6,9.9,135
"AL",12.8,31.4,32.2,15.3,8.4,6,384
"AR",10.7,32,33.9,15,8.4,6.8,366
"AZ",9.8,23.6,37.4,18.4,10.7,7.3,320
"CA",9.2,22.9,33.1,22.3,12.5,4.2,730
"CO",6.8,21.7,31.7,25.8,13.9,5.8,389
"CT",8,27,27.5,21.6,15.9,5.8,358
"DC",5.3,18.8,18.2,26.7,30.9,9.5,168
"DE",10.7,31.2,28.5,17.4,12.2,6,340
"FL",7.7,29.7,32.4,19.4,10.8,4.2,667
"GA",11.3,28.4,30.4,18.9,11.1,5,496
"HI",4.5,28.1,34.1,21.9,11.4,8.4,217
"IA",6.7,30.2,35.4,19.3,8.3,5.7,389
"ID",9.2,28.9,36.4,17.5,8,6.2,359
"IL",7.3,27.1,31.3,21.4,12.9,4.6,533
"IN",9.4,32.9,31.6,17.1,9,5.4,445
"KS",7.1,25.1,35.5,20.8,11.6,5.7,442
"KY",10.1,33.9,31.7,14.8,9.4,5.6,401
"LA",13.4,33.7,29.6,15.4,8,6.4,390
"MA",2.5,24,27.9,26.5,19.2,4.5,475
"MD",7,25.4,28.2,22,17.4,5.2,402
"ME",7,31.9,31.4,19.4,10.3,5.4,373
"MI",6.5,29.5,35.4,18.1,10.5,4.7,529
"MN",5.8,24.9,34.5,23.5,11.3,5.6,422
"MO",8.6,30.7,32.8,17.6,10.3,4.8,479
"MS",14,27.7,36.3,14.1,8,7.1,348
"MT",6.3,28.4,35.5,19.7,10.1,7.2,256
"NC",7.5,26.9,34.1,20.8,10.7,4.7,526
"ND",0,27.4,43.1,22.1,7.5,8.5,212
"NE",7.8,26.4,34.9,20.9,9.9,7.3,264
"NH",5.8,28.8,30.6,21.9,12.9,5.3,370
"NJ",6.5,26.6,26.4,25.5,14.9,4.3,541
"NM",10.2,26.6,35.4,16.8,10.9,10,211
"NV",7.3,30.1,37.5,16.5,8.5,6,397
"NY",11.3,26.3,26.7,20.8,14.9,4,625
"OH",8.4,33.1,31.1,17.4,10,4.5,531
"OK",9.6,32.5,34,16.3,7.6,7,333
"OR",9.2,23.5,35.8,20,11.5,5.3,410
"PA",6.5,35.4,27,19.4,11.7,4.4,566
"RI",10.1,28.7,28.7,19.7,12.8,6,319
"SC",8.3,31.1,32.9,17.7,10,5.8,425
"SD",7.6,30.9,33.6,19.6,8.2,7.6,230
"TN",9.4,32.6,31.4,17.2,9.4,5.2,456
"TX",10.4,26.9,32.6,19.9,10.2,5.1,582
"UT",7.5,24.2,37.6,20.6,10.2,6.9,314
"VA",8.2,25.4,29.3,21.7,15.4,4.4,511
"VT",6.6,29.5,28.1,22,13.8,7,242
"WA",8.2,23,34.5,21.9,12.5,5.3,436
"WI",5.3,30.9,34.5,19.5,9.8,4.7,549
"WV",7,40.6,30.5,13.6,8.3,6.6,327
"WY",7.7,27.4,39.1,16.6,9.3,12.4,115
