Do you approve or disapprove of the following measures which federal, state, and local governments could take to prevent the spread of coronavirus (COVID-19) in the next 30 days? - Requiring most businesses other than grocery stores and pharmacies to close 
"","Strongly disapprove","Somewhat disapprove","Somewhat approve","Strongly approve","Error Margin","N"
"National",7.7,14.7,30.8,46.8,0.9,20204
"AK",13.4,25.9,29.2,31.4,9.6,133
"AL",8.6,17.2,27.6,46.5,6.4,384
"AR",9.4,19.5,37.2,33.9,6.9,364
"AZ",9.2,15.6,33.5,41.7,7.5,317
"CA",5.9,14.7,28.8,50.6,4.5,729
"CO",10,18.1,35.6,36.3,6,389
"CT",6.6,13.2,31.2,49.1,6.5,358
"DC",5.6,9.7,14.2,70.5,9.5,165
"DE",8.8,12.3,32.7,46.1,6.5,338
"FL",6.6,15.9,29.5,48,4.5,663
"GA",6.2,11.6,26.9,55.4,5.4,494
"HI",6.2,13.4,27.3,53,8.9,216
"IA",6,19.9,33.5,40.6,5.9,388
"ID",12.1,21.7,34.1,32.1,6.1,358
"IL",8.8,19.9,32.6,38.6,4.8,531
"IN",8.1,13.3,30.2,48.4,5.8,444
"KS",9.4,12.7,31.3,46.5,5.9,442
"KY",7.5,13.9,27.1,51.5,5.9,400
"LA",8,15.9,27.1,48.9,6.8,388
"MA",4.2,11.8,26.9,57,4.9,473
"MD",4.1,10.6,28.3,57,5.8,398
"ME",10.3,13.9,34.4,41.4,5.7,370
"MI",8.9,15.4,29.8,45.9,4.9,524
"MN",10.3,16.9,35.7,37.1,5.7,421
"MO",8.3,15.9,31.3,44.4,5.1,478
"MS",8.5,10.5,33.8,47.2,7.4,345
"MT",12.6,16.2,30.4,40.8,7.4,256
"NC",8.6,14.9,32.9,43.6,5,521
"ND",10.1,22,26.7,41.1,8.5,211
"NE",10.7,16.6,34.3,38.4,7.4,263
"NH",7.5,12,27.8,52.6,5.7,370
"NJ",4.3,14,28.9,52.7,4.8,539
"NM",9,14.7,33,43.3,10.4,211
"NV",8.4,16.7,26.8,48.1,6.1,397
"NY",4.8,11.1,28.9,55.3,4.5,622
"OH",7.7,15.1,33,44.1,4.8,526
"OK",7.4,17.3,31.6,43.7,7.3,329
"OR",10.7,21.1,31.3,36.9,5.3,409
"PA",10.3,17.7,29.2,42.7,4.5,563
"RI",5,14.3,27.7,53,6.7,317
"SC",8.2,13.5,32,46.3,6.1,423
"SD",6.8,17.9,39.5,35.8,7.9,230
"TN",8.3,13.2,35.2,43.3,5.5,450
"TX",6,14.6,29.2,50.2,5.4,579
"UT",8.4,18.9,39.5,33.1,7,312
"VA",10,15,27.9,47.1,4.8,507
"VT",7.7,11.7,36.2,44.4,7.7,241
"WA",5,15,34.6,45.4,5.5,434
"WI",11.7,14.9,32,41.4,4.9,547
"WV",4.8,14.7,30.4,50.1,6.8,324
"WY",21.2,25.2,18.2,35.3,12.2,113
