In the last 24 hours, did you get any news or information related to the current coronavirus (COVID-19) outbreak from the following sources 
"","CNN","Fox News","MSNBC","President Trump’s press briefings","Error Margin","N"
"National",33.9,35.8,16.8,27,0,3266
"AK",27.7,26.8,21.2,23.2,9.4,135
"AL",36,41.3,15.8,27.1,6.4,384
"AR",20.9,35.9,8.6,38.4,7.2,366
"AZ",34.1,37.8,14.6,23.4,7.3,320
"CA",39.6,32.4,20.7,24.1,4.4,730
"CO",31.7,32.3,12.9,23.5,5.9,389
"CT",39.2,36.9,21.1,30.8,6.4,358
"DC",54.5,43.6,19.5,28.1,10.4,168
"DE",35.4,37.4,18.5,29.5,6.3,340
"FL",38.4,36.6,17.8,27.1,4.3,667
"GA",35.2,40.8,14.7,31,5.4,496
"HI",31.7,30.3,15.2,21.4,8.3,217
"IA",26.8,28.7,13.7,28.8,5.7,389
"ID",23.3,32.6,10.9,26.9,6.2,359
"IL",32.3,31.4,15.7,22.9,4.5,533
"IN",26.4,34.9,13.8,33.1,5.7,445
"KS",32,31.2,14.8,27.4,5.7,442
"KY",23.7,31.1,12.7,28.8,5.7,401
"LA",31.5,35.9,14.4,37.6,6.7,390
"MA",37,31.9,18.9,29.2,4.9,475
"MD",39.5,36.7,17.8,22.4,5.7,402
"ME",28.5,32.3,20,28.2,5.4,373
"MI",29.5,37.5,14.6,26,4.8,529
"MN",29.8,29.5,16.5,18.9,5.3,422
"MO",24,36.6,14.6,26.2,5.1,479
"MS",28,44.4,23.7,35.1,7.4,348
"MT",25.3,28.4,18.6,22.3,7,256
"NC",36.9,39.4,17.7,28.4,4.9,526
"ND",30.7,35.2,19.7,26,8.4,212
"NE",29.5,30.3,11.5,29.9,7,264
"NH",36.5,30.8,14.6,33,5.6,370
"NJ",39.8,40.5,16.9,28,4.8,541
"NM",32.6,26.5,15.3,19.9,10,211
"NV",38.4,41.8,22.6,29.4,6.1,397
"NY",41.1,35.6,17.8,26.4,4.4,625
"OH",31.3,37.1,15.4,30.5,4.7,531
"OK",27.2,31.5,12.5,26.6,7,333
"OR",32,26.9,15.5,21.9,5.1,410
"PA",33.2,35.3,16.5,25,4.4,566
"RI",33.8,28.6,25.4,22.4,6.4,319
"SC",30.8,39.7,15.5,31,6,425
"SD",30.6,33.5,15.4,28.5,7.6,230
"TN",29.4,39.8,12,27.6,5.6,456
"TX",34.9,39.1,16.1,30.4,5.3,582
"UT",27.7,33.1,9.5,26.5,6.7,314
"VA",35.8,34.7,18.4,27.7,4.6,511
"VT",35.9,29.5,13.7,22.1,7.2,242
"WA",39.1,28.2,23.5,22.2,5.4,436
"WI",28.1,32.4,13.7,20.7,4.8,549
"WV",24.8,38.6,16.8,28.7,6.6,327
"WY",21.1,38.8,11.1,27,11.9,115
