Do you approve or disapprove of the following measures which federal, state, and local governments could take to prevent the spread of coronavirus (COVID-19) in the next 30 days? - Limiting restaurants to carry-out only 
"","Strongly disapprove","Somewhat disapprove","Somewhat approve","Strongly approve","Error Margin","N"
"National",4.2,8.5,24.3,63,0.9,20186
"AK",10,12.4,33.8,43.8,10.4,133
"AL",4.8,7.8,22.6,64.9,6.1,382
"AR",4.5,11.9,32.1,51.4,7.2,364
"AZ",3,13.2,30.4,53.4,7.6,317
"CA",2.6,6.6,26.7,64.1,4.3,728
"CO",8.7,13,25.3,53,6.3,389
"CT",3.4,6.3,24.1,66.1,6.2,356
"DC",1.6,1.6,21.3,75.5,9,165
"DE",3.3,6.8,19.2,70.7,5.9,338
"FL",5.2,11.4,21.2,62.2,4.3,663
"GA",4,5,19.2,71.7,5,493
"HI",5.2,9.3,23.6,61.9,8.6,216
"IA",5,8.7,27.8,58.5,5.9,385
"ID",5.8,12.3,28.9,53,6.4,357
"IL",6.3,10.4,21.4,61.9,4.8,531
"IN",4.1,8,25.6,62.3,5.6,444
"KS",3.4,9.1,26.2,61.3,5.8,442
"KY",3.8,8.1,21.1,67,5.5,400
"LA",5.7,5.7,21.6,67,6.4,390
"MA",1.9,6,22,70.1,4.6,472
"MD",3,1.9,22.6,72.5,5.2,398
"ME",6.2,4.3,25.5,64,5.5,369
"MI",4.5,10.3,23.8,61.4,4.8,525
"MN",4.9,11.4,28,55.6,5.8,421
"MO",6.4,11.9,24.4,57.3,5.1,475
"MS",3.7,8,23.9,64.5,7.1,345
"MT",6.2,10.4,28.2,55.1,7.6,254
"NC",4.6,10.7,23.3,61.3,4.9,521
"ND",4.6,12,30.1,53.3,8.6,211
"NE",7.8,12.2,24.3,55.8,7.6,263
"NH",4.3,7.8,21.4,66.4,5.4,369
"NJ",2.6,6.1,21.2,70,4.4,538
"NM",3.3,8.3,30.4,57.9,10.3,211
"NV",5.4,11,21.2,62.3,5.9,396
"NY",2,5.3,26.8,65.9,4.3,622
"OH",3,9.4,24.5,63.1,4.7,527
"OK",2,11.4,24.6,61.9,7.2,328
"OR",4.6,15.6,23.1,56.6,5.5,408
"PA",6.1,7.3,28.5,58,4.5,562
"RI",2.4,4.4,25.1,68,6.2,317
"SC",4.2,8.2,24.4,63.2,6,420
"SD",3.4,14.5,31.1,51,8,229
"TN",4.6,7.9,22.6,64.9,5.3,453
"TX",5,8.2,19.8,67,5.1,579
"UT",4.3,9.7,28.4,57.6,7.1,311
"VA",5.1,8.1,23.7,63.1,4.7,510
"VT",2.1,10.2,22.2,65.4,7.3,241
"WA",1,8.1,27.2,63.7,5.3,435
"WI",5.3,7.7,26.4,60.7,4.9,547
"WV",1.5,8.9,20.8,68.8,6.3,324
"WY",11.2,22.9,22.2,43.7,12.7,112
