Do you approve or disapprove of the following measures which federal, state, and local governments could take to prevent the spread of coronavirus (COVID-19) in the next 30 days? - Restricting travel within the U.S. 
"","Strongly disapprove","Somewhat disapprove","Somewhat approve","Strongly approve","Error Margin","N"
"National",6.2,12.6,31.8,49.4,0.9,20141
"AK",8.7,15.9,41.2,34.2,10.3,134
"AL",6.7,15.2,25.9,52.2,6.4,383
"AR",12,14.9,32.5,40.6,7.1,361
"AZ",6.9,12.9,34,46.3,7.6,318
"CA",5.5,9,33,52.5,4.5,723
"CO",12.9,15.9,31.7,39.5,6.2,385
"CT",4.5,10.5,27.5,57.5,6.4,358
"DC",3.3,7.8,18.4,70.5,9.6,164
"DE",3.6,14.5,31.1,50.8,6.5,338
"FL",4.4,12.6,30.6,52.4,4.5,662
"GA",7.5,8.4,28.3,55.8,5.5,491
"HI",3.8,10.1,26.9,59.2,8.7,216
"IA",7.3,12.3,39.9,40.5,5.9,383
"ID",8.4,18.7,34,38.9,6.3,356
"IL",8.7,12.3,38.3,40.7,4.9,530
"IN",7.2,9.1,33.2,50.5,5.8,442
"KS",6,13,34.7,46.3,6,438
"KY",4.2,11.1,31.7,53,5.9,398
"LA",5.9,12.2,25.6,56.4,6.8,388
"MA",3.8,11.1,31.7,53.4,5,473
"MD",5.6,9.8,28.9,55.7,5.8,399
"ME",5.8,11.4,32.5,50.3,5.8,370
"MI",5.8,14.1,29.1,51,4.9,524
"MN",6.9,17.3,33.9,41.9,5.8,418
"MO",7.3,12.1,37.4,43.2,5.1,477
"MS",9.6,13.1,28.8,48.5,7.4,346
"MT",8.5,15.1,34.4,42,7.5,255
"NC",6.6,13.2,29.8,50.4,5,521
"ND",6.2,13.6,39,41.2,8.5,211
"NE",8.1,16.3,32.8,42.9,7.6,262
"NH",6.9,12.3,30.9,49.9,5.7,370
"NJ",4.5,10.5,31.4,53.6,4.8,536
"NM",7.6,13.8,37.5,41.1,10.3,210
"NV",9.1,17.4,25,48.5,6.2,391
"NY",3.7,9.2,31.7,55.4,4.5,618
"OH",6.9,14,33.6,45.4,4.8,523
"OK",6.3,12.5,29.7,51.5,7.4,328
"OR",6.5,16,35.7,41.8,5.4,408
"PA",5.4,14.2,30.8,49.6,4.6,562
"RI",5.8,9.5,34.6,50.1,6.7,317
"SC",5.6,12.9,35.2,46.3,6.1,420
"SD",4,23.4,35.9,36.7,7.8,229
"TN",8.4,11.5,30.6,49.5,5.6,452
"TX",3.2,11.6,35.1,50.1,5.4,578
"UT",9.6,15.2,30.6,44.7,7.1,312
"VA",7.9,12.1,33.1,46.9,4.8,510
"VT",4.6,15.1,31.6,48.6,7.7,241
"WA",4.3,12.5,40.6,42.6,5.5,432
"WI",5.7,11.2,33.1,50,5,545
"WV",4.2,9.8,29.5,56.5,6.7,323
"WY",13.8,20.3,26.7,39.2,12.5,112
