Do you approve or disapprove of the following measures which federal, state, and local governments could take to prevent the spread of coronavirus (COVID-19) in the next 30 days? - Requiring most businesses other than grocery stores and pharmacies to close 
"","Strongly disapprove","Somewhat disapprove","Somewhat approve","Strongly approve","Error Margin","N"
"National",11.7,19.1,32,37.1,0.9,18973
"AK",14.1,25.7,29.9,30.3,10.1,128
"AL",12.6,24.4,28.6,34.4,6.1,436
"AR",15,23,30.8,31.1,6.4,384
"AZ",13.9,16,32.5,37.6,7.4,332
"CA",11.2,13.5,28.9,46.4,5.9,547
"CO",14.2,20.6,30.7,34.5,6.6,362
"CT",5.7,16.4,36.5,41.4,6.2,401
"DC",2.2,7.4,39.1,51.4,7.1,276
"DE",9.6,17.5,30.3,42.6,8,283
"FL",10.1,17.2,32.9,39.9,5.5,489
"GA",12.9,19.9,27.6,39.6,5.7,434
"HI",7.5,19.5,30.2,42.8,7.4,291
"IA",14.2,19.6,29.5,36.7,6,409
"ID",20.4,22.8,29.4,27.3,5.8,350
"IL",6.8,17.1,33.7,42.3,5.9,467
"IN",13.9,22.2,31.9,31.9,6.4,317
"KS",9.3,22.4,33.7,34.6,6.1,364
"KY",9.8,19.3,27.8,43.2,6.2,387
"LA",14.4,15.2,30.9,39.4,6.7,402
"MA",11.1,21.4,34.3,33.2,5.8,362
"MD",6.9,16.6,37.1,39.4,5.7,460
"ME",11.2,18.9,44.5,25.3,6.6,312
"MI",10.3,19,32.6,38,6.4,365
"MN",17,19.1,34.9,29,6.1,381
"MO",15.3,21.4,26.9,36.4,6.1,355
"MS",8.4,19.4,35.6,36.6,6.7,374
"MT",21.7,23.1,30.7,24.5,6.3,291
"NC",14.1,18.2,30.2,37.5,5.6,428
"ND",13.3,30.2,31.4,25.1,8.2,207
"NE",17.5,30.9,30.5,21.1,6.1,335
"NH",13.4,17.3,33.3,36,6.3,314
"NJ",8.1,21.2,32.1,38.6,6.5,388
"NM",12,23.8,27,37.2,7.6,333
"NV",17.3,16.6,31.6,34.5,6.3,431
"NY",6,14.1,30.6,49.2,5.8,464
"OH",11.3,19.2,32.5,37.1,5.3,476
"OK",13.8,16.1,34.9,35.2,6.7,380
"OR",17.2,21,33.9,27.9,5.9,395
"PA",15.9,21.6,26.6,35.8,5.8,477
"RI",10.4,15.4,33.7,40.5,6.6,320
"SC",10.4,23.6,32,34,5.8,420
"SD",33.5,24.5,22,19.9,7.5,256
"TN",15.7,17.5,34.9,32,5.6,466
"TX",9.9,18.4,31.2,40.5,5.8,481
"UT",15.2,27.4,30.2,27.2,5.7,435
"VA",7.6,19.6,31.1,41.7,6.2,398
"VT",14.2,14.3,35.8,35.8,7.8,202
"WA",11.1,21.1,34.4,33.4,5.5,445
"WI",14.8,20.6,31.2,33.4,5.2,445
"WV",12.1,19.8,34.6,33.4,6.7,362
"WY",21.8,29.1,24.2,24.9,9,156
