Do you approve or disapprove of the following measures which federal, state, and local governments could take to prevent the spread of coronavirus (COVID-19) in the next 30 days? - Restricting international travel to the U.S. 
"","Strongly disapprove","Somewhat disapprove","Somewhat approve","Strongly approve","Error Margin","N"
"National",3,5.7,24.4,66.9,0.9,18951
"AK",4.6,8.9,26.5,60.1,10.8,127
"AL",2.1,7.3,19.8,70.8,5.8,435
"AR",3.8,3.9,23.3,69,6.4,385
"AZ",4.9,4.7,24.8,65.6,7.3,331
"CA",3.9,5.6,24.5,66,5.6,543
"CO",3.1,7.8,26,63,6.7,364
"CT",2.2,5.9,24.4,67.5,5.9,401
"DC",2.1,6.6,26.7,64.6,6.8,275
"DE",1.9,2.5,24.6,71,7.3,283
"FL",2.4,8.2,22.2,67.2,5.3,489
"GA",2.6,6.4,22.4,68.6,5.4,434
"HI",3.5,3.7,24.4,68.4,7,291
"IA",2.1,4.7,26.4,66.8,5.9,407
"ID",4,6.6,28,61.3,6.2,348
"IL",1.8,7,20.7,70.5,5.5,466
"IN",0.5,4.6,25.6,69.2,6.4,318
"KS",3.6,6,27,63.4,6.1,365
"KY",2.7,6.2,15.8,75.3,5.4,386
"LA",3.3,6.1,19.5,71.1,6.3,400
"MA",2.9,5.2,27.6,64.3,5.9,363
"MD",3.6,6,23.6,66.8,5.5,458
"ME",4.3,2.9,26.1,66.6,6.2,310
"MI",3.1,6.7,19.4,70.9,6,362
"MN",3.2,5.4,29.7,61.7,6.2,382
"MO",2.1,9.4,25.7,62.8,6.1,356
"MS",4,7.1,23.2,65.6,6.6,374
"MT",6.2,4.1,24,65.7,6.5,291
"NC",2.5,3.7,22.8,71,5.3,426
"ND",5.2,10.2,29.2,55.3,8.7,208
"NE",3.6,11.1,30.1,55.2,6.5,335
"NH",2.2,5.3,23.6,68.9,6,314
"NJ",4.5,3.9,25.1,66.5,6.3,390
"NM",4.3,3.9,26.9,64.8,7.5,333
"NV",4.3,4.1,27.5,64.1,6.4,428
"NY",2.9,4.1,19.6,73.4,5.1,462
"OH",1.2,3.8,22.6,72.4,4.9,475
"OK",2.3,7.7,24.3,65.7,6.7,381
"OR",2.2,9,28.1,60.7,6.2,394
"PA",2,5.7,25.6,66.7,5.7,476
"RI",1.3,2.6,25.4,70.7,6.1,320
"SC",2.5,5.4,23.7,68.4,5.7,420
"SD",2.9,9,30.1,58.1,7.8,255
"TN",4.8,5.9,22.2,67.2,5.5,466
"TX",4.6,4.1,25.7,65.5,5.6,480
"UT",2.7,6,29.5,61.7,6,436
"VA",2.8,4.5,24.5,68.1,5.8,399
"VT",3.6,2.3,21.2,72.9,7.2,202
"WA",1.9,6.1,24.7,67.3,5.5,443
"WI",3,4.9,24.6,67.4,5.2,445
"WV",1.8,4.3,20.2,73.6,6.2,362
"WY",3.7,9.8,23.5,63,9.6,157
