How concerned, if at all, do you currently feel about the following: - Problems with childcare during  the virus outbreak 
"","Not at all concerned","Not very concerned","Somewhat concerned","Very concerned","Not applicable to me","Error Margin","N"
"National",9.9,9.9,11.3,14.9,53.9,1,18958
"AK",15.8,11.3,8,15.2,49.7,11,127
"AL",16.7,6.5,14.3,14.8,47.7,6.4,436
"AR",13,8.8,8.7,14.2,55.2,6.9,385
"AZ",7.2,10.9,12.8,13.2,55.9,7.6,332
"CA",9.7,10.6,11.8,19.1,48.7,5.9,547
"CO",9.7,10.8,12.7,15.1,51.6,7,363
"CT",8.7,13.1,7.3,17,53.9,6.3,400
"DC",8,9.3,15.5,25.2,42,7.1,275
"DE",7.5,9.8,8.3,20.3,54.1,8,282
"FL",9,10.9,8.9,16.6,54.6,5.6,489
"GA",10.6,11.6,15.6,16.2,46,5.8,436
"HI",7.6,13.4,9.4,13.6,56.1,7.4,290
"IA",15,10.6,9.3,11.8,53.3,6.2,409
"ID",9.4,8.4,9.8,13,59.4,6.3,348
"IL",10.1,11.7,13.4,14.2,50.6,6,467
"IN",11.8,7,11.1,11,59,6.8,319
"KS",12.6,6.4,10.6,14.4,56,6.3,362
"KY",10.8,8.4,11.7,13.9,55.1,6.3,388
"LA",9.6,11,11.3,16.9,51.2,6.8,404
"MA",9.3,10.4,11.1,14.1,55.2,6.1,361
"MD",6.8,9.3,11.6,19.8,52.5,5.8,457
"ME",10.3,11.3,11.7,8.8,57.9,6.5,314
"MI",7.7,10.5,10.2,13.1,58.5,6.4,362
"MN",9.4,10,9.7,11.3,59.5,6.2,381
"MO",12.6,7.1,12.1,13.9,54.3,6.3,354
"MS",8.8,11.9,10.6,17.8,50.9,7,369
"MT",8.3,10,6.6,10.1,65.1,6.5,291
"NC",10.4,8.1,11.8,16.1,53.5,5.8,429
"ND",8.1,6.6,15,11.9,58.5,8.6,207
"NE",11,14.9,11.3,10.5,52.3,6.5,335
"NH",7.8,9.6,6.9,15,60.6,6.4,312
"NJ",6.2,6,14.5,15.4,57.8,6.6,390
"NM",5.5,13.5,10.2,15.6,55.2,7.8,333
"NV",7,9.2,8.1,13.5,62.1,6.5,431
"NY",6.8,9.5,12.8,20.9,50.1,5.8,460
"OH",11.5,7.7,8.5,12.3,60.1,5.3,474
"OK",9.7,9.7,10,17.4,53.1,7.1,379
"OR",11.2,8.3,12.7,11.1,56.7,6.2,396
"PA",10.8,12.8,10.2,14.6,51.6,6,477
"RI",10.4,9.1,10.1,10,60.3,6.6,319
"SC",7.8,12.3,12.9,15.8,51.2,6.1,420
"SD",13.2,7.2,12.1,10.7,56.8,7.9,255
"TN",9.7,6.8,12.9,15.8,54.8,5.9,464
"TX",11.4,9.3,14.2,17.9,47.2,5.9,484
"UT",16,10.1,11.7,13.9,48.3,6.1,440
"VA",11.1,10.1,13.8,12.2,52.9,6.2,402
"VT",5.4,10.8,10.2,8.9,64.6,7.8,201
"WA",9.5,10,12.2,12.8,55.5,5.8,441
"WI",14.6,7,9.3,9.2,60,5.4,443
"WV",12.3,8.3,9.9,10.2,59.2,7,361
"WY",14.4,6.4,13,6.8,59.4,9.8,157
