Please rate on the feeling thermometer the following groups and countries. - Younger Americans 
 (age 18-29) 
"","Younger Americans 
 (age 18-29)","Baby boomers
(age 56 to 76)","China","Mexico","Canada","Russia","People who wear face masks","People who do not wear face masks","Protesters","Error Margin","N"
"AK",66.1,71,45.2,63.3,89.4,30.5,81.8,35.3,44.6,8.4,16
"AL",64.1,75.3,44.3,57.5,66.7,47.5,82,33.6,56,6.8,46
"AR",58.9,69.9,34.7,59.1,63.7,35.5,80.9,37.1,35.9,5.7,39
"AZ",64.8,66.8,42.2,61.4,75.9,46.5,85.4,27.5,46.4,12.6,22
"CA",61.7,68,42,60.9,75,44.5,84.9,23.6,53,9.2,25
"CO",62.6,66.5,41.2,57.1,81.9,44.8,84.4,27.9,44,5.5,39
"CT",64.8,69.7,43.9,54.3,72.5,40.9,89.3,19.8,37.6,5.7,40
"DC",73.8,68.6,47.7,64.1,81.5,47.4,87.2,27.1,73.7,7,34
"DE",64.8,72.3,35.9,55,73.3,48.8,87,22.7,47.1,9.2,37
"FL",63.1,72.6,35.7,54.3,69.3,35.2,86.8,29.4,59.4,5.4,49
"GA",65.8,71.5,36.3,69.3,77.4,36.2,84.5,36.3,52,5.7,47
"HI",61,70.6,44.6,58.9,77.6,37.4,85.1,20.2,56.1,8.1,32
"IA",60.6,69.9,44.9,58.8,69.1,39.1,80.2,33.4,44.1,6.7,38
"ID",58.6,69.6,33.2,48.6,68.3,35,78.9,37.7,34.6,5.8,34
"IL",62.6,69.9,39.4,55.4,75.2,39.5,84,26.9,48.7,7.8,40
"IN",57.9,70.8,35.1,62.6,79,33.2,81.6,34.2,44.1,11.9,22
"KS",63.1,68.9,37.7,48.3,67.2,42.5,81.2,33.2,40.1,7,43
"KY",62.6,69.8,33.8,46.7,62.8,37.6,81,33.6,38.7,5.8,37
"LA",61.5,69.3,23.4,41.6,63.5,25.1,82.9,29.7,40.6,7.7,33
"MA",63.9,69.4,46.3,62.8,78.2,50.7,86.2,20.6,51.6,7.2,41
"MD",66.1,69,35.1,60.6,66.2,38.8,87.5,21.2,53.1,6.1,51
"ME",59.5,70.4,27.7,53.8,77.2,36.6,80.1,34.5,37,4.9,44
"MI",62.2,65.8,39.7,53.4,64.9,41.3,83.6,29.5,43.3,7.4,41
"MN",58.4,68,44.7,66.4,77,41.9,81.3,33.4,34.4,5.4,40
"MO",60.8,68.6,37.6,54.3,70.3,34.6,78.2,34.9,46,7.2,31
"MS",66.2,73.6,39.1,53,55.9,23.2,85.6,31.4,49.1,9.2,30
"MT",60.3,68.3,37.5,48.9,66.7,34.5,79,37.1,40.7,6.3,30
"NC",64.9,73.7,37.8,58.2,73.3,34,84.4,30.5,46.8,5.5,48
"ND",58.9,72.4,37.7,51.6,82,38.4,76.4,40.7,36.4,6.7,20
"NE",59.3,68.8,49.6,68.2,79.7,44.1,77.1,41.9,31.9,7.7,34
"NH",62.6,69,30.7,52.4,72.3,30.7,84.7,27.6,46.9,4.8,43
"NJ",63.1,69.8,47.6,72,82.1,47.9,86,24.7,46.8,8.1,35
"NM",60,67.2,33.7,65.1,67.1,33.5,84.9,24.4,51.4,9.7,34
"NV",60.8,67.6,41,60.6,82.6,46,84.4,28.4,46.5,6.8,48
"NY",64,71.8,44.4,56,69.3,41.8,85.9,24.7,57.9,8,21
"OH",59.8,71.1,28.7,42.9,65.2,31.3,80.6,32.4,44.9,4.9,48
"OK",60.4,70.4,44.9,70.8,77,41.8,81,33,43.4,9.6,35
"OR",63.4,68.5,56.3,71.8,80.4,52.2,83.3,31.7,42.6,6.8,43
"PA",61.5,67.2,41,61.5,77.2,45.1,82.2,28.7,46.5,6.1,51
"RI",61.7,69.5,34.8,52.8,83.1,34,87.3,22.7,54.8,8.7,36
"SC",62.3,72.7,38.6,47.5,72,39.8,84.3,29.9,40.8,5.1,51
"SD",61.1,68.5,45.3,56.7,73.4,35,72.6,47.3,28.9,7.2,29
"TN",59.7,69.8,38.3,53,73.3,44.2,78.4,36,35.4,6.1,46
"TX",62.7,70.1,40.9,60.8,71.6,41.5,82.4,27.2,41.7,6.2,47
"UT",62.8,67.6,43.6,60,70.5,47.1,84.8,34.7,35.1,7,45
"VA",65.2,67.9,33,59.1,67.1,34.8,85.1,27.2,49.5,5.2,45
"VT",64.9,71.6,50.1,56.5,75.8,45.6,83.9,31.7,46.5,7.8,21
"WA",65,70.1,37.9,58.4,73,35,84.6,26.3,45.8,5.9,49
"WI",58.5,67.2,44.4,60.1,77.1,34.1,80.1,35.1,36.8,5,45
"WV",58.3,72.5,43.5,55.8,73.4,42.9,79.7,36.4,33.8,7.2,21
"WY",52.7,66.6,36,64.9,77.4,40.4,73.7,43.6,40.4,9.5,15
