In the last 24 hours, did you get any news or information related to the current coronavirus (COVID-19) outbreak from the following sources 
"","Friends and family","Radio news","Podcasts","Local television","Network television (e.g.  ABC, CBS, or NBC)","Cable television (e.g. CNN, Fox News, or MSNBC)","Late-night comedy shows (e.g. The Late Show with Stephen Colbert or The Daily Show)","Print newspapers (e.g. the New York Times or the Wall Street Journal print edition)","A news website or app (e.g. the New York Times or Fox News websites or apps)","A health website or app (e.g. WebMD)","A government website or app (e.g. CDC.gov)","An organization website or app (e.g. WHO.int)","A search engine website or app (e.g. Google, Bing)","A social media website or app (e.g. Facebook, Twitter, Snapchat)","Error Margin","N"
"National",14.9,6.6,1.8,20.9,17.4,14.3,2.1,4.5,8.9,3.2,5.1,2,5.5,10.4,0,374
"AK",15.3,9.3,1.8,9.4,8,6.5,1.3,3.1,3.7,1.9,4.2,0.8,0.8,7.6,7.9,128
"AL",13.7,6.9,2.3,24.2,19.7,16,1.4,3.2,5.2,3.4,3.5,1.6,7.2,10.9,5.7,436
"AR",14.3,4.8,1.5,19.7,16.6,14.7,0.5,2.4,9.3,2.9,3,1,7.1,9.5,5.5,387
"AZ",12.1,9,2.5,20.1,14.2,16.5,2.1,2.9,10.8,3.2,6,3.9,4.7,11.5,5.9,332
"CA",20.7,10.8,1.2,25.7,22,14.9,1.6,5,13.7,2.4,5.4,2,7,10.9,5.1,547
"CO",17.2,6,2.6,20,17.4,13.7,4,4.6,12.5,2.7,6,3.4,7.3,10.6,5.2,365
"CT",18.2,8.7,1.5,22.6,21.8,17.6,1.6,7.5,9.2,4.1,5.1,2.2,7.1,10.4,5.7,406
"DC",13.8,7.4,4.3,12.7,14.9,13.8,3.5,6,10.9,4.3,6,2.4,4.7,11,5.3,276
"DE",8.8,4,1,15.6,15.5,15.3,2.5,3.3,5.9,2.4,4.4,1.5,2.8,7.5,5.8,285
"FL",19.7,5.1,1.9,25.6,20.4,19.2,1.1,7.8,8.5,4.5,4.7,2.2,4.2,15.5,4.9,490
"GA",18.8,8.4,3.3,18.6,15.4,14.3,1.5,4.1,7.8,4.2,3.9,3.6,5.4,10.3,4.6,437
"HI",12,5.3,2,20.2,12.4,13.9,1.2,4.3,10.8,3.1,3.1,2.4,5.5,9.5,5.9,291
"IA",12.6,3.3,0.9,19.6,11.3,7.6,1.1,3.6,9.7,1.5,3.4,1.5,3.1,9.4,5.3,412
"ID",16.9,4.8,1.2,18.7,13.7,9.5,2.6,1.9,10,2.3,5.8,2.1,6.8,11,5.4,350
"IL",12.5,8.1,1.9,21.6,18.4,12.2,1.3,5.8,7.5,2,4.4,1.7,5.7,7.8,4.8,470
"IN",9.9,8.1,0.7,18.8,16.4,8.3,1.7,3.5,5.7,3,5.8,0.9,6.4,5.5,5.2,319
"KS",15.4,8.7,1,24.2,15.4,13,3.3,4.1,8.3,4.7,6.8,1.8,5.7,11.4,5.6,365
"KY",18.7,8.2,1.4,25.6,19.9,16.4,1.3,5.9,7.2,1.4,5.3,0.5,5.5,14,5.7,392
"LA",11.9,6.9,1.8,27.4,17.3,14.4,2,3.1,8.2,4.4,7,1,6,12.5,6.3,404
"MA",11.5,6.4,0.8,20.8,17.4,14.1,2.6,5.3,10.9,2.2,4.9,2.5,5.2,9,5.1,363
"MD",15.1,10,1.9,24.3,21.5,17.9,2.1,7.1,14.3,5.7,7.7,3.1,6.4,12.6,5.2,462
"ME",15,7.3,2.5,23.1,20.4,14.3,1,7,11,2.5,6.6,1,4.3,11.5,5.6,315
"MI",12.8,5.1,1.5,20,17.4,9.8,1.1,5.6,9.9,3.8,6.7,2.3,4.5,9.3,5.5,366
"MN",18.2,7.1,2.4,25.6,21.6,11.8,3.1,4.3,7.9,2.7,5.8,3.1,5.4,13.9,5.6,382
