Race recoded 
"","White","Hispanic","African American","Asian","Other race","Error Margin","N"
"National",65.7,13.7,12.2,6,2.5,0.9,19058
"AK",64.6,5.5,3.5,6.7,19.7,10.5,128
"AL",67.9,3.7,24.6,1.4,2.4,6,436
"AR",73.1,6.4,15.6,1.6,3.3,6.1,387
"AZ",59.9,26.2,4.4,3.4,6.1,7.5,332
"CA",41.4,32.1,6.2,16.3,4,5.8,547
"CO",69.4,19.5,4.3,3.4,3.5,6.4,365
"CT",69.5,13.5,9.9,4.4,2.6,5.8,406
"DC",37.9,10.1,45.3,3.8,3,7.1,276
"DE",65.4,7.9,19.7,4.1,2.9,7.6,285
"FL",61.5,18.4,15,3,2.1,5.5,490
"GA",54.3,7.5,31.6,4,2.6,5.8,437
"HI",22.7,8.2,1.8,40.1,27.3,7.3,291
"IA",86.5,5.4,3.4,2.4,2.3,4.2,412
"ID",84.1,10.3,0.7,1.4,3.5,4.7,350
"IL",62.5,16,14.3,5.4,1.8,5.8,470
"IN",80.6,5.8,9,2.2,2.4,5.5,319
"KS",76.7,10.9,5.7,2.8,3.8,5.4,365
"KY",85.5,3.7,7,1.4,2.3,4.4,392
"LA",62,4.5,29,1.8,2.8,6.7,404
"MA",75.9,8.2,6.7,6.7,2.5,5.2,363
"MD",53.3,7.4,29.3,6.6,3.5,5.8,462
"ME",93.6,1.6,1.4,1.1,2.3,3.2,315
"MI",76.8,3.8,13.2,3.1,3.1,5.5,366
"MN",81.5,5.1,5.2,4.5,3.6,4.9,382
"MO",83.1,2.8,10.2,1.9,1.9,4.7,358
"MS",58.2,1.8,37,0.9,2,6.8,374
"MT",87.3,3.2,0.4,0.8,8.3,4.6,292
"NC",62.4,9.4,21.8,3,3.3,5.6,429
"ND",87.2,3.5,2.7,1.4,5.2,5.8,209
"NE",81.7,8.8,4.5,1.9,3.1,5.1,336
"NH",90.6,3.3,1.3,2.7,2.1,3.8,315
"NJ",60.9,14.1,13.7,9,2.3,6.5,391
"NM",43.9,42.4,2.1,1.5,10.1,7.8,335
"NV",55.2,21.6,8.6,9,5.6,6.6,433
"NY",58.8,16.2,13.7,8.5,2.8,5.7,465
"OH",80.7,2,12.5,2.1,2.8,4.3,479
"OK",67.1,10.2,6.4,2.1,14.2,6.6,382
"OR",77.9,10.4,1.9,4.4,5.4,5.2,397
"PA",78.1,6.5,10.9,3.4,1,5,478
"RI",73.2,15,5.2,3.4,3.2,5.9,321
"SC",66.3,5,24.7,1.6,2.4,5.8,421
"SD",82.9,3.3,1.8,1.5,10.5,6,256
"TN",75.7,4.9,15.1,1.8,2.5,5,468
"TX",46.5,33.8,12.2,5.2,2.3,5.9,484
"UT",78.1,14.1,1.2,2.4,4.2,5.1,441
"VA",63.8,9.3,18.4,6.6,1.9,6,402
"VT",92.8,2.1,1.2,1.7,2.2,4.2,202
"WA",71.6,9.5,3.6,8.7,6.6,5.2,445
"WI",82.4,5.8,6.5,2.5,2.8,4.2,445
"WV",91.8,1.6,3.7,0.8,2.1,3.9,363
"WY",85.4,9.1,0,0.8,4.7,7,157
