How much, if at all, has your life been disrupted by the coronavirus (COVID-19) outbreak? 
"","Not at all","A little","A moderate amount","A lot","A great deal","Error Margin","N"
"National",4.5,17.3,31.7,22.4,24.1,0.9,19034
"AK",4,22.2,34.9,16.8,22.2,10.5,128
"AL",6.5,17.1,33.1,17.8,25.5,6,436
"AR",3.6,23.6,28.3,19.5,25.1,6.2,387
"AZ",6.7,17,30.9,22.9,22.6,7.1,332
"CA",5.3,13.6,30.1,30.1,21,5.4,547
"CO",5,17.9,31,24.3,21.8,6.4,365
"CT",1.3,12.7,39.9,21.7,24.5,6.2,406
"DC",3.4,9.7,24.8,21.9,40.2,7,275
"DE",5.9,17.5,27.7,22.8,26.1,7.2,285
"FL",5.5,17.2,29.3,23.2,24.8,5.1,488
"GA",5.9,18.9,32,16.1,27.1,5.4,437
"HI",2.4,13.8,38.6,17.3,27.9,7.3,290
"IA",5.1,18.2,34.5,21.9,20.3,5.9,411
"ID",3.4,20.8,35,19.3,21.6,6.1,350
"IL",3.4,14.3,39.4,23.7,19.2,5.8,469
"IN",3.1,21.1,30.2,21.9,23.7,6.3,318
"KS",4.2,17.5,27.6,23.3,27.4,5.7,365
"KY",5.8,24.8,29.5,19.4,20.5,5.7,391
"LA",3.9,15.2,27.7,18.6,34.5,6.5,404
"MA",2.3,14.8,34.8,25.3,22.9,5.8,363
"MD",1.8,12.7,31.8,23.6,30.1,5.4,462
"ME",4.7,18.1,37.3,18.8,21.2,6.4,314
"MI",2.7,18.9,32.5,18.8,27.2,6.1,365
"MN",4,16.9,37.1,20,21.9,6.1,382
"MO",5.8,16.1,31.1,23.8,23.2,5.8,358
"MS",3.5,17.4,32.5,18.5,28.1,6.5,373
"MT",3.4,20,35.2,21.9,19.6,6.5,292
"NC",3.9,21.7,34.2,18.1,22.2,5.5,429
"ND",3.4,24.1,36.1,22.1,14.3,8.4,209
"NE",4.8,21.5,35.3,16.4,22,6.3,335
"NH",2.4,12.9,33.3,24.5,26.8,6.1,315
"NJ",5,15.5,34.9,22.9,21.6,6.4,391
"NM",4.3,16.4,22.3,24.5,32.6,7.4,335
"NV",3.9,14.4,30.8,22.2,28.6,6.2,430
"NY",5,17.7,28.3,25.3,23.6,5.2,464
"OH",6.4,23.5,30.8,16.2,23.1,5,478
"OK",7.7,21.2,24.9,24.8,21.4,6.1,382
"OR",3.9,17.1,33.9,20.7,24.4,5.9,397
"PA",5.6,21.1,27.7,25,20.6,5.4,476
"RI",3.8,15,32.9,24.6,23.6,6.3,321
"SC",4.7,22.1,26.9,25.8,20.4,5.4,421
"SD",6.5,28.2,28.2,21.3,15.8,7.1,256
"TN",9.3,21.1,24.9,17.9,26.8,5.2,468
"TX",4.2,21.1,32,20.5,22.2,5.5,483
"UT",1.5,14.9,33.9,27.1,22.6,5.8,440
"VA",6.8,16.7,27.9,26.8,21.9,5.6,400
"VT",4.6,18.9,31.6,22.8,22.1,7.6,202
"WA",2.9,14.8,30.4,24.6,27.2,5.4,445
"WI",4,25.8,29.6,22.5,18.2,5,444
"WV",6.3,18.9,37.5,22.8,14.5,6.8,363
"WY",8,26,33.2,14.9,17.9,9.4,157
