In the last 24 hours, have you been in a room (or another enclosed space) with people who were not members of your household? This might have been at a social gathering, a work meeting, or another type of event. 
"","No, I have not","Yes, with 1-2 other people","Yes, with 3-4 other people","Yes, with 5-6 other people","Yes, with 7-8 other people","Yes, with 9-10 other people","Yes, with 11-50 other people","Yes, with 51-100 other people","Yes, with over 100 other people","Error Margin","N"
"National",59.4,16.5,8.7,5.1,2.2,2.8,3.6,1,0.8,1,19010
"AK",53.7,17.2,14.7,4.3,3.2,1.6,2.1,2.7,0.6,11,128
"AL",58.1,16.3,7.5,6.1,2.5,2.8,4.8,1.3,0.6,6.3,436
"AR",57.8,13.9,7.3,6.7,2.9,2.1,6.5,1.4,1.4,6.8,386
"AZ",68.2,14.9,6.5,3.3,1.8,1.6,2.9,0.4,0.2,7.1,331
"CA",71.1,13.7,5.6,4.6,1.3,2,1.5,0.1,0.1,5.4,545
"CO",58.4,17.4,7.5,7.2,1.3,2,5.1,1.2,0,6.8,365
"CT",59.9,18.9,10,3.9,0.5,2.5,3.6,0.2,0.3,6.2,402
"DC",60,19.8,9.3,2.3,4.5,1.1,1.5,1.3,0.2,7,276
"DE",64.3,15.5,7.3,5.1,3.1,1.9,2.2,0.5,0,7.7,284
"FL",66.7,12.2,8.3,4.4,2.8,1.9,3.4,0.2,0.1,5.3,489
"GA",59.8,14.9,11.2,5.2,3.9,0.9,1.8,1,1.3,5.7,435
"HI",60.1,16.7,5.7,6,2.6,3.3,4.4,0.6,0.6,7.3,290
"IA",53.3,17.5,12,3.8,3.7,3.5,4.2,1.4,0.6,6.2,411
"ID",49.1,21.4,11,6.9,0.4,6,3.5,0.4,1.3,6.4,349
"IL",59.8,16.1,8.6,5.8,1.3,4.2,2.9,1,0.2,5.8,470
"IN",53.3,13.7,10.1,5,2.5,7.2,6.6,0.8,0.8,6.9,319
"KS",54.8,15.7,9.4,6.3,2.8,5.3,2.9,1.2,1.6,6.4,363
"KY",63,17.5,6.2,4.3,2.1,1.5,3.1,0.8,1.3,6.1,388
"LA",60.1,18.1,6.8,3.9,2.2,1.9,5.1,0.8,1.1,6.7,401
"MA",62.6,16,10.9,3.7,0.9,2.8,3.1,0,0,5.9,363
"MD",66.2,16.7,6,3.2,1.4,2.5,2.9,0.4,0.7,5.5,460
"ME",59.1,21.5,7.9,2.3,1.8,2.4,3.5,0.8,0.6,6.5,315
"MI",58.9,18.7,5.1,5.5,2.5,4.6,1.9,1.8,0.9,6.4,365
"MN",58.9,14.8,8.6,6.5,2.4,2.2,3.7,1.3,1.7,6.2,382
"MO",45.3,19.3,10.8,7.3,3.2,5.2,5.7,2.5,0.6,6.3,356
"MS",52.9,19,8.9,5.1,4.8,3.1,4.9,1.2,0.1,6.9,374
"MT",49.4,15.3,13.6,7.3,3.4,4.3,4.6,1,1.1,6.9,292
"NC",64.6,14.4,8.9,2.9,2.8,2.8,2.7,0.6,0.3,5.5,429
"ND",51.7,18.4,11.2,7.9,1.1,4.1,4.3,0.5,0.9,8.7,209
"NE",47.8,21.5,9.1,7.7,2,2.5,8.4,0.9,0.2,6.6,334
"NH",63,17.4,6.3,3.6,2.2,2.4,2.8,1.1,1.2,6.3,315
"NJ",65.1,16.9,7.3,2.9,0.5,1.7,4.3,0.6,0.6,6.4,391
"NM",57.7,14.4,7.3,7.6,3.1,1.8,5.8,1.7,0.5,7.8,334
"NV",54,14.6,9.4,4.8,4.6,3,5.7,0.8,2.9,6.7,433
"NY",62.1,18.1,8.2,4,1.8,2.4,2.3,0.1,1.1,5.6,462
"OH",60.4,18.6,7.7,4.5,2.1,2,2.8,0.7,1.1,5.3,479
"OK",58.2,12.8,10.5,4.4,4.2,3.1,4.4,1.8,0.5,7,382
"OR",63.5,16.2,8.4,5,1.4,3,1.9,0.4,0.2,6.1,394
"PA",58.7,14.9,8.2,5.7,1.7,3.8,4.3,0.9,1.7,5.9,478
"RI",53.1,19.7,8.2,7.8,3.2,2.8,3.1,1.4,0.7,6.7,318
"SC",60.6,17,10.2,2.6,2,2,2.8,1.6,1.2,6,421
"SD",44.5,17.4,10.4,9.9,1.7,4.1,7,3.4,1.6,7.9,256
"TN",59,16.6,9.3,4.6,1.8,2.6,4.1,0.8,1.1,5.8,468
"TX",59.6,17.9,8.7,4.6,3.4,2.5,1.6,1.3,0.5,5.8,484
"UT",52,15.9,10.6,6.2,2.8,3.7,6.4,1.3,1.3,6.1,441
"VA",59.7,18.2,8.6,4.3,2.4,1.8,3.6,0.6,0.6,6.1,401
"VT",58.2,20.9,10.3,4.7,0.2,3.1,1.8,0.6,0,8,202
"WA",65.6,17.3,6.5,4,0.6,2.4,1.5,2.2,0,5.6,442
"WI",55.5,16.9,8.4,5.6,1.9,2.6,7.7,1.1,0.3,5.5,443
"WV",63.4,11.5,5.6,9.1,2.6,2.3,4.3,0.6,0.4,6.8,362
"WY",46.8,13.5,17.7,4.2,4.2,3.8,7.4,1.3,1.1,9.9,157
