Household income range 
"","NA","Under 15K","15K to under 25K","25K to under 35K","35K to under 50K","50K to under 75K","75K to under 100K","100K to under 150K","150K to under 200K","Over 200K","Error Margin","N"
"National",0.2,14,13.3,11.9,13.4,17.8,11.3,10.3,4.2,3.5,0.7,19058
"AK",0,11.2,9.2,10.2,14.6,30.1,9.2,7,2.3,6,10.1,128
"AL",0,21,9.4,14.4,13.9,18,11.6,8.1,1.9,1.7,5.2,436
"AR",0.2,19.9,14.3,15.2,11,21.9,7.2,7.5,1.6,1.2,5.7,387
"AZ",0,10,11.9,9.6,15.8,21.6,13.8,12.8,3.5,0.8,6.3,332
"CA",0,10.5,16.2,9.7,13.7,13.8,12.7,12.3,6.8,4.3,4.4,547
"CO",1.3,7.8,15.4,6.3,11.4,19.6,12.9,15.3,5.6,4.5,5.5,365
"CT",0,17.1,7.2,7.2,11.8,18.3,12.3,13.9,8.8,3.5,4.9,406
"DC",0,12.8,8,6.2,11.2,13.4,12.2,14.5,8.9,12.8,5,276
"DE",0.2,11.8,14.9,9.3,14.4,20.4,12.4,8.6,4.5,3.6,6.4,285
"FL",0.6,10.5,11.7,12.8,15.4,19.5,11.7,10.8,3.8,3.3,4.4,490
"GA",0.7,16.3,13,14.9,11.7,16.7,12.6,7.6,2.6,4,4.3,437
"HI",0,9.3,14.3,12.8,7.3,18,14.9,17.6,3.6,2.2,5.7,291
"IA",0.9,16.6,16.5,11.4,12.7,18.4,11.3,7.6,3.3,1.5,4.8,412
"ID",0,14.1,13.3,15.7,11.8,20.8,14.1,7.9,1.4,0.9,5.2,350
"IL",1.3,10.7,14.2,10.7,10.4,16.3,14.8,13.4,3.3,5,4.4,470
"IN",1.1,13.4,12.6,14.8,11.4,21.2,11.3,9,3.3,2,5.6,319
"KS",0,13.9,16.5,10.7,11.4,18.9,13.6,9.9,2,3.1,5,365
"KY",0,23.1,18.4,11.4,17,13.4,7.5,6.9,1.3,0.9,5.3,392
"LA",0.7,19.6,14.7,14.5,13.3,17.4,9.1,7.8,1.5,1.4,5.4,404
"MA",0.3,9.7,7.7,13,5.6,18.2,12.7,19.6,6.7,6.5,4.9,363
"MD",0.1,12.9,8.2,6.7,11.3,19.4,11.1,16.1,8.2,5.9,4.6,462
"ME",0,9.8,17.1,13.1,17.2,18.9,9,9.8,3.2,1.8,5.2,315
"MI",0,16.7,8.9,15.4,17,17.1,8.6,9.2,3.4,3.7,4.9,366
"MN",0,9.5,11.4,11.6,11.8,21.1,15.8,9.4,5.5,4,5.2,382
"MO",0,12.9,16.4,14.8,10.5,21,8.9,7.7,4.8,2.9,5.1,358
"MS",0.1,24.1,12.3,14.3,16.8,18.2,5.7,6.4,1.2,1,5.9,374
"MT",0,13.1,14.4,10.1,17,21.6,8.3,8.9,5,1.6,5.6,292
"NC",0.4,14.2,14.8,11.8,13.4,18.4,11.5,9.2,2.3,3.9,4.5,429
"ND",0,13.2,12.1,7,13,25.2,12.8,9.7,3,4,7.6,209
"NE",0,14.5,14.7,14.1,14.2,20,10.6,8.3,1.9,1.7,5.2,336
"NH",0,10.8,12.8,10.2,12.9,17.2,17,12.2,3.7,3.1,4.9,315
"NJ",1.1,7.9,9.6,12,10.4,18.6,16.2,11.8,5.2,7.1,5.2,391
"NM",0,20.5,12.9,18.2,8.7,17.9,7,9.2,3.2,2.5,6.4,335
"NV",0,16.8,13.7,11,13.8,20.4,9,8.7,3.8,2.8,5.4,433
"NY",0.1,13.2,10.9,10.6,12.5,13.4,7.6,15.4,10.1,6.2,4.1,465
"OH",0.4,11.9,19.4,15.5,15.6,14.5,11.7,6.9,1.1,3,4.3,479
"OK",0,18.3,20.3,17.7,11.1,14.8,7.2,8.6,0.7,1.3,5.7,382
"OR",0.1,15.8,9.9,11.1,15.1,20.1,11.6,11.1,4.2,1,5,397
"PA",0,12.3,12.9,11.7,11.4,17.4,13.8,12.2,5.3,3,4.5,478
"RI",0,12.8,9.9,13.5,11.1,18.4,15.7,13.1,1.9,3.6,5.2,321
"SC",0.1,15.4,15.3,13.4,15.8,17.1,9.2,7.7,3.9,2.2,4.6,421
"SD",0,15,14.4,8.4,12.5,20.2,17.8,8.1,1.4,2.3,6.4,256
"TN",0,12.2,16.4,12.7,17.2,16.8,7.8,10.4,4.5,2,4.4,468
"TX",0.1,16.6,13.5,11.3,13.6,17.3,10.2,8.1,5.8,3.5,4.5,484
"UT",0,11.9,9.3,14.5,18,16.1,15.6,6.4,4.6,3.6,4.7,441
"VA",0,13.8,10.1,10.6,15.6,12.2,14.2,12,6.7,4.7,4.5,402
"VT",0,17,14.6,8.7,13.6,18.6,7.6,10.4,3.8,5.8,6.3,202
"WA",0,12.7,11.1,8.6,11.7,19.5,9.8,16.4,5.2,5,4.6,445
"WI",0,9,14.8,11.7,17.3,18.5,13.4,10.9,2.8,1.7,4.3,445
"WV",0,17.4,19.1,14.1,13.9,18.5,7.7,4.5,3.2,1.6,5.6,363
"WY",0,6.5,10.3,13.7,19.8,24.2,10.5,12.7,1.9,0.4,8.5,157
