How concerned, if at all, do you currently feel about the following: - Problems with your education or the education of your children 
"","Not at all concerned","Not very concerned","Somewhat concerned","Very concerned","Not applicable to me","Error Margin","N"
"National",7.3,8.4,17.3,22.9,44.1,1,18948
"AK",12.1,13,13.1,21,40.8,10.9,127
"AL",11.3,8.8,15.5,26.9,37.5,6.2,436
"AR",11.9,8.9,16.7,24.6,38,6.7,383
"AZ",4.8,7.7,18.7,23.4,45.3,7.6,331
"CA",7.8,8.9,14.6,27,41.7,5.9,543
"CO",10.4,5.1,20.4,24,40,6.8,364
"CT",7.2,9.1,21.3,20.6,41.8,6.2,402
"DC",6.7,9.8,17.9,30.6,34.9,6.8,274
"DE",3.8,6.4,16.1,26.9,46.8,8.1,279
"FL",7.8,9.8,13.3,22.1,47,5.6,489
"GA",7.4,10.7,17.6,25.2,39,5.7,435
"HI",3.9,10.6,17.4,22,46,7.5,291
"IA",9.4,11.1,16.5,19.9,43.2,6.2,409
"ID",8.8,7.6,17.5,20.5,45.6,6.4,348
"IL",4.9,12.6,22.4,17.7,42.4,5.9,467
"IN",9.1,8.2,15.3,19.9,47.5,6.9,317
"KS",8.1,8.2,20.3,17.9,45.5,6.4,361
"KY",4.7,8.4,15.1,22.1,49.8,6.3,387
"LA",10.7,7.3,12.1,27.7,42.1,6.8,404
"MA",5.1,6.1,17,22.4,49.5,6.1,359
"MD",5.7,8,17.3,28.1,41,5.7,459
"ME",7,8,15.9,21.7,47.3,6.6,314
"MI",9,7.9,14.7,20.4,48,6.5,365
"MN",5.3,9.4,16,20.7,48.5,6.4,381
"MO",8.2,10.6,17.7,20.3,43.2,6.3,351
"MS",6.5,7.5,17.9,26.1,42,6.9,371
"MT",7.2,7.1,15.4,18.8,51.5,6.9,290
"NC",7.5,8.3,14.3,24.5,45.4,5.8,427
"ND",7.9,5.2,19.3,17,50.7,8.8,207
"NE",10.4,13.4,19.3,16.9,40,6.4,336
"NH",6.6,6.6,13.9,23.8,49.1,6.5,312
"NJ",6.3,7.1,17.4,21.8,47.4,6.7,389
"NM",5.6,5.9,14.6,29.9,44,7.8,334
"NV",5.6,7.5,12.5,24.2,50.3,6.7,429
"NY",6,5.7,17,25.6,45.8,5.7,463
"OH",8.8,10,14.4,18.1,48.8,5.5,475
"OK",6.5,6.4,18.1,26,42.8,7,378
"OR",7.6,8.7,13.9,21.6,48.1,6.3,396
"PA",7.8,8.4,20.1,19.5,44.2,6,477
"RI",7.3,8.2,19,18.2,47.2,6.7,320
"SC",7.5,8.8,17.3,27.5,39,6,418
"SD",13.3,6.3,19.5,18.6,42.3,7.9,254
"TN",8.3,9,16,20.7,46,5.9,465
"TX",5,10,16.4,26.1,42.5,5.9,482
"UT",7.7,8.9,21.8,24.7,36.8,5.9,440
"VA",7.5,8.2,16.1,21.2,47,6.2,400
"VT",2.2,6.8,19.9,17.1,54,8.1,202
"WA",8.6,11.4,18.8,21.5,39.7,5.7,444
"WI",7.4,7.2,19.3,19.2,46.9,5.5,444
"WV",10.4,7.4,18,19.4,44.7,7,362
"WY",9.6,12.3,15.7,19.2,43.1,9.9,157
