Do you approve or disapprove of the following measures which federal, state, and local governments could take to prevent the spread of coronavirus (COVID-19) in the next 30 days? - Closing K-12 schools 
"","Strongly disapprove","Somewhat disapprove","Somewhat approve","Strongly approve","Error Margin","N"
"National",8.5,12.4,25.2,53.9,1,18948
"AK",8.1,15.5,34.7,41.7,10.9,127
"AL",10.4,15.2,20,54.4,6.4,433
"AR",10.6,12.3,28,49.1,6.9,385
"AZ",12.3,9.4,27.5,50.8,7.7,330
"CA",8,7.9,23.5,60.6,5.8,543
"CO",12.2,8.5,29.8,49.5,6.9,365
"CT",5.2,11.8,24.5,58.5,6.2,401
"DC",1.2,4.7,25.7,68.4,6.6,276
"DE",7.3,8.7,28.5,55.4,8,282
"FL",8.3,12.6,25.1,54,5.6,489
"GA",9.2,14.2,20.8,55.8,5.8,435
"HI",3.5,11.8,28.2,56.5,7.4,291
"IA",10.1,13.6,27,49.3,6.2,407
"ID",10.8,19.9,26,43.3,6.3,348
"IL",5.4,12.5,21.6,60.5,5.8,469
"IN",7,15.2,25.1,52.8,6.9,319
"KS",9.7,18.3,23.3,48.7,6.4,359
"KY",9.2,8.8,21.9,60.1,6.2,385
"LA",10.7,13.4,20.1,55.8,6.8,399
"MA",8.1,12.3,29.4,50.1,6.1,362
"MD",4.8,9.6,24.1,61.6,5.7,459
"ME",6.9,12.7,32.5,47.9,6.6,311
"MI",7.8,10.3,23.5,58.5,6.4,363
"MN",11.2,16.3,29.7,42.8,6.3,382
"MO",9.3,19,20.6,51.2,6.3,353
"MS",5.5,10.4,27.4,56.7,6.9,374
"MT",12.5,17.1,25.2,45.2,6.8,292
"NC",9.2,11.8,25.1,53.9,5.8,425
"ND",9.6,17.4,28.1,44.8,8.7,208
"NE",11.7,18.4,31.2,38.6,6.4,333
"NH",10.3,12.7,24.1,52.9,6.5,314
"NJ",5.8,7.6,24.3,62.2,6.5,389
"NM",8.8,11.2,28.4,51.6,7.9,334
"NV",12.8,14.8,22.1,50.2,6.7,430
"NY",3.4,8.8,24.7,63.1,5.5,465
"OH",6.1,13.4,26.7,53.9,5.4,477
"OK",8.8,14.8,21.6,54.8,7,382
"OR",11.4,12.9,26.6,49.1,6.3,396
"PA",10.3,14.6,25.6,49.5,6,474
"RI",8.2,7.8,21.4,62.6,6.5,317
"SC",7.1,17,23.9,52,6.1,419
"SD",21.6,17.4,33.9,27.1,7.5,255
"TN",11,15.1,25,48.9,5.9,466
"TX",8.6,12.4,19.8,59.2,5.9,478
"UT",12.1,16.9,27.5,43.5,6.1,439
"VA",9,11,19.3,60.6,6.1,401
"VT",10.6,10.2,26.7,52.5,8.1,201
"WA",6.2,13,27.1,53.7,5.8,443
"WI",8.9,13.2,33.1,44.8,5.5,444
"WV",7.9,11.7,24.3,56.2,7,362
"WY",17.5,22.4,23.5,36.6,9.6,157
