In the last 24 hours, how many people who are not part of your household did you meet face-to-face? 
"","0","1","2","3","4-9",">9","Error Margin","N"
"AK",26,12.2,10.8,5.5,25.6,19.9,9.7,128
"AL",29.5,12.5,11.4,5.8,23.9,16.8,5.8,434
"AR",28,14,11.9,8.1,17.3,20.7,6.2,387
"AZ",41.4,11.3,15.2,10.2,15.9,6.1,7.5,329
"CA",38.2,17.7,17.9,5.2,11.6,9.3,5.8,545
"CO",31.6,9.2,11.4,13.2,23.7,11,6.5,362
"CT",28.1,13.2,15.2,10.2,21.2,12.1,5.7,401
"DC",35.7,24.5,10.3,9.8,11,8.8,6.9,274
"DE",34.8,10.1,16.9,9.4,16.3,12.5,7.6,284
"FL",37.4,12.2,18.3,5.3,14.4,12.3,5.5,485
"GA",37.5,12.5,12.6,8,18.4,11.1,5.6,436
"HI",32.2,10.5,14,6.8,20.9,15.6,7,289
"IA",30.2,10.2,15,10.2,18,16.4,5.7,409
"ID",25,7.9,15.9,8.3,23.5,19.4,5.5,349
"IL",33.8,6.9,17.3,8.7,23.3,10,5.7,465
"IN",31.4,9.7,13.1,10.3,15,20.4,6.4,319
"KS",24.3,13.3,14.1,7.3,22.7,18.2,5.5,362
"KY",34.2,12.2,15.6,6.4,20.3,11.4,6,389
"LA",40.1,14.1,12.8,5.6,14.5,12.8,6.8,400
"MA",29.6,15.3,13,5.1,25,12,5.6,361
"MD",34.4,12.6,15.7,10.5,15.5,11.3,5.5,461
"ME",32.2,11.2,13.2,6.8,20,16.6,6.2,315
"MI",31.3,15.1,14.8,8.3,17.7,12.8,6.1,365
"MN",32.6,11.3,13.7,8.8,20.4,13.2,6,381
"MO",25.2,7.8,17.5,8,22.4,19.1,5.4,358
"MS",28.3,13.9,12.2,10.3,19.7,15.5,6.3,371
"MT",26.2,8.5,11.5,8.2,26,19.7,6,292
"NC",39.8,9.4,11,9.1,17.2,13.6,5.7,428
"ND",26.7,9,15.8,9,20.1,19.4,7.8,207
"NE",26.7,14,9,10.4,20.3,19.6,5.8,335
"NH",32,12.6,14.3,8.8,19,13.3,6.1,314
"NJ",38.3,15.6,12.2,8.1,19.1,6.7,6.5,387
"NM",35.1,6.8,14.5,9.2,21.6,12.8,7.5,335
"NV",36.8,11.3,13.8,8.3,16.4,13.3,6.4,433
"NY",38,12.5,12.6,11.2,15.8,9.9,5.6,464
"OH",37,9.6,11.7,7.8,19,14.8,5.3,477
"OK",27.9,10.5,15.5,7.8,19.5,18.9,6.3,382
"OR",35.2,10.3,10.5,10.7,21.2,12.2,6,396
"PA",32.1,19.6,10.6,6.5,16.2,15,5.6,477
"RI",22.2,15.4,15.9,10.2,25.6,10.8,5.9,320
"SC",30.2,12.2,12.5,10.2,19.4,15.5,5.6,419
"SD",20.1,6.7,13.4,5.4,26,28.4,7.1,256
"TN",30.5,12.1,13.1,9.9,21.5,12.9,5.4,467
"TX",42.2,11,13.8,7.2,16.3,9.4,5.9,483
"UT",26.9,12.6,13.8,6.4,22.5,17.8,5.5,439
"VA",39.9,12.9,14.3,10.4,11.7,11,6.1,401
"VT",26.4,11.2,15.3,10.3,21.8,15,7.2,202
"WA",35.8,13.7,15.1,9.2,15.6,10.6,5.6,443
"WI",27.8,17.3,12.5,8.7,18.4,15.2,5,442
"WV",34.8,13.4,15.3,5.8,18.4,12.4,6.7,361
"WY",33.8,9.6,6.9,8.5,21.6,19.7,9.4,157
