How concerned, if at all, do you currently feel about the following: - Getting coronavirus yourself 
"","Not at all concerned","Not very concerned","Somewhat concerned","Very concerned","Not applicable to me","Error Margin","N"
"National",11.1,18.4,33.8,34.8,1.9,0.9,19005
"AK",21.9,23.9,29.8,23.6,0.7,10.1,128
"AL",11.7,14.7,32,38,3.6,6.2,433
"AR",11.9,22.2,32.7,30.9,2.3,6.5,386
"AZ",10,19.7,33.6,35.6,1.1,7.3,332
"CA",11.1,12.3,33.7,40.3,2.6,5.8,546
"CO",15.2,20.9,32.9,28.6,2.4,6.5,365
"CT",6.4,20.1,40.5,31.9,1.2,6.2,403
"DC",5.6,18.5,30.5,43.5,1.9,7.1,275
"DE",10.7,16.7,33.9,36.9,1.8,7.8,284
"FL",9,16,31.2,41.2,2.5,5.5,490
"GA",8.8,17.1,31.7,38.1,4.4,5.6,435
"HI",7.6,16.7,34.6,40.8,0.3,7.4,291
"IA",14.4,19.4,39.6,26,0.6,6.1,409
"ID",16.5,20,34.8,27.2,1.5,6.1,349
"IL",10.5,11.3,41.1,36.2,0.9,5.9,470
"IN",14.7,21.5,33,28.7,2.1,6.5,319
"KS",10.4,23.2,31.9,31.5,3,5.9,363
"KY",11.3,20.7,37.4,30.1,0.6,6.1,387
"LA",12.3,21.3,28.7,36.9,0.8,6.6,403
"MA",8.6,22.2,33.7,33.6,1.9,5.8,363
"MD",7.9,14.9,41.7,35.1,0.4,5.7,460
"ME",10.9,19.5,42.7,26.8,0.2,6.5,312
"MI",11.6,17.7,32.5,36.8,1.3,6.3,366
"MN",11,25.1,35.2,27.5,1.2,6.1,381
"MO",13.2,19.5,38,28.9,0.4,6.1,358
"MS",11.5,16.9,29.4,38.8,3.5,6.8,372
"MT",17,25.1,39.2,17.8,1,6.7,290
"NC",9.1,14,36.2,40.2,0.4,5.7,429
"ND",15.8,22.1,41.4,20.7,0,8.6,209
"NE",16,26.2,31.4,25.1,1.2,6.1,336
"NH",13.6,17.3,32.9,35.5,0.7,6.2,314
"NJ",7.4,15,41.3,32.6,3.8,6.6,390
"NM",11.2,16.3,34.3,35.6,2.5,7.5,335
"NV",12.8,20.3,32.1,33.5,1.3,6.3,433
"NY",9,16.8,29.5,42,2.8,5.7,463
"OH",12.6,19.8,37.1,27.9,2.5,5.3,478
"OK",16.2,17.7,32.8,31.2,2.1,6.6,380
"OR",15.7,22.4,34.4,26.5,1.1,6,395
"PA",12.9,19.4,31.1,35.5,1,5.8,477
"RI",7.9,15.6,39.3,36.5,0.8,6.5,321
"SC",13.5,14.9,31.3,38.7,1.7,6,420
"SD",22.5,31.1,25.2,18.8,2.3,7.3,256
"TN",14.3,21.4,30.8,31.3,2.2,5.5,466
"TX",9.1,13.3,30.5,44.8,2.3,5.9,484
"UT",18.1,25.1,31.7,24.8,0.3,5.7,440
"VA",8.6,18.8,33.2,35.5,3.8,5.9,402
"VT",14.4,25.9,37.2,20,2.5,7.9,202
"WA",10.2,15.2,35.5,37.8,1.3,5.7,444
"WI",14,16.1,37.2,32,0.8,5.3,441
"WV",10.3,23.9,32.2,32.1,1.6,6.6,363
"WY",18.5,31.2,26.4,23.6,0.3,9.2,157
