Do you approve or disapprove of the following measures which federal, state, and local governments could take to prevent the spread of coronavirus (COVID-19) in the next 30 days? - Limiting restaurants to carry-out only 
"","Strongly disapprove","Somewhat disapprove","Somewhat approve","Strongly approve","Error Margin","N"
"National",6.7,11.5,26.4,55.5,1,18952
"AK",8,10.4,33.2,48.3,11,128
"AL",7.5,13.1,21.5,57.9,6.3,436
"AR",9.5,9,27.1,54.4,6.9,386
"AZ",7.7,10,24.4,57.9,7.6,331
"CA",5.8,10.6,24,59.5,5.8,544
"CO",10.8,9.8,28,51.4,6.9,365
"CT",3.5,10.6,27.5,58.5,6.2,400
"DC",1,8.9,23.4,66.7,6.7,275
"DE",2.7,12.9,25.5,58.9,7.9,283
"FL",5.6,13.7,25.3,55.4,5.6,485
"GA",6.4,13.2,24.7,55.7,5.8,433
"HI",4.6,8.9,26.6,59.9,7.3,290
"IA",6.9,13,24.8,55.3,6.2,408
"ID",7.8,17.5,29.2,45.5,6.4,350
"IL",3.6,11.2,28.1,57,5.9,469
"IN",7.2,16.6,21,55.1,6.9,316
"KS",6.8,14.9,30.8,47.5,6.4,362
"KY",5.5,14.5,21.5,58.4,6.2,385
"LA",6.8,8,25.9,59.4,6.8,401
"MA",6.2,9.1,31.6,53.1,6.1,362
"MD",3.3,7.8,31.1,57.8,5.8,459
"ME",5.6,11.1,28.8,54.5,6.6,311
"MI",7.5,11.7,20.2,60.5,6.4,363
"MN",9.8,16.4,24.5,49.3,6.4,380
"MO",7.3,16.4,25,51.2,6.3,356
"MS",5.7,7.7,21.6,65,6.6,374
"MT",13.7,14.4,26.3,45.6,6.8,292
"NC",6,13.6,23.6,56.8,5.7,426
"ND",6.3,23.5,26.5,43.7,8.7,208
"NE",9,18.7,34,38.4,6.4,335
"NH",6.9,11.6,22.6,59,6.4,314
"NJ",5.6,11.2,20.6,62.6,6.5,390
"NM",8.6,10.8,21.2,59.4,7.7,333
"NV",12.8,12.9,24.7,49.6,6.7,429
"NY",3.2,8.2,25.7,62.9,5.5,465
"OH",5.4,12.4,28.7,53.5,5.4,475
"OK",5.9,11.5,26.9,55.8,7,379
"OR",7.5,20.6,19.7,52.1,6.3,395
"PA",9.1,12.4,33.6,44.9,6,476
"RI",6.8,10.6,26.3,56.3,6.7,319
"SC",6.6,12,29.2,52.2,6.1,420
"SD",16.7,17.6,29.2,36.5,7.6,256
"TN",10.9,10.3,29.8,49,5.9,463
"TX",7.4,10.2,24.6,57.7,5.9,479
"UT",8.5,10.6,28.7,52.2,6.1,439
"VA",4.7,9.9,26.5,59,6.1,398
"VT",7.1,10.2,24.6,58.2,8,202
"WA",3.9,10,32,54.1,5.8,444
"WI",7.3,11.9,31.1,49.7,5.5,445
"WV",6,10.7,28.9,54.4,7.1,361
"WY",12.8,19.3,30.3,37.6,9.6,157
