How concerned, if at all, do you currently feel about the following: - Problems staying connected  with friends and family 
"","Not at all concerned","Not very concerned","Somewhat concerned","Very concerned","Not applicable to me","Error Margin","N"
"National",21.1,26.4,28.1,19.7,4.7,0.9,18976
"AK",30,25.5,22.2,19.8,2.5,10.1,128
"AL",30.3,21.4,21,23.1,4.3,5.9,435
"AR",22.9,32,20.7,16.2,8.2,6.4,386
"AZ",23.7,22,21.1,27.2,6,6.8,331
"CA",19.9,28.2,29.3,18.9,3.8,5.4,545
"CO",28.1,22.2,25.6,20.3,3.8,6.2,365
"CT",16.7,32.7,27.4,20.4,2.8,5.9,404
"DC",13.8,27,29.1,25.1,5,6.5,275
"DE",15.4,31.4,23.3,26.5,3.4,7.5,282
"FL",23.9,22.6,25.5,23.7,4.3,4.9,489
"GA",23.9,23.9,26.5,19.8,5.8,5.1,434
"HI",16.9,30.4,28.1,17.8,6.9,6.9,291
"IA",24.2,29.4,30.7,12.7,3,5.8,408
"ID",26.9,27.9,30.3,12.3,2.5,5.9,347
"IL",16.5,24.8,34.7,19.2,4.8,5.7,466
"IN",27.8,28.6,23.7,15.6,4.4,6.2,318
"KS",22,28.1,28,17.3,4.7,5.7,365
"KY",19.1,24.1,25.6,25.3,6,5.5,390
"LA",22.8,28.6,23.2,23.5,2,6.2,400
"MA",16.8,24.3,28.9,24.3,5.8,5.6,361
"MD",16.1,29.8,28.1,21.6,4.4,5.3,460
"ME",25.3,27.3,27.1,16.5,3.8,5.9,314
"MI",19.6,26.9,30.3,18.7,4.5,6,363
"MN",21.4,30.4,30.4,14.8,3.1,5.8,382
"MO",19.9,22.8,33,19.1,5.3,5.9,356
"MS",19.3,25.2,29.1,21.1,5.3,6.3,371
"MT",22.5,35.5,25.9,13.4,2.7,6.6,290
"NC",20.5,26.8,28,18.8,6,5.2,429
"ND",26.9,22.3,29.7,18.1,2.9,8,208
"NE",22.6,30.9,27.5,14.5,4.5,6,336
"NH",20.9,25.8,32.6,18.7,2,6.1,315
"NJ",24.4,28.5,22.5,18.2,6.4,6,390
"NM",21.1,21.5,27.8,24.6,5.1,7.1,332
"NV",24.3,25.1,23.8,22.2,4.6,5.8,430
"NY",19,23.6,30.6,23.1,3.7,5.3,464
"OH",24.2,28,27.6,16.7,3.4,4.9,476
"OK",24.7,26,25.6,18.5,5.2,6.2,378
"OR",24.9,25,27.2,18.1,4.8,5.6,396
"PA",20.2,28.2,28.9,17.6,5,5.4,478
"RI",18.6,30,31.7,15.1,4.7,6.2,319
"SC",16.9,24.9,36.1,20.3,1.8,5.9,418
"SD",34.4,27.5,23.8,12.1,2.2,7.5,256
"TN",23.2,26.2,26.6,19,5,5.2,465
"TX",17.8,27.5,26.2,22.9,5.7,5.3,482
"UT",20.1,23.3,36.9,16.5,3.1,5.9,439
"VA",19.4,27.2,27.7,20.6,5.1,5.6,402
"VT",20.3,26.6,32.3,10.9,10,7.6,201
"WA",20.6,27.9,30.3,17.6,3.6,5.4,444
"WI",24.6,32.3,26,13.5,3.6,5.2,443
"WV",24.5,27.1,25.8,16.5,6.2,6.3,362
"WY",34.5,28.9,25.1,8.7,2.8,9.5,157
