How concerned, if at all, do you currently feel about the following: - Losing your job due to the virus outbreak or the measures against it 
"","Not at all concerned","Not very concerned","Somewhat concerned","Very concerned","Not applicable to me","Error Margin","N"
"National",14.3,14.2,16.8,21.7,33,0.9,18969
"AK",16.4,16.9,15.2,19.5,32,10.3,128
"AL",17.2,8.7,12.9,22.6,38.7,6.2,434
"AR",12.2,14.1,15,22.4,36.2,6.6,385
"AZ",12.3,13,13.6,22.3,38.8,7.5,330
"CA",12.8,13.5,21.3,22.6,29.8,5.4,546
"CO",13.1,13,21.9,22.7,29.3,6.3,365
"CT",15.6,16.4,16.1,21.8,30.2,5.8,405
"DC",21.4,13.2,18.4,26.5,20.6,6.3,275
"DE",17.8,13,17.3,19.2,32.6,7.6,282
"FL",14.2,12.8,18.5,17,37.5,5.4,489
"GA",10.1,14.3,17.4,24.1,34,5.5,436
"HI",12.1,14.5,17.1,25.4,30.9,6.9,291
"IA",20.6,13.5,15.6,18.7,31.6,5.8,408
"ID",20.2,13.5,15.4,18.4,32.6,6,347
"IL",12.1,14.5,20.3,21.1,32,5.6,467
"IN",21.2,14.8,14.1,16.5,33.4,6.5,319
"KS",16.6,17.8,12.1,21.3,32.2,6,362
"KY",12.6,9,17.6,20.1,40.6,6.2,389
"LA",16,13.7,17.8,22.3,30.2,6.3,402
"MA",12.6,15.5,22.6,22.7,26.6,5.4,361
"MD",11.4,17.9,18.6,23.8,28.3,5.2,461
"ME",13.9,19.5,8.8,16.9,40.8,6.5,314
"MI",16.4,15.8,13.2,20.1,34.5,6.2,365
"MN",13.3,18.1,19.9,18,30.6,5.9,381
"MO",16.9,11.8,13.9,26.1,31.3,5.8,354
"MS",10.1,20.9,16.5,21.6,30.9,6.5,367
"MT",22.4,15.4,15.9,17.3,29,6.2,290
"NC",13.1,12.1,16.2,21.5,37.1,5.6,428
"ND",19.5,12.9,14.4,17.5,35.8,8.4,209
"NE",21.5,21.3,16.1,13.6,27.4,5.8,336
"NH",16.8,15.4,13.4,18.9,35.5,6.3,314
"NJ",11.6,11.6,21.2,18.7,37,6.5,389
"NM",11.5,10.9,19.8,26.3,31.4,7.3,331
"NV",8.8,11.3,14.2,27.9,37.7,6.5,430
"NY",12.6,13.2,15.4,24.7,34,5.4,464
"OH",18.8,12.3,15.2,15.9,37.8,5.3,476
"OK",10.4,10.1,15.9,25.7,37.9,6.9,379
"OR",14.8,16.9,11.7,17.9,38.7,6.1,395
"PA",14.7,15.1,13.8,21.6,34.9,5.7,475
"RI",14.2,15.6,16,19.6,34.6,6.4,319
"SC",15.6,14.2,16.7,22.2,31.3,5.7,418
"SD",20.6,20.3,19.3,15.4,24.4,6.8,255
"TN",16.7,13.4,13.4,22.2,34.2,5.6,466
"TX",11.4,13,17.4,26.6,31.6,5.5,484
"UT",15.2,19.9,22,23.1,19.7,5.2,439
"VA",17.8,16.4,19.5,14.4,32,5.8,402
"VT",14.3,17.7,14.7,15.8,37.6,7.9,202
"WA",11,17.2,18.8,21.6,31.4,5.4,443
"WI",20.2,15.7,15.4,15.5,33.1,5.2,442
"WV",15.4,15.9,15.1,16.4,37.1,6.8,363
"WY",18.4,18.6,11.4,17.4,34.1,9.4,157
