How concerned, if at all, do you currently feel about the following: - Problems with working from home during the virus outbreak 
"","Not at all concerned","Not very concerned","Somewhat concerned","Very concerned","Not applicable to me","Error Margin","N"
"National",16,16.8,15,14.3,37.9,0.9,21116
"AK",14,18.3,9.1,25.1,33.5,12.6,123
"AL",16.5,17.4,11.6,15,39.5,5.3,517
"AR",14.5,17.5,14.1,11.3,42.6,6.4,386
"AZ",13.9,17.2,11.3,17.6,39.9,5.8,464
"CA",14.4,15.3,20.9,17.2,32.2,4.1,806
"CO",21.3,21.9,13.6,12.2,31.1,5.1,474
"CT",18,12.5,16,12.7,40.7,5.7,412
"DC",18.3,18.8,22.9,21,19,7.7,232
"DE",17.5,13.2,11.1,17.1,41,7.8,279
"FL",13.2,15.1,14.9,14.8,42,4.7,576
"GA",18.1,15.8,15.3,16.3,34.5,4.6,600
"HI",13.4,17.8,12.8,18.7,37.4,8.2,257
"IA",15.7,17.6,14.3,8,44.4,7.5,250
"ID",20.8,12.8,19.1,11.5,35.8,7.6,267
"IL",14.5,12.8,14.9,16.8,41,4.7,507
"IN",16.5,15.9,12.3,11.3,44,5.3,463
"KS",21.4,21.7,13.2,11.2,32.5,5.5,436
"KY",15.8,14.1,14.3,12.9,42.7,5.2,510
"LA",13.6,15.3,15.3,16.2,39.6,6.4,438
"MA",14.6,20.2,16.1,16.9,32.2,4.5,603
"MD",16.6,20.7,18,12.9,31.8,4.6,538
"ME",14.4,14.9,14.1,9.4,47.1,7,285
"MI",15,14.8,14.1,12.4,43.7,5,580
"MN",18.6,20.2,17.6,8.2,35.4,5.1,525
"MO",16.5,15.8,13,11.1,43.6,5.3,507
"MS",13.1,19,12.6,21.6,33.6,7.1,395
"MT",15.1,17.5,12.4,11.2,43.9,8.4,209
"NC",18.1,17.2,11.8,10.2,42.7,4.7,519
"ND",22.6,16.3,17,11.3,32.8,8.5,185
"NE",23.8,21.8,16.5,8.7,29.2,6.6,305
"NH",16.7,18.4,12.2,11.3,41.4,8.2,202
"NJ",13.9,18.5,17.1,15.6,34.9,4.7,515
"NM",15.7,11.9,12.4,14.9,45.1,7.8,313
"NV",14.7,14.5,13.2,20.2,37.4,6,436
"NY",13.3,16,18.5,17.6,34.7,4.7,612
"OH",18.6,15.5,10.5,12.7,42.7,4.8,514
"OK",19.4,17.7,13.3,14.9,34.6,5.6,485
"OR",17.9,15.4,13.1,13.7,39.9,5.5,472
"PA",16.4,18.6,13.7,10.6,40.7,5,511
"RI",14.1,14.5,14.3,10.8,46.4,8.3,255
"SC",14.9,18.3,11.2,9.6,46,5.9,450
"SD",21.9,11.2,12.9,13,41,9.9,182
"TN",17.9,17.6,11.1,12.4,41,5,499
"TX",15.6,16.9,16.1,17.7,33.7,4.4,636
"UT",27.5,16.4,16.7,12.1,27.3,6.8,270
"VA",19.1,16.6,14.8,18.2,31.3,4.5,541
"VT",19.2,21.1,12.7,9.2,37.9,10.6,130
"WA",16.9,15.1,17.3,13.8,36.9,5.1,484
"WI",15.5,15.2,17.2,8.6,43.4,5.3,449
"WV",15.3,14.2,13.6,12.9,44,7.1,370
"WY",17.9,13.6,12.6,14.7,41.2,11.1,142
