How concerned, if at all, do you currently feel about the following: - Financial hardships due to the virus outbreak or the measures against it 
"","Not at all concerned","Not very concerned","Somewhat concerned","Very concerned","Not applicable to me","Error Margin","N"
"National",13.1,17.5,27.9,35.9,5.5,0.8,21119
"AK",7.6,22.4,24.6,39.9,5.4,13.2,121
"AL",11.9,18.4,26.2,38.4,5.2,5.3,516
"AR",10.1,17.7,25.6,41.1,5.6,6.3,385
"AZ",14.2,18.5,25.9,35.8,5.6,5.7,462
"CA",14,17.9,25.4,37.6,5,4.3,805
"CO",13.7,16.4,30.8,34.9,4.2,5.2,473
"CT",13.9,17.9,28.6,34.7,4.9,5.5,411
"DC",9.1,15,26.1,42.5,7.4,9,233
"DE",10.1,21.3,28.4,36.9,3.2,7.7,279
"FL",13.4,16.8,28.6,35.1,6.1,4.6,579
"GA",15.7,14.7,26.1,38.4,5.2,4.7,597
"HI",11.5,9.6,26.2,46.6,6.1,8.5,256
"IA",14.6,24.4,28.1,27.2,5.7,6.7,251
"ID",14.8,15.3,29.6,37.9,2.4,7.7,266
"IL",14,20.1,25.7,34.8,5.5,4.5,507
"IN",14.7,16,28.6,37.6,3.1,5.2,463
"KS",14,18,30.2,32.8,5,5.5,435
"KY",13.2,20.5,25,35.8,5.4,5.1,511
"LA",11.4,12.2,27.5,44.2,4.7,6.4,438
"MA",10.7,17.1,35.4,31.6,5.2,4.7,600
"MD",10.9,16.9,28.8,39.7,3.6,4.9,536
"ME",15.4,21.9,36.4,23.1,3.1,6.7,286
"MI",15.6,20.6,29.2,26.9,7.7,4.6,578
"MN",15.8,24.6,29,27,3.6,4.8,528
"MO",18,16.1,28.9,31.2,5.8,4.9,509
"MS",11.8,16.9,24.5,41.4,5.4,7.4,395
"MT",20.6,16.9,25.8,31.1,5.6,7.8,210
"NC",17.3,18.2,28.2,31.7,4.5,4.4,520
"ND",18.8,22.7,23.4,31.6,3.5,8.4,185
"NE",13.3,19.4,29.5,32.1,5.7,6.8,306
"NH",9.9,19.6,31.7,31.9,6.8,7.8,201
"NJ",9.7,18.3,31.1,35.5,5.4,4.7,515
"NM",14.8,11.2,22.1,43.5,8.4,7.8,313
"NV",12,15,22.1,45.5,5.5,6.3,435
"NY",12.5,17,30.5,33.4,6.6,4.6,618
"OH",13.8,17.8,30.1,29.7,8.6,4.4,516
"OK",13.3,15.3,26.4,40.4,4.6,5.8,484
"OR",14.3,13.8,32.4,33.8,5.7,5.3,471
"PA",15.7,15.2,32.5,31.6,5.1,4.8,512
"RI",14.1,19.2,23.2,36.3,7.3,8.1,254
"SC",12.9,18.2,28.1,34.4,6.3,5.6,451
"SD",10.9,19.3,32.4,34.1,3.2,9.6,182
"TN",13.7,17.1,26.5,35.5,7.3,4.8,499
"TX",11.8,15.5,25.6,41.5,5.5,4.6,637
"UT",15.5,19.3,27.9,33.9,3.3,7.2,270
"VA",14.2,16.3,28.4,36.1,5.1,4.7,541
"VT",20.1,14.6,30.1,28.9,6.2,10,130
"WA",12.6,19.2,27.4,36.5,4.3,5,487
"WI",13.1,20.8,31.1,30.2,4.8,5,450
"WV",10.6,14.4,26.4,42.2,6.4,7.1,370
"WY",17.9,15.8,22,33,11.3,10.6,142
