In the last 24 hours, how many people who are not part of your household did you meet face-to-face? 
"","0","1","2","3","4-9",">9","Error Margin","N"
"AK",20.7,18.9,11.1,8.7,21.7,18.8,11.1,121
"AL",27.2,8.8,14.5,9.9,22,17.6,4.9,513
"AR",30.4,11.3,10.2,11.6,20.1,16.4,5.9,386
"AZ",36.2,11.3,13.3,10.2,19.4,9.7,5.7,463
"CA",37.5,11.2,13.8,8.9,20,8.6,4.3,800
"CO",30.1,7.5,12.7,9,22.2,18.4,5,473
"CT",29.1,10.8,17.5,6.6,20.7,15.4,5.2,412
"DC",29.5,12.4,17.9,10,19.5,10.6,8.3,234
"DE",31.8,13.6,16.8,10.2,19.3,8.4,7.4,278
"FL",35.4,12.5,14.2,9.7,17.8,10.4,4.6,576
"GA",33.6,11.5,12.3,8.8,21.4,12.4,4.6,593
"HI",33.8,11.6,12.5,8.1,20.7,13.3,8.1,255
"IA",22.3,7.8,11.9,12.3,23.2,22.5,6.3,249
"ID",21.6,7.5,14,8.9,26.7,21.1,7.1,266
"IL",30.1,13.5,15.3,10,17.5,13.6,4.4,504
"IN",31.1,11.4,9.2,8.6,17.4,22.3,5,464
"KS",24.2,9.8,8.5,9.7,27.1,20.7,5.2,431
"KY",29.9,12.1,12.6,12.2,14.6,18.6,4.8,508
"LA",35,10.2,13.9,9.8,18.4,12.7,6.2,436
"MA",30.2,11.3,18.4,8,20.3,11.8,4.5,602
"MD",34,12.1,13.8,8.8,19.2,12,4.7,537
"ME",24.5,11.1,15.2,6.7,24.5,18,6,286
"MI",28.3,12.8,16.9,8.4,20.2,13.4,4.6,575
"MN",28.7,10.1,12.6,10.1,21.8,16.9,4.8,525
"MO",26.6,6.9,10.7,10.3,22.5,22.9,4.7,507
"MS",31.5,10.2,13.5,13.4,15,16.4,6.9,401
"MT",19.9,5.8,12.4,14.2,23,24.9,7.3,210
"NC",36.7,10.5,11.2,8.3,19.3,13.9,4.6,518
"ND",24.4,8.5,10.2,6.7,20.6,29.5,8.3,183
"NE",26.9,7.3,8.8,11.6,15.1,30.3,6.7,305
"NH",31.3,6.6,8.1,7.1,30.2,16.6,7.7,202
"NJ",30.2,10.2,16,10.4,21.1,12,4.6,513
"NM",25.1,12,19.4,10.1,13.3,20.2,6.9,311
"NV",31.9,11.8,12.3,8.8,18.2,17.1,5.8,434
"NY",32,11.3,18.1,9.3,19.5,9.8,4.6,617
"OH",26,9.1,17.6,10.8,19.1,17.4,4.2,514
"OK",33.1,9.5,8.9,12.1,19.4,16.9,5.5,483
"OR",29.4,13.7,14.2,8.9,19.8,14.1,5.1,470
"PA",31.2,7.3,14.3,7.1,19.3,20.8,4.7,508
"RI",33.8,14.6,13.8,7.5,22.4,8,7.9,254
"SC",27.9,11.2,13.6,7,22.1,18.2,5.3,450
"SD",19.8,5.6,19.8,7.7,18.8,28.3,9.1,183
"TN",24.9,13,13.2,8,25.2,15.7,4.4,498
"TX",33.7,15.2,13.8,10.4,17.1,9.8,4.4,636
"UT",23.9,10.8,10.1,5.6,31.2,18.4,7,270
"VA",33.6,11,16.4,10.2,17.2,11.5,4.6,537
"VT",27.6,8.8,19.6,4.1,22.1,17.7,9.7,131
"WA",31.9,14.1,16.1,6.6,19,12.4,4.9,486
"WI",27,10.1,15,8.1,19.5,20.3,4.8,448
"WV",35.9,8.9,11.1,9,18,17.2,6.9,369
"WY",18.7,6,13.8,12.6,19.9,29,10.4,140
