Do you approve or disapprove of the following measures which federal, state, and local governments could take to prevent the spread of coronavirus (COVID-19) in the next 30 days? - Requiring most businesses other than grocery stores and pharmacies to close 
"","Strongly disapprove","Somewhat disapprove","Somewhat approve","Strongly approve","Error Margin","N"
"National",14.9,20.5,31.2,33.3,0.8,21123
"AK",17.3,20.6,27.6,34.5,12.8,122
"AL",19.3,24.4,25.5,30.9,5,517
"AR",22.7,20.9,29.4,27,5.9,387
"AZ",12.8,22,27.2,38,5.7,463
"CA",11.9,14.5,30.6,43.1,4.4,804
"CO",20.6,22.5,32.8,24.1,5.1,475
"CT",9.5,20.4,33.6,36.5,5.6,411
"DC",6.2,16.1,39.4,38.2,8.9,235
"DE",13.9,16.9,38.4,30.9,7.8,278
"FL",10.5,20.1,31.8,37.5,4.6,576
"GA",14.2,21.1,30.5,34.2,4.6,602
"HI",11.2,16.2,28,44.6,8.5,256
"IA",16.2,31.5,23.3,29,6.9,250
"ID",29.8,18.1,28.2,23.9,7.3,267
"IL",15.7,16.3,33.2,34.8,4.6,507
"IN",18.8,20.8,30.4,30.1,5,462
"KS",19.1,25.6,25.2,30.1,5.4,434
"KY",16.6,22,30.7,30.6,4.9,510
"LA",17.6,17.3,32.6,32.5,6.1,441
"MA",8.8,19.8,35.9,35.6,4.7,601
"MD",10.4,15.6,33.1,40.9,4.9,537
"ME",16.4,28.1,26.1,29.3,6.4,286
"MI",17.1,20.3,32.8,29.8,4.8,579
"MN",19.6,19.2,31.8,29.4,4.9,527
"MO",20.7,22.7,31.5,25.1,5,505
"MS",11.6,25.7,26.6,36,7.1,398
"MT",17.3,22.5,29.6,30.5,7.8,210
"NC",14.7,20.9,32,32.5,4.5,519
"ND",18.6,38.9,18.3,24.3,8.9,185
"NE",25,22.7,29.5,22.8,6.6,305
"NH",18.1,20.4,28.2,33.3,7.9,202
"NJ",8.4,22.6,30.6,38.4,4.8,514
"NM",22.4,22.3,29.1,26.3,7.1,311
"NV",17.7,18.4,28.1,35.9,6,436
"NY",9.4,21.5,33.2,35.9,4.7,616
"OH",17.4,21.3,33.3,28,4.5,516
"OK",19.1,20.3,32.4,28.2,5.5,483
"OR",19.9,21.3,28.6,30.1,5.2,472
"PA",19.4,20.4,30,30.1,4.7,510
"RI",13.3,11.8,40,34.9,8.2,255
"SC",15.5,20.4,30.4,33.6,5.6,450
"SD",29.1,17.8,29.1,24,9.2,181
"TN",16.6,27.6,29.9,25.9,4.6,498
"TX",11.1,19.5,31.7,37.7,4.5,638
"UT",25.3,28.3,20.8,25.6,6.8,271
"VA",14.5,17.9,32.4,35.2,4.6,543
"VT",18.4,23.1,30.9,27.7,10.1,130
"WA",13.2,17.9,34.2,34.7,5,486
"WI",19.9,23.6,32.6,23.9,5,449
"WV",14.6,21.2,27.3,36.9,6.9,371
"WY",30.3,28,20.8,20.8,10.4,142
