How concerned, if at all, do you currently feel about the following: - Problems with childcare during  the virus outbreak 
"","Not at all concerned","Not very concerned","Somewhat concerned","Very concerned","Not applicable to me","Error Margin","N"
"National",10.8,10.4,11.6,16.8,50.4,0.9,21107
"AK",9.3,9,16.2,22.6,42.9,13.2,123
"AL",12.5,11.8,11.4,18.4,45.9,5.4,517
"AR",11.5,9.5,10.5,19.1,49.3,6.4,386
"AZ",7.9,8.7,12.4,16.9,54,5.9,462
"CA",8.8,9.4,14.6,21.1,46.1,4.4,807
"CO",14.9,10.2,9.8,14.6,50.5,5.5,473
"CT",12.9,7.7,9.7,13,56.8,5.7,411
"DC",4.9,8.9,16.2,29.2,40.7,9,232
"DE",9,7.9,14.3,14.9,53.9,7.9,279
"FL",9.2,8.1,11.6,18.2,52.8,4.8,576
"GA",11.3,9.2,12.1,21,46.4,4.9,598
"HI",5.3,8.5,11.1,23.9,51.2,8.6,255
"IA",12.8,13.6,12.3,7.7,53.7,7.4,252
"ID",12.1,12.4,7.3,12.5,55.7,7.9,267
"IL",13.1,8.1,9.6,18.8,50.5,4.8,508
"IN",14.6,10.3,9.2,14.6,51.3,5.4,463
"KS",10.6,11.8,13.5,15.2,48.9,5.9,434
"KY",13.3,13.8,9.4,16.4,47.1,5.3,511
"LA",13.7,10.1,11.9,19.2,45.1,6.5,438
"MA",11.9,10.8,10.3,17.4,49.6,4.9,599
"MD",11,12.6,11,18.8,46.5,5,534
"ME",8.5,8.6,9.9,12.3,60.7,6.9,283
"MI",10.3,7.9,12.6,12.3,56.8,5,580
"MN",13.4,12.4,11.8,8.8,53.5,5.3,524
"MO",12,9.9,9.6,14,54.5,5.3,509
"MS",15,11.6,11.2,25.5,36.8,7.2,397
"MT",11.1,10.7,7.8,8.9,61.5,8.2,210
"NC",12.3,8.9,9.1,15,54.6,4.8,517
"ND",13.3,9.4,15,13,49.2,9.1,184
"NE",13.1,12.7,11,13.9,49.3,7.3,306
"NH",16.8,9.4,7.1,14.5,52.2,8.3,202
"NJ",7.2,9.8,11.9,20.2,50.8,5,511
"NM",9.3,5.3,7.4,17.1,60.9,7.7,312
"NV",9.9,8.8,8.3,23.1,49.9,6.3,434
"NY",9,10.8,15.8,17.9,46.5,4.9,617
"OH",11.1,10.3,10.6,14.3,53.7,4.8,516
"OK",12.2,10.4,12,16.5,48.8,5.9,483
"OR",11,10.4,10.9,13.4,54.2,5.6,472
"PA",13.6,10.7,12.7,13.3,49.7,5.1,512
"RI",7.8,9.3,8.4,15.3,59.3,8.2,254
"SC",10.8,9.1,11.7,13.9,54.5,5.9,452
"SD",8.3,5.8,12.9,13,59.9,9.9,183
"TN",12.4,9.9,8,16.3,53.5,5,498
"TX",9.7,12.3,13.3,18.9,45.8,4.6,637
"UT",18.7,14.9,8.3,13,45.1,7.5,271
"VA",9,12.7,10.3,18.8,49.1,4.9,541
"VT",6.7,7.4,16.6,5.7,63.5,10.4,131
"WA",9.2,9.3,14.8,17.1,49.5,5.2,486
"WI",8.6,9,13.6,11.4,57.4,5.3,449
"WV",9.7,11.9,6.9,16.3,55.2,7.2,369
"WY",19.3,6.4,10.5,10.7,53.1,11.3,142
