In the last 24 hours, did you get any news or information related to the current coronavirus (COVID-19) outbreak from the following sources 
"","Friends and family","Radio news","Podcasts","Local television","Network television (e.g.  ABC, CBS, or NBC)","Cable television (e.g. CNN, Fox News, or MSNBC)","Late-night comedy shows (e.g. The Late Show with Stephen Colbert or The Daily Show)","Print newspapers (e.g. the New York Times or the Wall Street Journal print edition)","A news website or app (e.g. the New York Times or Fox News websites or apps)","A health website or app (e.g. WebMD)","A government website or app (e.g. CDC.gov)","An organization website or app (e.g. WHO.int)","A search engine website or app (e.g. Google, Bing)","A social media website or app (e.g. Facebook, Twitter, Snapchat)","Error Margin","N"
"National",12.9,6.7,1.7,21.3,17.4,14.1,2.1,4.4,8.2,3,4.8,1.5,5.3,9.6,0,387
"AK",18.2,7.8,0.6,17.7,19.7,16.9,3.2,3.1,14.8,4.5,8.8,0.2,16.9,25,12.7,123
"AL",12.6,6.2,1.7,19,14.2,15,1.7,2.3,8.6,3,4.9,1.3,5.2,11.2,4.4,519
"AR",18.2,9.5,2,25.6,20.6,16.8,2.7,2.7,9.8,3.9,4.5,1.4,8.4,12.3,6.1,388
"AZ",13.9,8,1.7,26.2,18.2,16.9,0.9,5.5,11.2,4,5.7,2.5,5.9,9.8,5.1,464
"CA",12.5,6.4,2.1,20.7,17,15.9,2.3,4.5,10.2,3.8,4.4,1.3,7.3,9,3.6,808
"CO",11.5,7.7,0.4,21,17.4,12.4,2.6,2.4,8.7,3.1,5.6,1.5,4.7,8.5,4.5,476
"CT",14,10.7,1.8,29.8,23.7,19.3,3.3,7.3,10.9,6.1,7.5,4.1,7,8.4,5.5,414
"DC",5.9,8.1,2.5,11.5,13.9,14.1,1.4,9.4,5.3,3.2,6.9,3.6,3.1,7.2,6.8,236
"DE",21.2,8.7,4,30.2,30.2,27.5,2.5,5.3,7,4.3,9.1,3.4,11.8,13.8,8.3,279
"FL",12.1,5.6,3.3,26.8,18.8,19.9,1.5,6,6.8,3.3,4.6,2.2,5.4,10.3,4.3,580
"GA",17.3,7,2.4,20.5,16,13.8,1.3,3.5,6.8,4.3,3.7,1.5,5.9,9.8,4,602
"HI",21.1,5,2.7,20.6,12.6,12.2,1.5,8.4,11.3,3.6,5.2,2.8,10.6,9.2,7.3,257
"IA",11.9,4.2,2.5,25.8,18.7,12.5,0.6,4.4,8.9,1.6,3.3,0.6,4,12.1,7.3,252
"ID",15.6,7.9,3,24.4,19.2,12.4,2.7,1.3,7.6,2.3,5.8,3.2,5.9,13.5,7.1,267
"IL",12.2,7,1.9,23.5,22.3,17.4,2.6,6.5,9.5,2.5,4.6,0.7,5.8,9.7,4,508
"IN",11.4,5.2,1.5,19.2,16.7,14.2,1.4,4.4,6.4,1.2,3.9,0.5,4.1,5.9,4.1,464
"KS",12.1,9,3,21.2,13.8,12.6,2.2,2.8,8.7,3.2,5.1,0.9,5.4,9.8,5,436
"KY",12.3,4.5,1.1,17.8,8.9,9,2.3,1.1,5.1,2.3,4.9,1.5,3.3,10.8,4.4,512
"LA",10.8,5.9,1.1,21,13.8,8.3,0.5,2.2,4.4,2.5,5,1.6,5.5,10.7,5.5,442
"MA",13.8,8.1,0.6,22.1,18.5,15,2.2,3.1,9.2,2.2,5.4,1.2,4.4,10.7,4,603
"MD",10.2,6.9,1.5,16.2,17.6,17.5,2.9,5.6,9.3,3.1,5.8,2.5,5.6,8.6,4,538
"ME",17.4,10.9,0.9,27.2,25,18.6,1.8,6.4,14.3,1.3,7.5,0.6,4.2,10.6,6.5,287
"MI",12.9,7.4,1.7,24.4,16.4,13.3,1.7,3.5,8.2,2.5,5.5,1.2,5.6,8.9,4.4,581
"MN",11.3,7,1.8,20.1,17,11.6,2.7,3.5,8.5,3,7.2,1.7,4.7,9.1,4.7,528
"MO",12.4,8.2,1,26.6,17.9,15.5,1.7,3.3,9.3,3.4,4.9,2.3,4.9,12.3,4.7,509
"MS",10.1,6.2,0.7,20.5,11.9,6.4,0.3,1.6,4.5,2.1,1.3,0.3,4,9.7,6.7,401
"MT",18.8,7,2.4,19.1,13.8,13.8,4.9,4.1,15.4,5.9,12.3,3.4,4.3,9.9,7,210
"NC",14.3,5.3,2.4,27.8,21.9,15.2,2.4,4.3,7.1,2.3,5.6,2.8,6.8,10.2,4.3,521
"ND",14.8,9.3,0.9,23,23.6,10.1,2.2,4.9,8.4,3.2,5.8,1.8,2.3,7.6,8.7,185
"NE",15.6,8.8,2.3,21.8,14,13,1.1,6.2,10.9,3.9,6.5,1.6,4.3,14.9,6.3,306
"NH",12.1,7.8,0.5,29.6,27.6,24.1,2.4,6.2,15.6,6.9,4.7,0.6,6.5,10.7,7.8,202
"NJ",13.2,8.6,0.7,17.1,21.6,16.7,3.4,5.7,6,3,2.7,0.9,5.4,8.5,4.1,515
"NM",7.5,6.1,1.8,14.9,13.1,7.7,4,4.2,7.2,1.1,4.1,0.7,2.1,6.9,5.1,313
"NV",13.7,6.2,2.4,19.8,18.7,15.5,1.5,5.9,11.6,4.3,6.3,3.5,8.8,11.5,5.2,437
"NY",13.1,5.8,2.1,21.9,17.4,14,2.1,7.2,8.7,3.1,3.6,1.4,4.8,6.1,4.3,618
"OH",8.4,5.5,0.8,18,15.4,12.6,2,2.6,6,2.4,2.5,1.2,5,8.7,3.5,518
