Have you or someone in your household experienced any of the following as a result of the coronavirus (COVID-19) outbreak 
"","Had to start working from home","Had their school or university closed","Had to stop or scale back work to take care of their children","Had to stop or scale back work to take care of someone who had COVID-19","Had to take a cut in pay due to reduced hours or demand for their work","Was laid off or lost a job","Error Margin","N"
"National",30.5,28.4,8,2,19,19.9,0,451
"AK",30.8,20.8,7.7,2.6,14.1,20.1,11.5,123
"AL",21.6,25,10.7,1.7,18.4,19.8,4.4,519
"AR",20.8,24.5,9.5,0.8,22.2,19.6,5.2,388
"AZ",29.5,27.1,11.6,3.8,20.6,20.3,5.5,464
"CA",34.5,33.2,6.5,2.2,21.5,20.7,4.1,808
"CO",38.9,30.3,7.5,1.9,27.6,17,5.3,476
"CT",36.3,31,8.4,1.3,16.7,20,5.4,414
"DC",52.2,30.3,12.5,4.8,13.2,15.2,9.1,236
"DE",33.3,40.9,10.1,2.3,13.9,22.1,8.1,279
"FL",26.6,24.4,6.9,2.3,20.1,19.9,4.1,580
"GA",31.3,33,8,2,18.9,17.8,4.6,602
"HI",32,22.5,8.9,1.1,24.2,27.7,7.9,257
"IA",31.5,30.2,9.3,0.8,16.8,17,6.7,252
"ID",29.4,32.9,7,1.7,15.2,16.9,7.2,267
"IL",31.4,29,7,3.4,18.9,20.2,4.3,508
"IN",24,24.9,6.6,1.7,21.9,19.3,4.4,464
"KS",30.4,25.9,7.1,1.6,19.1,20.3,5.2,436
"KY",25.1,26.6,9.5,1.2,13,22.8,4.5,512
"LA",22.1,26.8,9.8,2,17.7,23.9,5.5,442
"MA",39.3,29.2,6.3,1.7,18.3,19.3,4.6,603
"MD",38.8,34.3,8.1,1.1,18.6,20.6,4.8,538
"ME",25.5,28.8,7.7,1.9,14,13.3,6.1,287
"MI",27.4,25.8,7.5,1.6,15.6,24.2,4.3,581
"MN",34,29.6,7.8,1.5,18.6,19.7,4.8,528
"MO",24.4,26.9,6.1,1.5,16.5,18.6,4.8,509
"MS",22.7,25.9,9.2,3,13,21.2,5.9,401
"MT",22.7,22.2,10.2,0.2,19.8,20,7,210
"NC",28.8,27,5.7,2.1,15.3,15.6,4.1,521
"ND",30.6,27.3,7,0.6,20.3,15.5,8.2,185
"NE",31.2,28.5,11.6,2.4,20.5,23.7,6.3,306
"NH",35.8,27.9,10,0.2,20,22.5,7.9,202
"NJ",40.2,27.6,7.8,2.2,21,19.8,4.7,515
"NM",22.6,31,4.3,0.6,12.8,20.1,7.3,313
"NV",24.9,17.4,6.8,2.4,26.6,31.1,5.8,437
"NY",33.9,28.2,5.2,3.3,16.9,19.1,4.3,618
"OH",24.7,24,6.2,2.6,20,20.1,4,518
"OK",26.8,29.6,10.3,0.9,20.9,20.7,5.1,486
"OR",26.5,29.2,8.7,0.8,24.1,20.3,4.9,472
"PA",28.1,26.2,7.5,1.2,15.5,19.3,4.3,512
"RI",34.6,29.7,6.2,1.1,13.5,20.2,7.8,255
"SC",20.1,25.6,6.7,0.8,24.7,14.6,5.4,452
"SD",25.3,28.6,7.6,2.2,17,20.8,8.7,184
"TN",24.9,22.2,8.4,1.4,18.6,17.1,4.2,499
"TX",32.3,29.7,8,2.7,20.7,16.4,4.1,639
"UT",43.6,37.5,9.9,0.7,24.6,17.1,7.3,271
"VA",41.2,34.5,9.9,4.2,18.9,18.1,4.7,543
"VT",37.7,33.4,9.9,1.3,12.4,17.8,10.2,131
"WA",34.6,31.6,8.8,2,22.5,22,4.7,489
"WI",26.4,29.1,8.1,0.7,25.1,17.8,4.8,450
"WV",21,28.9,9.2,1,19.8,24.9,6.1,372
"WY",19,30.4,9.6,0,16.3,16.6,9.5,142
