Gender recoded 
"","Male","Female","Error Margin","N"
"National",47.6,52.4,0.9,21196
"AK",46.4,53.6,13.3,123
"AL",45.1,54.9,5.4,519
"AR",46.9,53.1,6.4,388
"AZ",48.3,51.7,5.9,464
"CA",45.2,54.8,4.4,808
"CO",48.2,51.8,5.5,476
"CT",44.6,55.4,5.7,414
"DC",48.3,51.7,9.1,236
"DE",44.1,55.9,7.9,279
"FL",47.1,52.9,4.8,580
"GA",46.2,53.8,4.8,602
"HI",48.8,51.2,8.5,257
"IA",48.3,51.7,7.5,252
"ID",45.4,54.6,7.9,267
"IL",47.4,52.6,4.8,508
"IN",46.3,53.7,5.4,464
"KS",46.9,53.1,5.8,436
"KY",47.8,52.2,5.3,512
"LA",45.8,54.2,6.4,442
"MA",45.7,54.3,4.8,603
"MD",45.3,54.7,4.9,538
"ME",46.6,53.4,6.9,287
"MI",47.5,52.5,5.1,581
"MN",48.1,51.9,5.3,528
"MO",47.1,52.9,5.3,509
"MS",46.4,53.6,7.4,401
"MT",48,52,8.4,210
"NC",47.3,52.7,4.8,521
"ND",50,50,9.1,185
"NE",48.7,51.3,7.3,306
"NH",46.8,53.2,8.3,202
"NJ",48.1,51.9,4.9,515
"NM",44.3,55.7,7.8,313
"NV",48.3,51.7,6.3,437
"NY",46.6,53.4,4.9,618
"OH",47.6,52.4,4.8,518
"OK",47.9,52.1,5.9,486
"OR",47.8,52.2,5.6,472
"PA",48.7,51.3,5.1,512
"RI",44.1,55.9,8.3,255
"SC",47.3,52.7,5.9,452
"SD",48.2,51.8,10.1,184
"TN",47.2,52.8,5,499
"TX",47.2,52.8,4.6,639
"UT",47.3,52.7,7.6,271
"VA",48.2,51.8,4.9,543
"VT",47.5,52.5,10.8,131
"WA",48.9,51.1,5.2,489
"WI",47.9,52.1,5.4,450
"WV",47.4,52.6,7.2,372
"WY",50.2,49.8,11.3,142
