Do you approve or disapprove of the following measures which federal, state, and local governments could take to prevent the spread of coronavirus (COVID-19) in the next 30 days? - Limiting restaurants to carry-out only 
"","Strongly disapprove","Somewhat disapprove","Somewhat approve","Strongly approve","Error Margin","N"
"National",9.2,13.1,27.6,50.1,0.9,21113
"AK",7.7,14.3,19.8,58.2,13.3,122
"AL",13.3,14.8,27.7,44.2,5.4,518
"AR",13.6,11.9,26.8,47.7,6.4,387
"AZ",8.5,10.7,29.3,51.5,5.9,463
"CA",8.2,9.2,22,60.6,4.3,806
"CO",15.2,16.7,28.5,39.6,5.3,475
"CT",6.2,13.2,25.2,55.4,5.7,413
"DC",2.4,6.8,33.1,57.6,9,235
"DE",7.6,14.7,25.7,52,7.9,279
"FL",8.8,10.9,30.7,49.6,4.8,578
"GA",8.9,13,25.8,52.3,4.9,599
"HI",7,10.4,24.5,58.2,8.4,255
"IA",8.4,21.6,28.1,41.9,7.4,250
"ID",18.7,12.7,29.4,39.2,7.8,266
"IL",10.2,13.7,25.2,50.9,4.8,508
"IN",12.3,12.7,28.3,46.7,5.4,463
"KS",11.7,16.4,30.4,41.5,5.8,434
"KY",10.1,14.2,30.9,44.9,5.3,507
"LA",9.1,9.5,28.7,52.7,6.4,442
"MA",4.8,10.3,32.5,52.4,4.9,599
"MD",5.6,9.7,27.8,56.9,4.9,535
"ME",7.2,15.7,32.6,44.5,6.9,286
"MI",9.2,14.1,29.9,46.7,5.1,579
"MN",10.7,14.6,28.2,46.5,5.3,528
"MO",12.3,15.5,30.5,41.7,5.3,509
"MS",5.7,11.8,22.1,60.4,7.2,400
"MT",10,18.4,22.8,48.8,8.4,209
"NC",9.2,12.2,28.3,50.3,4.8,518
"ND",9,19.4,32.6,39,8.9,185
"NE",18.4,14.4,27.5,39.8,7.1,305
"NH",14.1,14.4,25.4,46.1,8.3,202
"NJ",4.1,12.1,27.6,56.2,4.9,511
"NM",13.9,15.8,21.2,49.1,7.9,311
"NV",11.2,13.7,24.2,51,6.3,434
"NY",4.5,13.1,27,55.5,4.9,615
"OH",10.1,15.3,28.5,46.1,4.8,515
"OK",13.2,10,27.7,49.1,5.9,486
"OR",13.7,14.9,23.2,48.1,5.6,471
"PA",11.2,16.1,27.9,44.8,5.1,508
"RI",7.3,13.5,23.3,55.9,8.3,255
"SC",10.1,15,24.7,50.2,5.9,450
"SD",18.9,13.9,29.4,37.8,9.9,181
"TN",10.4,17.7,30.8,41.1,5,498
"TX",6.8,11.3,28.7,53.2,4.6,634
"UT",19.2,21.9,23.3,35.5,7.3,271
"VA",8,12.2,29.4,50.4,4.9,541
"VT",12.8,13.7,26.2,47.2,10.9,129
"WA",7.6,12.7,29.9,49.9,5.2,486
"WI",12.2,16.2,28.1,43.5,5.3,450
"WV",8.4,14.4,21.3,55.8,7.1,371
"WY",16.8,22.2,20.9,40.2,11.2,141
