In the last 24 hours, did you get any news or information related to the current coronavirus (COVID-19) outbreak from the following sources 
"","CNN","Fox News","MSNBC","President Trump’s press briefings","Error Margin","N"
"National",38.7,39,19.6,20.4,0,4039
"AK",38.8,28.9,18.8,9.6,13.1,123
"AL",27.7,45.7,12.9,20.5,5.4,519
"AR",32.5,38.9,18.3,27.2,6.2,388
"AZ",37.8,41.8,22.1,18.5,5.8,464
"CA",43.3,36.9,24.2,18.1,4.3,808
"CO",36.9,36.1,21.5,16.1,5.3,476
"CT",42.8,34.7,19.8,20.3,5.7,414
"DC",59.8,49.5,20.9,13.9,9.1,236
"DE",42.8,43,16.8,17.6,8,279
"FL",46.3,43.9,19.3,22.8,4.8,580
"GA",39.3,42.4,16.6,18.9,4.8,602
"HI",44.4,38.5,18.8,20.6,8.4,257
"IA",30.4,29.7,16.9,14.5,6.9,252
"ID",33.5,33.9,21.7,25.3,7.6,267
"IL",37.8,36.8,21.2,14.8,4.6,508
"IN",33,39.7,17.1,25.6,5.3,464
"KS",33.6,39.4,19.2,22.2,5.7,436
"KY",27.3,38,14.4,21.9,5.2,512
"LA",38.5,42.4,15.4,23.1,6.5,442
"MA",42.8,35.4,23.4,18.9,4.8,603
"MD",45.3,36.6,27.4,13.3,4.9,538
"ME",33.3,34.1,20,25.3,6.8,287
"MI",35.2,38.9,18.8,22.4,5,581
"MN",35.8,40.7,17.4,19.8,5.3,528
"MO",33.4,43.1,17,23.7,5.3,509
"MS",37.1,42.1,17.1,19.5,7.2,401
"MT",32.8,34.4,17.9,17.1,8.2,210
"NC",36.6,41.3,18.8,23.2,4.7,521
"ND",42.7,31.4,23.3,24,9,185
"NE",34.5,30.3,10.2,18.8,6.7,306
"NH",38,30.9,17.9,24.9,8.2,202
"NJ",46.3,39.9,22,18.3,4.9,515
"NM",37.7,28.3,25.2,18.4,7.8,313
"NV",41.1,46,22.1,25.6,6.3,437
"NY",47.7,40.8,17.7,20.1,4.8,618
"OH",36.2,37.2,20.7,25.2,4.7,518
"OK",30.1,40.8,18,20.2,5.9,486
"OR",37.1,33.4,17.1,19.7,5.5,472
"PA",35.7,36.4,19.5,22.1,4.9,512
"RI",37.4,37.5,18.7,17,8.3,255
"SC",35,42.6,15.1,26,5.9,452
"SD",33.7,38.8,19.5,18.4,10.1,184
"TN",35.7,41.4,14.8,24,5,499
"TX",41.8,42.3,19.1,20.9,4.5,639
"UT",28.8,37.5,11,17.6,7.4,271
"VA",43.7,42.2,24.1,18.1,4.8,543
"VT",36.1,23.9,18.4,16.7,10.2,131
"WA",39.5,31.9,21.8,13.6,5.1,489
"WI",31.6,33.7,17.1,18.7,5,450
"WV",33,44.8,18.3,32.7,7.2,372
"WY",21.6,26.9,13,27.6,10.1,142
