We’d like to get your feelings towards different groups on a scale of 0 to 100, which we call a “feeling thermometer. 
"","Republicans","Democrats","Asian people","Black people","Hispanic people","White people","Scientists","Trump supporters","Biden supporters","Error Margin","N"
"AK",43.7,43.5,75.5,70.9,72.5,74.2,75.9,33.3,40.9,4.7,108
"AL",53.1,39.8,73.2,77.3,74.6,75.1,72.4,50.4,40.1,2.3,466
"AR",49.5,39.6,68.7,73.1,69.7,76,70.8,48.3,37.9,2.6,335
"AZ",45.3,48.4,74.4,74.2,76.8,73,78.5,37.2,48.9,2.2,437
"CA",38.4,56.2,75.8,74.8,78.3,70.9,78,30.7,54.5,1.7,749
"CO",45.6,43.9,77.1,78,79.9,75.1,77.5,39.2,44,2.2,433
"CT",42.1,53.2,77,77.9,77.9,76.3,80.3,34.9,52,2.3,374
"DC",34.8,73.2,72.2,79.7,71.2,70.6,76,24.4,69.9,2.6,213
"DE",43,52,71.1,71.8,73.7,76.5,75.2,37.7,53,3.1,249
"FL",43.4,51.8,72,74.3,74.8,73.5,76.8,38.4,51.8,1.9,543
"GA",46,48.9,75,77.3,76.8,74,75.2,40.8,48.1,2,554
"HI",41.6,47.4,77.5,72.1,74.5,67,75.1,34.4,46.1,3.3,222
"IA",42.8,45.6,74.5,73.6,74.5,76.7,76.6,40.6,44.4,3.2,224
"ID",55.4,34.9,76.3,76.1,77.4,80.3,73.5,50.2,34.1,3.4,228
"IL",42.2,53,74,73.4,75.2,75.9,78.9,36.5,51.1,1.9,475
"IN",46.9,42.1,72.5,73.3,73.4,75.4,76.7,44,40.4,2.1,403
"KS",49.2,39.1,73.9,75.9,75.9,76,76.2,45.3,37.4,2.4,369
"KY",53.7,43.8,72.5,75.1,74.1,79.7,76.3,49.5,40.3,2.2,440
"LA",51,42.3,68.7,77.3,72.8,72.8,75.1,48.3,43.8,2.7,382
"MA",39.4,54.7,77.2,78.3,77.5,78.3,81.5,31.3,56.7,1.8,546
"MD",38.5,57.7,76.8,79.8,77.8,73.7,78.9,33.5,56.1,2,476
"ME",50.7,42.9,79,77.6,79.1,80.5,80.4,46.5,42.6,2.9,258
"MI",43.3,49.7,74.3,75.8,75.4,75.1,78.4,38.8,48.4,2,534
"MN",43.7,47.5,76.4,76.7,77.2,76.6,78.6,37.7,47.1,2.1,478
"MO",50.5,42.1,70.3,71.8,72.7,77.4,75.3,47.4,40.8,2.1,462
"MS",53.2,44.9,71,80.3,75.3,74.6,72.5,48.3,42.6,3.3,341
"MT",44.9,42.6,75.5,75.7,75.7,77.9,78.5,42.8,42.3,3.5,177
"NC",47.4,46.4,72,74.6,71.3,74,75.1,40.6,48.1,1.9,491
"ND",50.5,39.4,70.9,71.2,70.3,69,76,40.3,39.8,3.7,153
"NE",51.8,37.1,76.6,76.2,78.1,76,78.3,45.1,37.6,3,255
"NH",40.9,47.8,78.1,79.4,78.9,77.5,81.3,34.3,47.6,3.4,171
"NJ",41.8,53.5,74.2,77,76,74.7,78,35.2,55.2,1.9,461
"NM",38.8,47.3,74.8,79,81.3,73.7,78.3,33.4,46.8,3,284
"NV",42.5,44.7,74.3,72.7,77.3,70.2,76.2,36.2,45.9,2.7,374
"NY",42.2,53.8,70.5,73.1,73.4,73.7,78,36.5,54,1.9,569
"OH",46.8,49.2,73.2,74.5,73.6,76.8,76.7,41.8,47.4,2,481
"OK",52.9,37.9,71.6,77.2,76.1,76.1,72,47.9,37.1,2.4,414
"OR",42.3,48.2,80.8,79.7,81.3,75.7,78.9,33.7,46.6,2.3,422
"PA",45.9,45.8,70.5,71.7,71.2,73.8,74.6,40.9,44.5,1.9,469
"RI",37.3,55.5,80,83.7,83,80.4,82,32.6,53.8,2.9,227
"SC",50,42.1,74.6,77.1,75.2,76.4,76.6,47.4,40.1,2.4,405
"SD",47,38.5,76,76.9,77,76.5,75.1,44.6,40.7,4.3,157
"TN",52.5,38.2,72.1,73.8,72.2,76,73.1,51,38.1,2,440
"TX",43.1,51.4,72.9,75.7,77.9,73,75.1,35.9,50.3,1.8,583
"UT",52.1,35.3,76.4,76.4,76.8,76.8,78.9,46.9,32.4,3,244
"VA",41.9,51,75.1,77.5,76.3,73.2,75.8,37.3,49.5,2,487
"VT",47.2,45.8,74.6,75.5,75.7,76.7,79.4,35.7,44.5,4.6,116
"WA",40.1,49.7,76.8,76.7,78.4,73.3,80.2,33.5,49.9,2,447
"WI",43.2,48.7,76.5,76.1,76.9,75.8,76,39.4,46.4,2.1,415
"WV",54.7,38.1,73.5,76.7,76.5,80.2,72.7,54.8,35.7,2.9,308
"WY",56.5,27.2,76.5,71.5,76.7,79.1,73.1,52.9,27.2,4.8,121
