Do you approve or disapprove of the following measures which federal, state, and local governments could take to prevent the spread of coronavirus (COVID-19) in the next 30 days? - Restricting international travel to the U.S. 
"","Strongly disapprove","Somewhat disapprove","Somewhat approve","Strongly approve","Error Margin","N"
"National",3.6,6.2,24.4,65.8,0.8,21118
"AK",2.5,7.8,24.5,65.1,12.7,123
"AL",6.7,5,26.1,62.1,5.3,517
"AR",5.2,6,18.8,69.9,5.9,387
"AZ",3.5,7,25.1,64.4,5.7,461
"CA",5,5.7,23.1,66.3,4.2,805
"CO",4.8,9.9,28.7,56.6,5.4,475
"CT",1.4,5.4,22.6,70.6,5.3,413
"DC",2.2,4.6,32.6,60.6,8.9,235
"DE",4.3,6.1,21.7,67.9,7.5,277
"FL",3.2,5.5,26.4,64.9,4.6,579
"GA",3.3,5.1,24.4,67.2,4.6,601
"HI",2.8,4.2,14.4,78.5,7,256
"IA",2.9,7.9,29,60.2,7.3,252
"ID",7.5,10,27.6,55,7.9,265
"IL",4.3,5.4,21.1,69.2,4.4,507
"IN",5.2,5.4,23,66.4,5.1,461
"KS",4.2,7.6,27.1,61,5.7,434
"KY",4.1,7.5,26,62.4,5.1,510
"LA",4.6,4,25,66.5,6.1,441
"MA",2.7,5.6,24.4,67.3,4.6,603
"MD",2.6,5.8,25.5,66.2,4.7,534
"ME",3.4,7.7,15.7,73.2,6.2,286
"MI",1.9,5.3,24,68.8,4.7,580
"MN",4.3,6.4,26.9,62.4,5.1,527
"MO",3.1,6.3,24.1,66.4,5.1,506
"MS",4.4,4.7,19,72,6.7,397
"MT",4.8,8.6,25.1,61.5,8.2,209
"NC",3.7,6,22.4,67.9,4.5,520
"ND",7.8,4.8,35.2,52.3,9.1,185
"NE",7.8,7.7,32.1,52.5,7.3,306
"NH",4.2,7.2,23.4,65.1,7.9,202
"NJ",1.7,4.9,22.5,70.8,4.5,514
"NM",3.3,8.2,24.7,63.7,7.6,310
"NV",4.3,4.8,21.9,69,5.8,436
"NY",2.8,6.1,24.5,66.6,4.6,616
"OH",6,6.3,21.1,66.6,4.5,517
"OK",4,7.1,19.8,69.2,5.4,484
"OR",4.9,6.6,30.4,58.2,5.5,472
"PA",3.4,5.3,22.5,68.7,4.7,509
"RI",1.9,5.4,22.3,70.4,7.7,254
"SC",2,5.1,26.1,66.8,5.6,448
"SD",6.1,8.7,27.8,57.4,10,183
"TN",4.1,6.9,25.8,63.2,4.9,498
"TX",2.8,5.9,22.5,68.9,4.3,636
"UT",4.3,13.2,27.9,54.6,7.6,271
"VA",1.2,5.2,27.1,66.5,4.6,541
"VT",2.6,2.6,22.2,72.6,9.7,131
"WA",4.5,6.6,26.4,62.6,5.1,483
"WI",3.5,6.5,23.8,66.2,5.1,450
"WV",2,5.3,16.7,76,6.1,369
"WY",1.6,11.4,27.8,59.1,11.1,142
