Race recoded 
"","White","Hispanic","African American","Asian","Other race","Error Margin","N"
"National",65,14.3,12.2,6,2.5,0.8,21196
"AK",60.4,7.2,3.9,5.9,22.6,13,123
"AL",66.2,3.5,26.5,1.4,2.5,5.2,519
"AR",73.2,7,14.9,1.5,3.3,5.7,388
"AZ",58.1,27.9,4.3,3.4,6.3,5.8,464
"CA",37.3,35.1,6.5,17.4,3.7,4.3,808
"CO",70.3,19.1,4,3.2,3.4,5,476
"CT",70.8,11.4,10.4,4.7,2.7,5.2,414
"DC",38.1,10.3,44.5,3.9,3.1,9,236
"DE",63,9.1,21.1,3.8,2.9,7.7,279
"FL",54.9,24.2,15.9,2.9,2.1,4.8,580
"GA",53,8.3,32,4.1,2.6,4.8,602
"HI",22.8,9.9,1.8,38.5,27,8.3,257
"IA",86.5,5.5,3.5,2.4,2.2,5.1,252
"ID",84.5,9.8,0.6,1.5,3.5,5.7,267
"IL",64.4,13.1,14.9,5.7,2,4.6,508
"IN",80.2,5.7,9.5,2.2,2.4,4.3,464
"KS",77.2,10.2,5.8,2.8,3.9,4.9,436
"KY",84.7,3.6,8,1.4,2.3,3.8,512
"LA",61.2,4.6,29.9,1.7,2.6,6.3,442
"MA",74,10.5,6.5,6.7,2.4,4.3,603
"MD",52.1,8.5,30.3,6.2,2.9,5,538
"ME",95.9,1.6,1.4,1.2,0,2.8,287
"MI",76.1,4.4,13.5,3.1,3,4.3,581
"MN",81,5.1,5.6,4.7,3.6,4.2,528
"MO",81.3,3.1,11,2,2.5,4.2,509
"MS",57.7,3.1,36.2,1,2,7.3,401
"MT",86.8,3.4,0.5,0.7,8.6,5.7,210
"NC",65.1,6.3,22.1,3,3.5,4.5,521
"ND",85.7,3.4,2.5,1.5,7,6.4,185
"NE",79.7,10.3,4.6,2.3,3,5.8,306
"NH",90.1,3.7,1.3,2.8,2.1,5,202
"NJ",59.7,17.8,13.5,8.4,0.6,4.9,515
"NM",44.3,43.7,2.1,1.6,8.3,7.8,313
"NV",51.6,26.1,8.9,8.1,5.3,6.3,437
"NY",55.5,18.1,14.8,8.7,2.8,4.9,618
"OH",79.4,3.4,12.4,2.3,2.5,3.9,518
"OK",67.7,10,6.5,2.1,13.7,5.5,486
"OR",77,11.6,1.8,4.3,5.2,4.7,472
"PA",78.6,6.3,10.4,3.4,1.4,4.2,512
"RI",75.7,13.2,6,3.4,1.7,7.2,255
"SC",64.8,5.1,26.3,1.5,2.4,5.7,452
"SD",83.8,3.6,1.8,1.5,9.2,7.4,184
"TN",75,4.9,16,1.7,2.4,4.4,499
"TX",42,37,13.3,5.4,2.3,4.6,639
"UT",78.8,13.2,1.1,2.5,4.3,6.2,271
"VA",63,8.2,19.3,6.5,3,4.7,543
"VT",93.2,2.1,1,1.6,2.1,5.4,131
"WA",70.5,11.2,3.7,8.3,6.4,4.8,489
"WI",83,5.5,6.2,2.8,2.5,4,450
"WV",91.9,1.5,3.7,0.8,2,3.9,372
"WY",85.3,9.4,0.9,0,4.4,8,142
